ID	Range	Rate	Angle	Rcs	Snr
2	3.7	0.0	-30.0	-35.5	30
3	5.1	0.0	-21.7	-13.5	45
4	6.8	0.0	9.7	-20.0	40
5	8.4	0.0	6.7	-3.0	45
6	10.2	0.0	-31.4	-15.0	44
7	11.6	0.0	18.0	-32.0	28
8	11.6	0.0	-40.9	-34.0	26
9	13.4	0.0	-1.5	-45.0	14
10	14.7	0.0	4.6	-32.0	27
11	16.7	0.0	5.4	-34.0	23
12	18.6	0.0	-10.9	-25.5	34
13	20.1	0.0	10.8	-38.5	20
14	22.2	0.0	22.2	-36.0	22
15	22.7	0.0	-3.9	-36.0	23
16	24.3	0.0	4.0	-36.5	22
17	25.9	0.0	-11.4	-38.5	20
18	27.5	0.0	-28.8	-34.0	24
19	27.5	0.0	-15.4	-35.0	23
20	31.3	0.0	30.3	-16.5	40
21	40.1	0.0	3.6	-37.0	19
22	41.3	0.0	7.0	-36.5	21
23	43.2	0.0	6.8	-40.5	18
24	46.9	-0.1	5.5	-42.5	15
25	47.9	0.0	5.8	-43.0	16
26	50.4	0.0	1.3	-36.5	21
27	55.2	0.0	73.8	-40.0	18
28	58.6	0.0	3.8	-23.5	34
29	59.9	0.0	24.7	-38.5	21
30	81.0	0.0	2.8	-45.5	13

1	1.6	0.0	44.5	-15.0	46
2	3.7	0.0	-29.0	-35.5	30
3	5.1	0.0	-21.7	-13.5	44
4	6.8	0.0	9.6	-20.0	39
5	8.4	0.0	6.7	-3.0	45
6	10.2	0.0	-31.4	-15.0	43
7	11.6	0.0	-40.1	-32.0	25
8	11.6	0.0	-59.2	-32.0	25
9	14.7	0.0	4.6	-31.5	26
10	16.7	0.0	5.5	-34.0	23
11	18.6	0.0	-10.7	-25.5	31
12	20.1	0.0	11.2	-38.0	18
13	22.2	0.0	21.9	-36.0	22
14	22.7	-0.1	-3.1	-35.5	22
15	24.4	0.0	3.7	-36.0	20
16	25.9	0.0	-11.2	-38.5	18
17	27.5	0.0	-28.7	-34.5	22
18	27.5	0.0	-15.4	-36.5	20
19	31.3	0.0	30.4	-16.5	39
20	40.1	0.0	3.2	-37.0	21
21	41.3	0.0	6.9	-36.5	20
22	43.2	-0.1	71.4	-40.0	16
23	43.2	-0.1	7.0	-42.0	14
24	46.9	0.0	6.0	-42.0	15
25	50.4	0.0	0.9	-36.5	20
26	55.2	0.0	7.0	-39.5	17
27	58.6	0.0	3.7	-23.5	32
28	59.9	0.0	24.7	-38.5	19
29	81.0	-0.1	3.4	-46.0	13

1	1.6	0.0	44.5	-15.0	46
2	3.7	0.0	-28.8	-35.0	28
3	5.1	0.0	-21.7	-13.5	44
4	6.8	0.0	9.7	-20.0	39
5	8.4	0.0	6.7	-3.0	45
6	10.2	0.0	-31.4	-15.0	41
7	11.6	0.0	17.5	-31.5	26
8	11.6	0.0	-41.4	-32.5	25
9	11.6	0.0	-58.2	-34.5	23
10	14.7	0.0	4.6	-31.5	24
11	16.7	0.0	5.3	-34.5	21
12	18.6	0.0	-11.2	-25.5	28
13	20.1	0.0	10.5	-38.0	16
14	22.1	0.0	21.7	-35.5	18
15	24.3	0.0	4.1	-36.5	16
16	25.9	0.0	-10.9	-38.0	15
17	27.5	-0.1	-52.2	-33.5	21
18	31.3	0.0	30.3	-16.5	38
19	40.2	0.0	3.6	-37.5	13
20	41.3	0.0	6.6	-36.5	15
21	43.2	0.0	6.3	-40.0	13
22	48.9	-0.1	7.8	-42.0	13
23	50.4	0.0	1.2	-37.0	15
24	58.6	0.0	3.7	-23.5	27
25	59.8	0.0	25.0	-38.5	13

1	1.6	0.0	44.5	-15.0	45
2	3.7	0.0	-30.8	-35.0	29
3	5.1	0.0	-21.7	-13.5	46
4	6.8	0.0	9.6	-20.0	39
5	8.4	0.0	25.6	-3.0	45
6	10.1	0.0	-31.3	-15.0	42
7	11.6	0.0	-2.9	-32.0	26
8	14.7	0.0	4.5	-32.0	25
9	16.7	0.0	5.4	-34.0	24
10	18.6	0.0	-10.9	-25.0	31
11	20.1	0.0	10.9	-39.0	18
12	22.1	0.0	22.3	-36.0	21
13	22.7	0.0	-3.3	-36.0	20
14	24.3	0.0	3.9	-36.0	21
15	25.9	0.0	-11.0	-37.5	19
16	27.5	0.0	-28.8	-34.0	23
17	27.5	0.0	-15.4	-35.0	22
18	31.3	0.0	30.4	-16.5	38
19	40.1	0.0	4.0	-37.5	19
20	41.3	0.0	7.0	-37.0	20
21	43.2	0.0	6.5	-40.0	17
22	46.9	0.0	5.8	-42.0	14
23	48.0	-0.1	4.6	-43.0	13
24	50.4	0.0	1.0	-37.0	19
25	55.2	0.0	7.2	-39.0	17
26	55.2	0.0	-4.9	-41.0	15
27	58.6	0.0	3.4	-23.0	33
28	59.9	0.0	25.0	-37.5	19

1	1.6	0.0	44.5	-15.0	46
2	3.7	0.0	-30.3	-35.5	28
3	5.1	0.0	-21.7	-13.5	45
4	6.8	0.0	9.6	-20.0	39
5	8.4	0.0	6.7	-3.0	45
6	10.2	0.0	-31.3	-15.0	42
7	11.5	0.0	-3.2	-32.0	26
8	13.3	0.0	-0.4	-45.0	13
9	14.7	0.0	4.2	-31.5	26
10	16.7	0.0	5.3	-34.0	23
11	18.6	0.0	-11.4	-25.0	30
12	20.1	0.0	-14.7	-39.0	17
13	20.1	0.0	-45.2	-41.0	15
14	22.2	0.0	21.6	-36.5	21
15	22.7	0.0	-3.3	-36.5	20
16	24.4	0.0	3.8	-36.0	19
17	25.9	0.0	-10.8	-37.5	18
18	27.5	0.0	-29.2	-34.0	22
19	27.5	0.0	-15.8	-35.0	21
20	31.3	0.0	30.4	-16.5	40
21	40.1	0.0	4.4	-38.5	17
22	41.2	0.0	6.9	-36.0	19
23	43.2	0.0	5.7	-39.5	16
24	46.9	0.0	5.6	-42.0	14
25	48.0	0.0	5.9	-42.5	14
26	50.4	-0.1	1.3	-37.0	18
27	55.2	0.0	6.5	-39.0	17
28	58.6	0.0	3.6	-23.5	34
29	59.9	0.0	25.0	-38.0	18

1	1.6	0.0	44.5	-15.0	45
2	3.7	0.0	-29.8	-35.0	28
3	5.1	0.0	-21.7	-13.5	46
4	6.8	0.0	9.7	-20.0	40
5	8.4	0.0	6.7	-3.0	45
6	10.2	0.0	-31.4	-15.0	42
7	11.6	0.0	-21.2	-31.5	26
8	11.6	0.0	48.8	-32.5	25
9	14.7	0.0	4.2	-31.5	25
10	16.7	0.0	5.6	-34.0	22
11	18.6	0.0	-11.1	-25.0	32
12	20.1	0.0	-14.6	-39.0	19
13	22.6	0.0	-3.4	-36.0	20
14	22.6	0.0	-29.8	-38.0	18
15	24.3	0.0	3.8	-36.5	21
16	25.9	0.0	-10.7	-37.5	20
17	27.5	0.0	-52.8	-34.0	22
18	27.5	0.0	0.5	-36.0	20
19	31.3	0.0	30.4	-16.5	37
20	40.1	0.0	4.2	-38.0	17
21	41.3	0.0	6.7	-36.5	18
22	43.1	0.0	3.7	-40.0	16
23	46.9	0.0	5.9	-40.5	15
24	50.4	-0.1	1.5	-36.5	20
25	55.2	0.0	6.5	-40.0	15
26	55.2	0.0	-6.1	-40.0	15
27	58.6	0.0	3.5	-23.5	31
28	59.8	0.0	24.5	-38.5	18

1	1.6	0.0	44.5	-15.0	46
2	3.7	0.0	-29.5	-35.5	30
3	5.1	0.0	-21.7	-13.5	45
4	6.8	0.0	9.7	-20.0	41
5	8.4	0.0	6.7	-3.0	45
6	10.2	0.0	-31.4	-15.0	44
7	11.6	0.0	-3.8	-32.0	28
8	14.7	0.0	4.3	-31.5	28
9	16.8	0.0	5.6	-34.5	24
10	18.6	0.0	-11.0	-25.5	33
11	20.1	0.0	19.3	-38.5	19
12	22.7	0.0	-3.7	-35.5	22
13	24.3	0.0	3.8	-36.5	22
14	25.9	0.0	-11.6	-38.0	21
15	27.5	0.0	-29.1	-33.5	24
16	27.5	0.0	-15.7	-34.5	23
17	31.3	0.0	30.5	-16.5	40
18	40.1	0.0	4.1	-39.0	19
19	41.3	0.0	6.3	-38.0	20
20	43.1	0.0	5.4	-40.0	18
21	46.9	0.0	5.7	-42.5	15
22	48.0	0.0	5.2	-43.0	14
23	48.7	0.0	5.0	-44.5	14
24	50.4	0.0	1.5	-35.5	22
25	55.2	0.0	6.6	-40.0	18
26	58.6	0.0	3.5	-22.5	35
27	59.9	0.0	24.8	-38.0	20
28	59.9	0.0	-20.6	-40.0	18
29	81.0	0.0	2.9	-45.5	13

1	1.6	0.0	44.5	-15.0	46
2	3.7	0.0	-28.7	-35.5	30
3	3.7	0.0	16.7	-37.5	28
4	5.1	0.0	-21.7	-13.5	45
5	6.8	0.0	9.7	-20.0	39
6	8.4	0.0	6.7	-3.0	45
7	10.2	0.0	-31.3	-15.0	42
8	11.6	0.0	-21.7	-31.5	27
9	14.7	0.0	4.3	-31.5	26
10	16.7	0.0	5.5	-34.0	22
11	18.6	0.0	-10.8	-25.5	30
12	20.1	0.0	-15.0	-39.0	16
13	22.7	0.0	-3.1	-34.5	20
14	24.3	0.0	3.7	-36.0	19
15	25.9	0.0	-11.0	-37.0	19
16	27.5	0.0	-29.1	-33.5	21
17	31.3	0.0	30.3	-16.5	38
18	40.2	0.0	3.4	-39.0	15
19	41.2	0.0	6.9	-36.5	18
20	43.1	0.0	8.9	-40.0	15
21	46.9	-0.1	5.0	-40.5	16
22	48.0	0.0	5.3	-40.5	16
23	50.4	0.0	0.7	-36.5	18
24	55.2	0.0	7.2	-40.0	16
25	55.2	0.0	-5.2	-41.0	15
26	58.6	0.0	3.4	-22.5	32
27	59.9	0.0	25.1	-37.5	17

1	1.6	0.0	44.5	-15.0	45
2	3.7	0.0	-30.0	-35.5	26
3	5.1	0.0	-21.7	-13.5	43
4	6.8	0.0	9.7	-20.0	35
5	8.4	0.0	6.7	-3.0	45
6	10.2	0.0	-31.3	-15.0	39
7	11.5	0.0	-4.2	-31.5	23
8	14.8	0.0	4.8	-31.5	22
9	16.7	0.0	5.4	-34.0	18
10	18.6	0.0	-10.9	-25.0	27
11	20.1	0.0	19.5	-39.0	13
12	22.7	0.0	-3.7	-34.0	17
13	24.3	0.0	4.1	-37.0	15
14	25.9	-0.1	-10.9	-37.0	16
15	27.5	0.0	-29.5	-33.0	20
16	31.3	0.0	30.4	-16.5	35
17	40.1	-0.1	3.8	-38.5	13
18	41.3	0.0	7.5	-36.0	15
19	43.2	0.0	7.5	-40.0	13
20	50.1	29.8	-0.1	-38.0	14
21	58.6	0.0	3.8	-22.5	31
22	59.9	0.0	25.2	-39.5	13

1	1.6	0.0	44.5	-15.0	46
2	3.7	0.0	-30.5	-35.5	29
3	5.1	0.0	-21.7	-13.5	45
4	6.8	0.0	9.7	-20.0	40
5	8.4	0.0	25.6	-3.0	45
6	10.2	0.0	-31.4	-15.0	43
7	11.6	0.0	-3.1	-32.0	26
8	14.7	0.0	4.4	-31.5	26
9	16.8	0.0	5.2	-34.0	25
10	18.6	0.0	-11.3	-25.0	32
11	20.1	0.0	-14.6	-39.0	19
12	20.1	0.0	-44.8	-41.0	17
13	22.7	0.0	-2.8	-34.5	23
14	24.3	0.0	3.5	-37.0	22
15	25.9	-0.1	-11.0	-37.0	21
16	27.5	0.0	-29.0	-33.5	25
17	27.5	0.0	-15.6	-34.5	24
18	31.3	0.0	30.3	-16.5	39
19	40.1	0.0	3.7	-38.5	18
20	41.2	0.0	6.5	-36.5	20
21	43.2	-0.1	7.3	-40.5	17
22	46.9	0.0	5.2	-41.5	17
23	47.9	0.0	5.1	-43.5	13
24	50.4	-0.1	0.4	-39.5	18
25	55.2	-0.1	6.9	-38.5	20
26	58.6	0.0	3.5	-22.5	36
27	59.9	0.0	24.8	-38.5	19
28	81.1	-0.1	3.7	-43.5	15

1	1.6	0.0	44.5	-15.0	45
2	3.7	0.0	-29.1	-35.0	30
3	5.1	0.0	-21.7	-13.5	44
4	6.8	0.0	9.6	-20.0	40
5	8.4	0.0	6.7	-3.0	46
6	10.2	0.0	-31.3	-15.0	42
7	11.6	0.0	-3.6	-32.0	27
8	14.7	0.0	4.4	-31.5	27
9	16.7	0.0	5.3	-34.0	24
10	18.6	0.0	-11.2	-25.0	33
11	20.1	0.0	-14.6	-39.5	18
12	20.1	0.0	-44.5	-41.5	16
13	22.7	0.0	-2.4	-34.5	23
14	24.3	0.0	3.6	-37.0	21
15	25.9	0.0	-11.4	-36.0	21
16	27.5	0.0	-52.7	-33.5	23
17	27.5	0.0	2.2	-34.5	22
18	31.3	0.0	30.4	-17.0	40
19	40.2	0.0	3.6	-38.0	19
20	41.2	0.0	7.3	-37.5	19
21	43.3	0.0	7.5	-41.0	16
22	46.8	0.0	4.8	-41.5	16
23	50.4	0.0	-0.1	-38.5	18
24	55.2	0.0	5.9	-39.5	18
25	58.6	0.0	3.8	-23.0	33
26	59.9	0.0	25.1	-38.5	19
27	81.0	0.0	3.4	-45.0	13

1	1.6	0.0	44.5	-15.0	46
2	3.7	0.0	-30.4	-35.5	29
3	5.1	0.0	-21.7	-13.5	45
4	6.8	0.0	9.6	-19.5	39
5	8.4	0.0	6.7	-3.0	45
6	10.2	0.0	-31.4	-15.0	42
7	11.6	0.0	-3.3	-31.5	26
8	14.8	0.0	4.6	-32.0	25
9	16.7	0.0	5.2	-34.0	23
10	18.6	0.0	-11.3	-25.0	31
11	20.1	0.0	19.4	-38.5	17
12	22.7	0.0	-3.0	-34.5	23
13	24.3	0.0	3.7	-37.0	19
14	25.9	0.0	-11.0	-37.0	19
15	27.5	0.0	-28.6	-33.5	23
16	27.5	0.0	-15.3	-34.5	22
17	31.3	0.0	30.4	-17.0	38
18	40.1	-0.1	3.5	-37.5	17
19	41.2	0.0	7.1	-37.0	19
20	43.3	0.0	7.0	-41.0	14
21	46.8	0.0	5.4	-41.5	14
22	50.4	0.0	0.2	-38.5	19
23	55.3	0.0	5.6	-42.0	14
24	58.6	0.0	4.0	-21.5	35
25	59.9	0.0	24.5	-39.0	16

1	1.6	0.0	44.5	-15.0	46
2	3.7	0.0	-30.4	-35.0	28
3	5.1	0.0	-21.7	-13.5	44
4	6.8	0.0	9.7	-20.0	40
5	8.4	0.0	6.7	-3.0	45
6	10.2	0.0	-31.4	-15.0	43
7	11.6	0.0	-4.1	-32.0	27
8	14.7	0.0	4.4	-31.5	26
9	16.7	0.0	5.4	-34.0	25
10	18.6	0.0	-10.8	-25.0	34
11	20.1	0.0	-14.7	-39.0	19
12	22.7	0.0	-2.6	-35.0	23
13	24.3	0.0	4.1	-37.0	20
14	25.9	0.0	-11.2	-38.0	19
15	27.5	0.0	-29.0	-33.5	24
16	27.5	0.0	-15.6	-35.5	22
17	31.3	0.0	30.5	-17.0	39
18	40.2	0.0	3.4	-37.0	20
19	41.2	0.0	7.4	-37.5	20
20	43.3	0.0	5.5	-40.0	17
