ID	Range	Rate	Angle	Rcs	Snr
5	8.2	0.0	-8.6	-3.5	46
6	8.2	0.0	3.6	-3.5	46
7	12.5	0.0	-1.0	-25.5	31
8	13.5	0.0	-2.6	-24.0	32
9	15.9	0.0	17.8	-21.5	34
10	17.0	0.0	18.5	-20.0	35
11	18.5	0.0	-7.8	-20.5	34
12	21.4	0.0	-7.0	-33.0	21
13	22.3	0.0	-8.8	-32.0	21
14	24.9	0.0	-3.0	-24.0	29
15	27.5	0.0	-50.2	-35.0	19
16	27.5	0.0	-0.9	-35.0	19
17	30.7	0.0	3.2	-21.5	33
18	31.5	0.0	23.5	-17.0	37
19	36.1	0.0	46.0	-41.0	13
20	39.6	0.0	20.7	-35.5	16
21	40.1	0.0	4.5	-35.0	18
22	40.1	0.0	-7.7	-37.0	16
23	41.2	0.0	6.7	-40.0	13
24	59.1	0.0	22.6	-26.0	26

1	1.6	0.0	44.5	-15.0	46
2	3.7	0.0	-28.9	-35.5	29
3	3.7	0.0	16.5	-37.5	27
4	5.1	0.0	-21.7	-13.5	45
5	6.8	0.0	9.6	-20.0	40
6	8.1	0.0	4.5	-2.5	48
7	12.5	0.0	-1.1	-25.5	33
8	13.6	0.0	-2.6	-24.0	35
9	15.9	0.0	17.8	-21.5	37
10	17.0	0.0	18.5	-20.0	38
11	18.5	0.0	-7.9	-20.5	36
12	21.4	0.0	-7.1	-33.0	24
13	22.3	0.0	-9.1	-32.0	26
14	24.9	0.0	-3.0	-24.0	33
15	27.5	0.0	-50.9	-34.5	24
16	27.5	0.0	-0.7	-34.5	24
17	30.7	0.0	2.7	-22.5	36
18	31.5	0.0	23.5	-17.0	39
19	36.1	0.0	24.6	-42.0	15
20	36.1	0.0	46.1	-44.0	13
21	39.6	0.0	20.8	-35.5	21
22	40.1	0.0	4.9	-35.0	23
23	40.1	0.0	-7.3	-37.0	21
24	41.2	0.0	6.2	-38.5	20
25	45.1	0.0	-1.9	-44.0	13
26	45.9	0.0	-2.7	-45.0	13
27	47.7	0.0	-0.7	-44.0	13
28	50.4	0.0	1.2	-40.0	18
29	53.4	0.0	1.0	-45.0	13
30	59.1	0.0	22.9	-26.0	31
31	63.8	0.0	-6.8	-43.0	14
32	66.9	0.0	0.4	-42.5	15
33	67.5	0.0	-7.1	-42.0	16
34	67.5	0.0	5.5	-43.0	15
35	81.0	0.0	2.1	-45.0	14

1	1.6	0.0	44.5	-15.0	46
2	3.7	0.0	-28.9	-35.0	30
3	3.7	0.0	16.6	-37.0	28
4	5.1	0.0	-21.7	-13.5	45
5	6.8	0.0	9.7	-20.0	39
6	8.1	0.0	4.6	-3.0	47
7	8.1	0.0	-7.6	-3.0	47
8	9.7	0.0	-37.7	-17.5	40
9	12.5	0.0	-1.2	-25.5	32
10	13.5	0.0	-2.7	-24.0	34
11	15.9	0.0	17.8	-21.5	34
12	17.0	0.0	18.4	-20.0	37
13	18.5	0.0	-7.8	-20.5	37
14	21.5	0.0	-6.9	-32.5	21
15	22.3	0.0	-9.0	-31.5	22
16	24.9	0.0	-3.1	-24.0	32
17	27.5	0.0	-50.5	-34.5	22
18	27.5	0.0	-0.2	-36.5	20
19	30.6	0.0	2.8	-22.0	34
20	31.5	0.0	23.5	-17.0	38
21	36.2	-0.1	26.7	-42.5	13
22	36.2	-0.1	-5.6	-43.5	12
23	40.1	0.0	4.5	-34.0	20
24	40.1	0.0	-7.8	-35.0	19
25	41.1	-0.1	6.6	-37.5	18
26	50.4	0.0	1.8	-40.0	17
27	59.1	0.0	4.1	-26.0	29
28	59.1	0.0	-21.6	-28.0	27
29	66.9	-0.1	0.5	-42.0	14
30	67.6	0.0	-8.3	-40.5	16
31	67.6	0.0	5.2	-42.5	14

1	1.6	0.0	44.5	-15.0	45
2	3.7	0.0	-29.0	-35.0	27
3	5.1	0.0	-21.7	-13.5	43
4	6.8	0.0	9.6	-20.0	38
5	8.1	0.0	4.6	-2.5	47
6	8.1	0.0	-7.6	-2.5	47
7	12.5	0.0	-1.2	-25.5	28
8	13.5	0.0	-2.7	-24.0	28
9	15.9	0.0	17.9	-21.5	31
10	17.0	0.0	18.6	-20.0	33
11	18.5	0.0	-7.8	-20.5	31
12	21.4	0.0	-7.1	-32.5	20
13	22.3	0.0	-8.9	-32.0	23
14	24.9	0.0	-3.0	-24.0	30
15	27.5	0.0	22.3	-35.0	19
16	27.5	0.0	59.2	-36.0	18
17	30.6	0.0	3.4	-21.0	31
18	31.5	0.0	23.4	-17.0	33
19	39.6	0.0	21.1	-36.0	15
20	40.1	0.0	4.7	-34.0	18
21	40.1	0.0	-7.6	-35.0	17
22	40.8	29.8	6.9	-39.5	13
23	59.1	0.0	3.6	-26.5	25
24	59.1	0.0	-22.1	-28.5	23

1	1.6	0.0	44.5	-15.0	46
2	3.7	0.0	-28.9	-35.0	30
3	5.1	0.0	-21.7	-13.5	45
4	6.8	0.0	9.6	-20.0	40
5	8.1	0.0	4.9	-2.0	47
6	8.1	0.0	-7.2	-3.0	46
7	12.5	0.0	-1.2	-25.5	34
8	13.6	0.0	-2.6	-24.0	34
9	15.9	0.0	17.8	-21.5	37
10	17.0	0.0	18.5	-20.0	39
11	18.5	0.0	-7.8	-20.5	37
12	21.4	0.0	-7.2	-33.0	24
13	22.3	0.0	-8.9	-32.5	24
14	24.9	0.0	-3.0	-24.0	33
15	27.5	0.0	-51.8	-34.0	24
16	27.5	0.0	-0.8	-35.0	23
17	30.6	0.0	3.5	-20.5	38
18	31.5	0.0	23.5	-17.0	39
19	36.1	0.0	25.1	-42.5	16
20	36.1	0.0	-5.7	-43.5	15
21	39.6	0.0	20.9	-36.0	21
