ID	Range	Rate	Angle	Rcs	Snr
7	18.5	0.0	-12.7	-32.5	20
8	31.4	0.0	24.1	-17.0	34
9	59.3	0.0	22.4	-31.5	23
10	67.8	0.0	23.9	-32.5	20

1	1.5	0.0	44.5	-14.5	45
2	2.6	0.0	-74.6	-30.5	35
3	3.7	0.0	4.3	-34.5	30
4	3.7	0.0	-31.7	-36.5	28
5	5.1	0.0	-21.7	-13.5	45
6	7.0	0.0	38.8	-32.5	28
7	8.8	0.0	25.9	-14.5	43
8	9.9	0.0	-35.1	-10.5	46
9	13.2	0.0	-1.8	-43.5	15
10	15.4	0.0	-29.9	-37.0	20
11	18.5	0.0	-12.9	-32.5	25
12	22.8	0.0	-8.3	-43.5	13
13	24.1	0.0	1.7	-40.0	19
14	26.0	0.0	-9.5	-42.5	14
15	31.4	0.0	24.0	-17.0	38
16	59.3	0.0	22.3	-32.5	25
17	67.8	0.0	24.0	-32.0	25

1	1.6	0.0	44.8	-15.0	45
2	3.8	0.0	-29.0	-35.0	29
3	5.1	0.0	-21.6	-13.5	43
4	7.0	0.0	38.6	-33.5	27
5	8.9	0.0	25.6	-15.5	41
6	9.9	0.0	-35.2	-10.5	46
7	15.5	0.0	-3.3	-37.0	19
8	16.6	0.0	-35.2	-39.0	17
9	16.6	0.0	-6.2	-39.0	17
10	18.5	0.0	-12.9	-33.5	22
11	24.0	0.0	3.9	-40.0	15
12	26.0	0.0	4.3	-41.0	14
13	31.4	0.0	23.8	-17.5	37
14	59.3	0.0	22.9	-33.0	20
15	67.8	0.0	23.6	-31.0	23

1	1.6	0.0	43.9	-14.0	46
2	3.7	0.0	-30.4	-33.0	31
3	5.1	0.0	-21.5	-13.5	45
4	7.0	0.0	37.9	-33.0	28
5	8.9	0.0	25.8	-15.5	42
6	9.9	0.0	-35.2	-10.5	46
7	11.4	0.0	-33.5	-38.5	21
8	13.0	-29.9	1.6	-46.0	13
9	15.6	0.0	-1.0	-38.5	19
10	18.5	0.0	-13.2	-33.0	27
11	23.1	-29.9	-49.1	-45.0	13
12	24.1	0.0	3.9	-39.0	20
13	26.0	0.0	-8.2	-40.5	17
14	31.5	0.0	23.8	-18.0	39
15	50.7	0.0	-5.2	-45.0	14
16	50.7	0.0	27.7	-46.0	13
17	59.3	0.0	23.3	-33.5	27
18	67.8	0.0	23.6	-31.5	28

1	1.5	0.0	44.3	-14.5	46
2	3.7	0.0	-9.8	-33.0	31
3	5.1	0.0	-21.6	-13.5	44
4	6.9	0.0	38.6	-34.5	26
5	8.9	0.0	25.3	-15.0	42
6	9.9	0.0	-35.5	-11.0	45
7	12.1	0.0	-16.9	-42.5	15
8	14.3	0.0	1.8	-44.5	14
9	15.3	0.0	-12.8	-42.5	15
10	15.3	0.0	18.4	-41.5	16
11	16.4	0.0	0.1	-39.0	17
12	16.4	0.0	14.7	-40.0	16
13	18.5	0.0	-13.5	-33.5	23
14	25.9	-0.1	-9.1	-40.0	19
15	31.5	0.0	24.0	-18.0	36
16	51.9	0.0	5.3	-41.5	15
17	51.9	0.0	-6.8	-43.5	13
18	59.3	0.0	23.5	-34.0	23
19	67.8	0.0	23.5	-32.5	25

1	1.5	0.0	43.8	-15.0	46
2	3.7	0.0	-30.9	-34.0	28
3	5.1	0.0	-21.7	-13.5	44
4	7.1	0.0	38.5	-33.0	24
5	8.9	0.0	25.7	-16.0	39
6	9.9	0.0	-35.7	-11.0	43
7	16.3	0.0	15.5	-38.0	14
8	18.5	0.0	-12.9	-34.5	18
9	31.5	0.0	24.3	-18.0	33
10	59.3	0.0	23.1	-33.5	16
11	67.8	0.0	23.1	-34.0	15

1	1.4	0.0	74.1	-16.0	44
2	1.4	0.0	1.0	-14.0	46
3	3.7	0.0	-28.0	-34.5	32
4	5.1	0.0	-21.8	-13.0	45
5	6.7	0.0	39.4	-34.5	27
6	9.9	0.0	-35.3	-11.0	46
7	14.3	0.0	-13.1	-44.5	14
8	14.3	0.0	3.0	-46.5	12
9	16.2	0.0	-58.3	-39.5	20
10	18.5	0.0	-13.2	-34.0	25
11	22.7	0.0	-22.6	-44.0	14
12	24.1	0.0	5.2	-41.0	18
13	24.1	0.0	-7.5	-42.0	17
14	26.0	0.0	-10.0	-41.0	16
15	31.5	0.0	24.4	-18.0	39
16	41.8	-0.1	24.7	-44.5	13
17	50.8	0.0	-2.3	-45.0	13
18	59.3	0.0	22.5	-33.0	26
19	67.8	0.0	23.5	-32.5	26

1	1.4	0.0	4.5	-13.5	47
2	3.7	0.0	-29.4	-33.0	30
3	5.1	0.0	-21.6	-13.0	45
4	7.0	0.0	39.1	-33.5	26
5	8.9	0.0	24.8	-16.0	42
6	9.9	0.0	-35.2	-11.0	44
7	13.2	0.0	-53.1	-45.0	14
8	16.0	0.0	14.7	-40.5	18
9	17.7	-26.9	29.0	-44.0	14
10	18.5	0.0	-12.7	-35.5	21
11	23.1	-26.9	-9.8	-43.0	14
12	24.0	0.0	8.0	-41.0	16
13	24.0	0.0	-5.2	-42.0	15
14	26.0	-0.1	-10.2	-40.5	16
15	31.5	0.0	24.2	-17.5	36
16	59.3	0.0	22.1	-32.5	24
17	67.8	0.0	23.9	-30.5	26

1	1.6	0.0	29.8	-17.0	44
2	1.6	0.0	45.0	-15.0	46
3	3.8	0.0	-28.7	-34.5	26
4	5.1	0.0	-21.5	-13.5	42
5	7.0	0.0	38.9	-33.0	22
6	8.6	0.0	-12.6	-16.5	37
7	9.9	0.0	-35.1	-11.0	41
8	18.5	0.0	-13.4	-34.5	15
9	23.9	0.0	30.9	-37.0	14
10	25.9	-0.1	-9.8	-38.0	14
11	31.5	0.0	23.9	-18.0	32
12	59.3	0.0	22.7	-31.5	17
13	67.8	0.0	23.7	-30.5	20

1	1.5	0.0	45.0	-14.5	46
2	3.8	0.0	-30.0	-33.5	31
3	5.1	0.0	-21.7	-13.5	45
4	6.9	0.0	39.1	-34.5	27
5	8.6	0.0	-12.8	-16.0	44
6	9.9	0.0	-35.0	-10.5	46
7	14.5	-29.9	3.7	-46.5	14
8	14.5	-29.9	32.5	-48.5	12
9	16.2	0.0	15.8	-40.5	19
10	16.2	0.0	-29.5	-42.5	17
11	18.5	0.0	-12.2	-36.0	23
12	20.4	0.0	-17.7	-45.0	14
13	23.0	-29.9	-45.9	-41.5	18
14	24.2	0.0	22.9	-45.0	16
15	24.2	0.0	57.1	-46.0	15
16	26.0	0.0	-9.6	-40.5	18
17	31.4	0.0	23.9	-18.0	39
18	41.5	29.8	26.8	-45.5	13
19	43.8	-29.9	-57.3	-45.5	13
20	51.9	0.0	6.6	-44.5	14
21	59.3	0.0	23.2	-32.0	28
22	67.9	0.0	23.6	-30.5	28

1	1.5	0.0	44.2	-15.0	46
2	3.8	0.0	-29.9	-35.0	30
3	5.1	0.0	-21.8	-13.0	44
4	7.0	0.0	39.7	-33.0	27
5	8.6	0.0	-14.0	-16.0	43
6	9.9	0.0	-35.1	-10.5	47
7	15.3	0.0	-8.6	-40.0	17
8	16.3	0.0	-55.9	-41.5	17
9	17.7	-0.1	26.0	-45.5	13
10	18.6	0.0	-12.4	-36.0	21
11	22.8	0.0	-51.3	-41.5	16
12	26.0	-0.1	-30.0	-40.5	13
13	26.0	-0.1	-70.2	-41.5	12
14	31.5	0.0	24.3	-17.5	39
15	59.3	0.0	23.8	-32.5	22
16	67.9	0.0	23.5	-30.5	26

1	1.6	0.0	42.9	-15.0	46
2	3.7	-0.1	-30.5	-35.5	27
3	3.7	-0.1	-15.4	-36.5	26
4	5.1	0.0	-21.6	-13.5	44
5	7.0	0.0	38.5	-33.0	24
6	8.4	0.0	-12.0	-14.0	42
7	9.9	0.0	-35.3	-10.5	43
8	15.3	0.0	1.2	-39.5	14
9	16.3	0.0	17.7	-39.5	15
10	18.6	0.0	-33.3	-35.5	17
11	31.5	0.0	24.4	-17.5	34
12	59.3	0.0	22.5	-31.5	20
13	67.9	0.0	24.0	-31.0	20

1	1.6	0.0	43.6	-14.5	46
