ID	Range	Rate	Angle	Rcs	Snr
6	8.1	0.0	6.1	-4.0	47
7	8.5	-0.3	-9.9	-21.0	32
8	8.5	-0.3	-43.5	-19.0	34
9	9.9	0.0	-35.4	-10.5	47
10	12.4	0.0	-35.0	-41.0	18
11	14.8	0.0	4.8	-31.0	27
12	15.7	0.0	-3.9	-33.5	25
13	16.7	0.0	-5.2	-25.0	34
14	18.4	0.0	-7.8	-23.5	35
15	19.6	0.0	4.1	-36.5	22
16	21.4	0.0	-8.8	-35.5	23
17	22.1	0.0	-9.8	-35.5	23
18	22.1	0.0	2.3	-35.5	23
19	24.4	0.0	3.3	-38.5	20
20	26.2	0.0	-4.4	-42.0	17
21	27.5	0.0	-40.8	-33.5	24
22	27.5	0.0	20.4	-34.5	23
23	31.3	0.0	27.8	-14.0	42
24	40.2	0.0	4.7	-40.5	18
25	41.2	0.0	6.6	-37.0	20
26	43.5	0.0	45.5	-44.0	16
27	43.5	0.0	23.1	-46.0	14
28	44.6	-0.1	-8.7	-44.5	13
29	44.6	-0.1	3.8	-43.5	14
30	45.6	0.0	-9.0	-41.0	17
31	47.0	0.0	6.2	-45.0	13
32	48.0	-0.1	5.2	-43.0	16
33	48.5	-0.1	21.8	-44.0	15
34	50.4	0.0	-1.6	-43.0	15
35	50.4	0.0	15.5	-43.0	15
36	51.5	0.0	3.2	-44.5	14
37	51.5	0.0	-9.7	-45.5	13
38	55.2	0.0	7.3	-41.0	17
39	55.2	0.0	-5.2	-41.0	17
40	58.6	0.0	5.4	-26.0	31
41	67.8	0.0	23.9	-32.0	27

1	0.7	0.1	-46.5	-28.0	39
2	1.6	0.0	44.4	-14.5	46
3	2.1	0.3	-59.5	-42.5	23
4	2.2	0.5	-61.1	-52.0	18
5	3.8	0.0	-29.6	-35.0	29
6	5.1	0.0	-21.6	-13.0	46
7	6.8	0.0	9.7	-20.0	40
8	8.1	0.0	6.0	-4.0	47
9	8.5	-0.3	-46.0	-21.0	33
10	9.9	0.0	-35.3	-11.0	46
11	12.5	0.0	-32.6	-42.0	17
12	14.8	0.0	4.5	-31.0	28
13	15.7	0.0	-3.9	-33.0	25
14	16.7	0.0	-5.1	-24.5	36
15	18.4	0.0	-7.7	-23.5	35
16	19.6	0.0	6.2	-37.0	22
17	21.3	0.0	-9.4	-36.0	23
18	22.1	-0.1	2.3	-36.5	21
19	22.1	-0.1	-9.1	-37.5	20
20	23.3	0.5	-3.0	-45.5	13
21	24.4	0.0	3.4	-39.0	19
22	26.2	0.0	-3.8	-42.0	16
23	27.5	0.0	-39.3	-33.0	25
24	27.5	0.0	21.0	-34.0	24
25	31.3	0.0	27.8	-14.0	41
26	40.2	0.0	4.8	-41.0	17
27	41.2	0.0	6.9	-36.5	21
28	42.9	0.0	43.6	-45.5	13
29	42.9	0.0	-46.9	-45.5	13
30	43.5	0.0	41.9	-45.0	13
31	43.5	0.0	22.1	-45.0	13
32	44.6	-0.1	22.6	-43.5	14
33	45.7	0.0	-8.9	-41.5	17
34	47.0	-0.1	6.5	-45.0	13
35	48.0	0.0	5.1	-42.5	15
36	50.4	0.0	1.0	-43.0	14
37	50.4	0.0	74.0	-45.0	12
38	51.3	0.5	-51.1	-44.5	14
39	55.2	0.0	6.7	-40.5	18
40	58.5	0.0	5.0	-24.5	34
41	67.8	0.0	24.4	-32.5	25

1	0.7	0.3	-44.3	-33.5	34
2	1.6	0.0	44.4	-14.5	45
3	2.2	0.3	-57.0	-41.5	27
4	2.3	0.6	-57.0	-46.0	20
5	3.7	0.0	-29.4	-35.0	27
6	5.1	0.0	-21.7	-13.5	44
7	6.8	0.0	9.7	-20.0	38
8	8.1	0.0	6.1	-4.0	47
9	8.4	-0.3	-44.9	-23.5	30
10	10.1	0.0	-31.7	-13.5	42
11	14.8	0.0	4.4	-31.0	26
12	15.7	0.0	-3.9	-33.0	23
13	16.7	0.0	-5.2	-25.0	31
14	18.4	0.0	-7.7	-23.0	33
15	19.6	-0.1	4.8	-37.0	19
16	21.4	0.0	-8.7	-35.5	20
17	22.1	0.0	2.4	-36.5	21
18	22.1	0.0	-9.8	-36.5	21
19	24.5	0.0	3.9	-38.5	18
20	27.1	-63.8	-34.4	-41.5	13
21	27.5	0.0	-40.0	-33.0	22
22	31.3	0.0	27.8	-14.0	40
23	40.2	-0.1	4.7	-40.0	16
24	41.3	0.0	7.0	-36.5	19
25	45.6	0.0	-8.6	-42.0	13
26	50.4	0.0	0.7	-42.0	13
27	50.4	0.0	-74.6	-44.0	11
28	55.2	0.0	7.1	-41.0	14
29	58.6	0.0	5.3	-25.0	30
30	67.9	0.0	24.6	-32.5	23

1	0.7	0.6	-41.7	-32.0	32
2	1.6	0.0	44.5	-14.5	46
3	2.2	0.4	20.0	-42.0	25
4	2.2	0.7	-38.3	-40.0	28
5	2.2	0.7	61.7	-41.0	27
6	3.8	0.0	-29.8	-34.5	32
7	5.1	0.0	-21.8	-13.5	44
8	6.8	0.0	9.6	-20.0	39
9	8.1	0.0	6.0	-4.0	48
10	8.4	-0.3	-41.1	-20.5	33
