ID	Range	Rate	Angle	Rcs	Snr
18	9.8	0.0	-65.0	-40.5	18

1	1.1	0.1	-0.2	-44.0	20
2	1.2	-0.2	10.0	-24.5	39
3	1.7	-0.8	43.7	-34.0	32
4	2.4	0.0	0.4	-3.5	47
5	2.7	-1.0	41.3	-30.5	23
6	4.4	0.0	60.5	-26.0	35
7	5.4	0.0	2.0	-23.0	38
8	6.1	-28.5	6.3	-47.5	14
9	6.1	-0.7	-45.6	-37.5	22
10	6.3	0.2	-36.3	-49.0	13
11	6.8	25.6	17.8	-47.0	13
12	6.9	0.0	-37.5	-24.5	37
13	8.5	0.0	-5.0	-37.0	24
14	9.6	0.0	68.8	-39.5	20
15	9.6	0.0	-24.1	-40.5	19
16	9.6	0.0	-36.4	-42.5	17
17	27.1	0.0	62.7	-46.0	13

1	1.1	-0.1	8.6	-27.0	40
2	1.7	-1.0	44.1	-28.5	39
3	1.8	-1.3	45.4	-40.0	27
4	1.9	-0.6	36.3	-44.0	18
5	2.4	0.0	-0.4	-13.0	47
6	2.7	-0.9	39.6	-30.5	32
7	2.7	-0.9	25.0	-31.5	31
8	4.3	0.0	60.6	-26.5	36
9	5.2	-0.8	-0.6	-42.5	18
10	5.5	0.0	-6.1	-28.0	33
11	5.8	-1.4	3.4	-45.0	17
12	6.1	-0.6	-50.2	-46.0	13
13	6.9	0.0	-37.5	-24.5	36
14	8.5	0.0	-6.9	-38.0	22
15	8.5	0.0	27.1	-40.0	20
16	9.6	0.0	-22.7	-40.5	20
17	9.6	0.0	38.4	-42.5	18
18	15.6	0.0	66.9	-45.0	15
19	27.1	0.0	62.6	-45.5	14

1	1.0	0.0	5.5	-20.0	46
2	1.6	-0.8	39.4	-31.5	36
3	1.7	-1.1	46.7	-31.0	35
4	1.7	-1.1	31.0	-33.0	33
5	2.0	-0.3	41.9	-38.5	28
6	2.4	0.0	20.1	-25.0	40
7	2.6	-0.6	35.0	-39.0	24
8	2.6	-0.6	48.3	-41.0	22
9	2.7	-0.9	20.8	-31.0	32
10	3.4	-0.4	-16.7	-43.5	18
11	4.3	0.0	60.5	-26.5	33
12	4.4	-0.5	4.6	-40.5	19
13	5.4	-1.5	-1.5	-41.5	19
14	5.5	-0.1	-5.4	-29.5	30
15	5.8	-1.1	37.2	-44.0	15
16	6.1	-0.5	4.7	-38.5	19
17	6.9	0.0	-37.5	-24.5	34
18	8.2	29.8	-32.5	-38.0	19
19	9.6	0.0	-22.9	-40.0	16
20	9.6	0.0	69.1	-42.0	14

1	1.0	0.2	1.6	-22.0	45
2	1.6	-0.9	40.9	-22.5	42
3	2.0	-0.3	-8.7	-40.5	28
4	2.0	-0.3	5.6	-41.5	27
5	2.5	0.0	18.0	-25.5	40
6	2.6	-0.8	36.5	-24.5	40
7	3.3	-1.1	22.6	-40.5	23
8	4.3	0.0	61.0	-26.5	34
9	4.3	-0.7	-5.4	-38.0	22
10	4.5	-0.4	-17.2	-39.0	22
11	5.3	-0.7	-16.2	-40.0	21
12	5.3	-0.7	-47.8	-40.0	21
13	5.4	-0.4	-1.1	-39.0	21
14	5.5	0.0	5.6	-29.0	35
15	5.6	-1.1	-2.5	-48.5	15
16	5.8	-1.2	32.9	-49.0	15
17	6.1	-1.4	15.8	-46.0	16
18	6.1	-1.4	36.5	-47.0	15
19	6.8	-1.1	36.3	-40.5	19
20	6.8	0.0	-37.5	-25.0	36
21	9.6	0.0	60.9	-40.5	20
22	9.6	0.0	-24.6	-41.5	19
23	9.6	0.0	-37.2	-42.5	18
24	15.6	0.0	67.3	-46.0	14
25	27.1	0.0	61.7	-46.0	13

1	1.0	0.1	-2.2	-24.0	46
2	1.6	-0.9	38.1	-26.0	41
3	1.7	-1.1	43.7	-39.0	28
4	1.8	-0.7	41.2	-37.0	30
5	2.4	-0.1	1.2	-15.5	44
6	2.6	-0.5	-10.5	-39.0	21
7	2.6	-0.5	15.2	-37.0	23
8	2.6	-0.7	15.5	-31.0	30
9	4.3	0.0	60.9	-26.5	34
10	4.4	-0.4	41.9	-38.0	24
11	4.4	-0.4	-56.2	-38.0	24
12	4.4	-0.7	9.8	-39.0	22
13	5.4	0.0	2.8	-27.0	34
14	5.5	-0.6	6.5	-35.0	25
15	5.5	-0.6	40.0	-36.0	24
16	6.0	-1.2	35.0	-44.5	16
17	6.0	-0.4	7.5	-42.5	15
18	6.1	-1.0	34.2	-46.0	13
19	6.8	-1.1	-52.5	-41.0	18
20	6.8	0.0	-37.5	-26.0	34
21	9.7	-0.1	-5.1	-40.0	19
22	9.7	-0.1	47.9	-41.0	18

1	1.0	0.0	-5.3	-22.5	45
2	1.4	-0.6	37.6	-37.0	30
3	1.6	-1.0	37.4	-27.5	37
4	2.3	0.0	0.0	-3.5	46
5	2.6	-0.6	33.5	-30.0	24
6	3.6	0.0	50.9	-25.0	37
7	4.4	0.0	62.3	-26.5	32
8	4.4	-0.3	-73.6	-40.0	19
9	4.4	-0.3	-42.1	-39.0	20
10	4.4	-0.7	4.6	-34.0	26
11	5.3	0.0	0.8	-20.0	39
12	6.8	-1.0	37.1	-42.0	15
13	6.8	-1.1	34.5	-42.5	14
14	6.8	0.0	-37.5	-26.0	32
15	8.2	0.0	4.2	-41.5	14
16	9.3	0.0	-47.1	-40.5	17
17	9.3	0.0	58.4	-40.5	17

1	1.1	0.1	-7.6	-29.0	43
2	1.2	0.3	-10.6	-35.5	34
3	1.5	-0.9	43.8	-39.0	22
4	1.8	-1.6	32.3	-47.5	20
5	2.3	0.0	0.2	-5.0	46
6	2.5	-0.7	32.3	-20.0	30
7	2.6	-0.9	12.4	-36.0	20
8	2.6	-0.9	-55.0	-38.0	18
9	3.3	-0.4	16.3	-43.0	19
10	3.3	-0.4	-3.9	-45.0	17
11	3.7	0.0	52.1	-26.0	37
12	4.3	0.0	62.3	-26.5	36
13	4.3	-0.4	44.6	-40.5	20
14	5.0	-0.6	-61.5	-36.0	26
15	5.0	-0.6	65.9	-36.0	26
16	5.3	0.0	1.3	-20.5	40
17	5.4	-0.3	-9.9	-31.0	29
18	5.4	-0.3	39.8	-33.0	27
19	5.8	-1.3	32.9	-43.0	18
20	6.8	-0.4	-35.4	-44.5	15
21	6.8	0.0	-37.3	-25.5	35
22	9.2	-0.1	23.7	-39.5	20
23	9.2	-0.1	-22.3	-40.5	19
24	15.6	0.0	67.1	-46.0	13

1	1.3	0.4	-53.3	-29.5	40
2	1.5	-0.9	33.3	-33.5	28
3	1.6	-1.5	22.9	-39.0	28
