ID	Range	Rate	Angle	Rcs	Snr
8	4.3	0.0	60.6	-27.0	35
9	4.4	0.3	-9.3	-35.0	26
10	4.4	0.3	6.1	-37.0	24
11	5.3	0.9	-7.4	-41.0	19
12	5.4	0.0	3.6	-29.5	31
13	5.5	0.3	71.5	-38.0	23
14	5.5	0.3	2.4	-36.0	25
15	5.7	0.7	-60.6	-33.5	27
16	5.8	0.5	22.5	-45.0	16
17	5.8	0.5	38.9	-44.0	17
18	6.8	0.0	-37.5	-25.5	34
19	7.5	0.7	29.3	-44.0	15
20	9.4	0.0	24.0	-39.0	19

1	1.0	0.2	1.8	-22.0	43
2	1.3	0.9	43.4	-43.5	22
3	1.4	0.8	43.2	-40.0	25
4	1.5	0.5	39.1	-26.0	41
5	2.5	0.0	19.8	-25.0	40
6	2.6	0.4	60.1	-29.0	35
7	2.7	0.6	33.2	-40.5	24
8	3.6	0.0	52.5	-25.5	38
9	4.3	0.0	60.7	-27.0	36
10	4.4	0.4	-7.1	-38.5	24
11	4.4	0.4	4.9	-38.5	24
12	5.4	0.3	-44.6	-37.5	25
13	5.4	0.0	-30.5	-28.5	34
14	5.8	0.7	-65.1	-37.0	24
15	5.8	0.7	61.2	-39.0	22
16	6.2	0.5	7.3	-40.0	21
17	6.9	0.0	-37.8	-26.0	35
18	7.5	0.6	-55.2	-49.0	13
19	7.5	0.6	-37.2	-49.0	13
20	9.4	0.0	24.8	-39.0	20
21	9.4	0.0	-29.0	-40.0	19
22	9.4	0.0	-5.3	-42.0	17
23	15.6	0.0	69.8	-47.5	14

1	1.1	0.2	-1.4	-25.0	44
2	1.1	0.0	-0.7	-30.0	35
3	1.4	0.8	44.6	-32.5	32
4	1.5	0.7	43.8	-32.5	33
5	1.5	0.5	41.7	-23.5	44
6	2.4	0.0	9.6	-25.5	36
7	2.6	0.4	33.3	-21.0	41
8	2.8	0.6	36.0	-41.0	20
9	3.2	0.9	0.3	-49.0	17
10	3.7	-0.1	51.6	-25.0	39
11	4.3	0.0	61.1	-26.5	35
12	4.4	0.4	1.5	-33.5	29
13	5.4	0.3	40.6	-43.0	19
14	5.4	0.3	25.0	-44.0	18
15	5.5	0.0	-15.7	-31.0	31
16	5.5	0.0	-31.1	-29.0	33
17	5.8	0.7	-60.3	-38.0	23
18	6.1	0.4	34.6	-38.5	22
19	6.1	0.4	2.1	-39.5	21
20	6.7	0.8	37.6	-41.0	18
21	6.9	0.0	-37.7	-25.5	35
22	7.4	0.6	-33.5	-47.0	14
23	8.5	-0.1	-10.3	-42.5	19
24	9.4	0.0	48.1	-39.5	20
25	9.4	0.0	25.7	-40.5	19
26	15.6	0.0	66.0	-46.5	13

1	1.1	0.1	3.6	-26.5	43
2	1.2	0.0	0.8	-33.0	31
3	1.5	0.8	47.5	-35.0	31
4	1.6	0.6	42.4	-22.5	44
5	2.4	-0.1	-3.4	-22.0	40
6	2.6	0.3	14.8	-23.5	39
7	2.6	0.3	-12.6	-25.5	37
8	4.3	0.0	60.9	-26.5	35
9	5.5	0.0	4.5	-30.5	31
10	5.9	0.7	33.7	-33.0	28
11	6.1	0.5	-11.2	-43.5	17
12	6.9	0.0	-37.7	-25.5	36
13	7.3	30.4	30.4	-45.5	16
14	8.5	0.0	-42.8	-38.5	20
15	8.5	0.0	65.3	-39.5	19
16	9.4	0.0	49.8	-39.0	22
17	9.4	0.0	-51.0	-40.0	21
18	15.6	-0.1	67.7	-45.5	13

1	1.1	0.1	4.8	-23.5	44
2	1.6	0.8	47.6	-35.5	33
3	1.7	0.4	44.3	-35.5	33
4	2.4	-0.1	-0.3	-21.5	39
5	2.6	0.4	34.4	-25.5	37
6	4.3	0.0	60.3	-26.0	38
7	4.4	0.3	40.9	-41.5	23
8	5.4	0.2	12.2	-41.0	21
9	5.6	0.0	3.5	-30.0	33
10	5.9	0.7	19.7	-37.0	25
11	5.9	0.7	38.2	-36.0	26
12	6.1	0.4	-54.0	-43.5	17
13	6.5	0.9	41.3	-45.5	17
14	6.9	0.0	-37.7	-25.0	36
15	7.6	0.6	-45.5	-49.5	13
16	7.6	0.6	-7.7	-51.5	11
17	8.5	0.0	-41.3	-37.5	23
18	9.4	0.0	45.5	-39.0	22
19	9.4	0.0	-7.3	-40.0	21
20	15.6	-0.1	66.3	-47.0	13

1	1.1	0.0	7.2	-22.5	44
2	1.6	0.6	45.2	-26.5	39
3	2.3	-0.1	-0.6	-12.5	45
4	2.6	0.4	35.2	-24.5	36
5	4.3	0.0	60.4	-27.5	37
6	4.6	0.2	3.0	-43.5	19
7	4.6	0.2	-66.4	-45.5	17
8	5.5	-0.1	4.6	-28.5	33
9	6.0	0.5	-10.2	-43.0	19
10	6.0	0.5	-23.5	-43.0	19
11	6.1	0.8	4.6	-42.5	18
12	6.2	0.4	-48.1	-44.0	18
13	6.7	0.6	41.3	-45.0	15
14	6.9	0.0	-37.7	-24.5	36
15	7.1	0.2	-58.0	-48.0	13
16	8.5	0.0	-43.0	-38.0	22
17	9.5	0.0	-6.9	-38.5	23
18	9.5	0.0	5.0	-39.5	22
19	15.6	-0.1	67.3	-45.0	14
20	27.1	0.0	61.5	-46.5	13

1	1.0	-0.1	9.3	-31.5	42
2	1.6	0.7	47.1	-24.5	38
3	2.4	0.0	1.3	-0.5	46
4	2.6	0.4	37.3	-25.0	26
5	3.2	0.7	43.5	-44.5	18
6	3.2	0.7	27.7	-46.5	16
7	3.8	0.0	0.7	-28.5	34
8	4.5	0.4	34.4	-43.0	19
9	4.5	0.4	56.3	-45.0	17
10	5.1	0.7	42.8	-43.5	18
11	5.3	0.0	1.1	-20.0	42
12	5.7	0.9	5.7	-45.5	14
13	5.7	0.3	2.1	-39.0	20
14	6.1	0.8	37.2	-42.5	16
15	6.9	0.0	-37.6	-24.5	34
16	6.9	0.7	-72.4	-45.0	14
17	6.9	0.7	-47.4	-46.0	13
18	8.5	0.0	-31.0	-38.0	20
19	8.5	0.0	30.3	-39.0	19
20	9.5	0.0	54.4	-40.0	21
21	9.5	0.0	-52.9	-42.0	19

1	1.0	-0.1	10.3	-36.0	39
2	1.7	0.8	46.4	-23.5	43
3	1.9	0.6	40.3	-28.5	27
4	2.4	0.0	0.1	-5.0	46
5	2.7	0.4	22.1	-26.0	29
6	3.0	0.8	37.3	-44.5	21
7	3.6	0.2	21.4	-44.5	19
8	4.4	-0.1	60.9	-24.5	38
9	5.4	0.0	1.3	-18.5	42
10	5.7	0.3	3.3	-42.0	19
11	6.9	0.0	-37.6	-24.5	35
12	6.9	0.8	28.0	-41.5	18
13	8.4	0.0	-4.0	-37.5	24
14	9.6	0.0	59.5	-41.0	20
15	9.6	0.0	-25.4	-43.0	18
16	13.4	0.0	63.3	-47.5	13
17	13.4	0.0	8.6	-49.5	11
18	15.6	0.0	66.4	-46.5	13

1	1.0	0.0	11.9	-37.0	38
2	1.9	0.7	41.0	-21.0	34
3	2.3	0.0	0.1	-5.0	46
4	2.7	0.5	39.9	-24.0	32
5	3.8	-0.6	17.9	-46.5	17
6	3.8	0.0	-52.0	-29.5	35
7	4.1	-0.4	38.3	-45.0	18
8	4.5	0.0	64.8	-27.5	35
9	4.5	0.0	-62.9	-27.5	35
10	5.4	0.0	2.5	-22.0	40
11	5.7	0.2	4.8	-37.5	24
12	6.9	0.0	-37.4	-24.0	36
13	7.0	0.9	37.6	-41.0	18
14	8.5	-0.1	-39.2	-38.0	23
15	9.6	0.0	54.3	-41.0	19
16	27.1	0.0	61.3	-46.0	13

1	1.0	0.0	13.3	-35.0	40
2	2.0	0.8	41.5	-25.0	30
3	2.0	0.7	38.4	-31.5	23
4	2.3	0.0	0.5	-4.5	47
5	2.6	0.5	20.4	-33.5	21
6	2.9	0.9	43.5	-40.0	23
7	3.4	0.3	22.6	-36.5	25
8	3.7	0.0	-52.2	-31.0	31
9	4.4	0.0	-1.1	-29.0	33
10	5.4	0.0	-1.5	-23.5	34
11	5.4	0.5	-72.1	-39.5	20
12	6.1	0.9	-5.5	-44.0	13
13	6.9	0.0	-37.4	-24.0	32
14	7.1	0.9	32.1	-35.5	23
15	8.5	-0.1	-6.7	-39.0	17
16	8.5	-0.1	-17.7	-41.0	15
17	9.6	0.0	60.8	-40.5	17

1	1.0	0.2	15.5	-35.5	43
2	1.9	0.9	51.7	-26.0	31
3	1.9	0.9	21.4	-27.0	30
4	2.3	0.0	0.2	-5.0	46
5	2.8	0.6	-7.9	-31.5	23
6	2.8	0.6	8.3	-33.5	21
7	3.6	0.0	-51.5	-30.5	33
8	4.5	0.0	-61.3	-28.0	34
9	4.5	0.6	51.7	-44.0	17
10	5.4	0.0	2.1	-21.5	40
11	5.7	0.4	4.2	-35.5	26
12	5.8	1.1	15.4	-43.5	18
13	6.9	0.0	-37.5	-24.0	36
14	7.0	0.4	-37.1	-45.5	14
15	7.1	0.9	35.8	-39.5	21
16	7.1	0.9	54.5	-39.5	21
17	8.5	0.0	-4.1	-38.0	22
18	9.6	0.0	63.4	-40.5	19
19	9.6	0.0	-25.2	-41.5	18
20	13.4	-0.1	42.8	-46.5	13

1	1.1	0.3	-53.0	-41.5	34
2	2.0	0.8	55.7	-36.0	21
3	2.0	0.8	-9.0	-36.0	21
4	2.3	0.0	0.3	-5.0	46
5	2.4	0.2	0.6	-15.5	37
6	2.8	0.6	25.8	-29.0	26
7	2.8	0.6	-7.3	-31.0	24
8	3.6	0.0	-51.3	-31.5	32
9	4.4	0.0	-61.3	-28.0	34
10	4.6	0.5	18.3	-45.0	18
11	5.4	-0.1	1.0	-21.0	40
12	5.4	0.6	16.0	-42.0	20
13	5.8	1.2	18.3	-47.0	15
14	5.8	0.4	5.0	-39.5	20
15	6.9	0.0	-37.5	-24.0	37
16	7.1	0.5	14.4	-41.5	19
17	8.5	0.0	-36.0	-37.5	22
18	9.6	-0.1	38.5	-40.0	19
19	9.6	-0.1	24.5	-41.0	18
20	13.3	0.0	64.0	-47.0	13
21	15.6	-0.1	64.4	-46.0	13
22	19.0	-0.5	49.6	-47.0	14

1	1.2	0.2	21.8	-31.0	41
2	1.9	0.8	54.6	-32.5	22
3	2.3	0.0	0.2	-5.0	46
4	2.4	0.2	23.6	-14.0	37
5	2.9	0.6	24.1	-40.5	22
6	3.6	0.0	-51.7	-32.0	32
7	4.5	0.3	23.9	-39.0	24
8	4.5	0.0	-60.6	-28.5	35
9	4.6	0.5	3.8	-33.5	29
10	5.4	0.0	1.6	-19.5	40
11	5.6	0.3	20.4	-41.0	21
12	6.3	0.6	-74.6	-45.0	15
13	6.9	0.0	-37.5	-24.0	38
14	7.1	0.8	-59.9	-47.5	13
15	7.4	0.4	-47.8	-45.0	16
16	7.4	0.4	13.1	-46.0	15
17	7.8	0.7	44.5	-44.0	16
18	7.8	0.7	-4.7	-45.0	15
19	8.5	-0.1	-6.0	-38.0	21
20	9.6	-0.1	65.2	-40.5	19
21	15.6	0.0	65.4	-45.5	14

1	1.2	0.4	26.2	-26.0	43
2	2.0	0.8	54.5	-33.5	23
3	2.3	0.0	0.2	-5.0	45
4	2.4	0.2	23.6	-11.0	40
5	2.9	0.5	-65.2	-37.5	26
6	3.1	0.8	-28.6	-46.0	18
7	3.1	0.8	-45.2	-48.0	16
8	3.5	-0.1	-51.1	-30.5	34
9	4.4	0.0	-61.9	-29.0	34
10	4.6	0.2	-18.0	-40.0	22
11	4.7	0.5	0.2	-42.0	18
12	4.7	0.5	32.6	-41.0	19
13	5.4	0.0	1.1	-20.5	42
14	5.7	0.4	4.7	-37.5	25
15	6.9	0.0	-37.5	-24.5	38
16	7.1	0.5	44.7	-47.5	13
17	7.9	0.7	44.9	-45.5	14
18	8.4	0.0	-2.5	-38.5	20
19	9.6	0.0	68.8	-40.0	20
20	15.6	0.0	63.9	-45.5	14
21	18.7	-0.5	1.0	-43.5	16
22	18.7	-0.5	33.5	-45.5	14
23	19.0	-0.1	67.4	-46.5	13

1	1.2	0.6	30.3	-32.5	38
2	1.2	0.4	29.9	-35.0	35
3	1.3	0.2	26.4	-31.5	40
4	2.3	0.0	0.2	-4.5	46
5	2.4	0.2	25.8	-16.5	35
6	3.5	0.0	-51.3	-31.0	32
7	3.6	-38.9	2.3	-50.0	17
8	4.4	0.0	-61.6	-29.0	34
9	4.7	0.4	33.8	-39.5	21
10	4.7	0.4	1.1	-40.5	20
11	5.4	0.0	1.5	-20.0	39
12	5.7	0.5	33.6	-44.0	15
13	5.7	0.5	19.3	-45.0	14
14	6.5	0.7	26.0	-44.0	14
15	6.5	0.7	46.3	-46.0	12
16	6.9	0.0	-37.4	-24.5	36
17	7.3	0.5	-0.8	-47.5	13
18	7.3	0.5	57.3	-49.5	11
19	8.4	0.0	-4.7	-38.5	22
20	9.5	0.0	69.1	-40.0	21
21	16.1	-63.8	-7.7	-46.5	13
22	18.7	-0.4	30.4	-45.5	13
23	27.1	0.0	63.0	-45.5	13

1	1.2	0.5	32.0	-29.5	38
2	1.3	0.3	29.4	-21.5	44
3	2.0	0.7	59.7	-37.0	18
4	2.3	0.0	0.3	-4.5	46
5	2.4	0.2	26.2	-19.0	32
6	3.6	0.0	-51.4	-30.0	33
7	4.1	0.2	1.9	-39.0	24
8	4.4	0.0	-61.1	-29.0	34
9	5.4	0.0	1.6	-20.0	41
10	5.8	0.3	-11.4	-40.5	20
11	6.4	0.8	-60.3	-40.5	20
12	6.4	0.5	-69.6	-42.5	18
13	6.8	0.0	-37.4	-25.0	35
14	7.3	0.4	-44.9	-46.5	13
