ID	Range	Rate	Angle	Rcs	Snr
5	3.6	0.0	-51.6	-30.5	33
6	4.5	0.0	-60.3	-29.0	33
7	4.7	-0.2	-6.9	-30.0	32
8	5.1	0.2	74.3	-42.5	19
9	5.3	0.0	1.0	-20.0	41
10	6.5	-1.0	31.2	-45.0	15
11	7.4	0.0	-68.0	-34.0	27
12	9.3	0.0	22.5	-42.0	19
13	13.6	-39.9	-10.9	-47.0	13
14	15.6	0.0	66.1	-44.5	14

1	1.4	-1.0	40.7	-32.5	36
2	1.6	-0.9	47.4	-32.5	34
3	1.6	-0.9	31.2	-33.5	33
4	1.8	-0.6	-29.5	-29.0	36
5	2.3	0.0	0.3	-4.5	46
6	2.4	-0.3	-15.6	-22.0	30
7	2.9	-1.3	-62.1	-39.0	24
8	3.7	0.0	-51.8	-30.5	33
9	4.5	0.0	-60.6	-29.0	32
10	4.7	-0.3	-23.4	-35.5	27
11	5.3	0.0	0.8	-20.5	40
12	6.8	-1.1	41.6	-46.0	15
13	6.8	-1.1	-52.9	-47.0	14
14	7.4	0.0	-42.8	-36.0	24
15	7.4	0.0	-66.1	-37.0	23
16	8.3	0.0	31.5	-44.0	16
17	9.2	0.0	22.4	-42.5	17
18	15.6	0.0	63.4	-43.0	15

1	1.0	-0.7	28.8	-38.0	37
2	1.4	-1.0	40.0	-27.0	43
3	1.7	-0.5	-31.1	-26.5	38
4	2.3	0.0	0.3	-5.0	47
5	2.4	-0.3	-14.2	-23.5	29
6	3.6	0.0	-51.5	-31.0	33
7	3.7	-0.4	17.1	-36.0	29
8	4.5	0.0	-60.4	-29.5	34
9	4.7	-0.3	-23.6	-36.0	27
10	5.0	0.2	26.0	-43.0	19
11	5.4	0.0	1.5	-19.5	42
12	5.5	-1.0	33.5	-42.0	18
13	5.5	-1.0	-64.8	-43.0	17
14	6.4	0.1	-43.2	-43.5	17
15	6.7	-1.1	37.8	-49.5	13
16	7.3	0.0	-40.7	-35.5	25
17	7.3	0.0	-66.3	-37.5	23
18	9.4	0.0	73.4	-41.0	19
19	15.6	0.0	64.0	-44.5	14
20	19.1	0.0	69.8	-44.0	15
21	27.2	-0.1	61.6	-47.0	13

1	0.7	-0.8	32.6	-39.5	28
2	1.3	-1.0	35.5	-30.5	36
3	1.7	-0.5	-26.9	-24.5	39
4	2.3	-0.7	-29.7	-32.0	19
5	2.3	0.0	0.3	-5.0	46
6	2.4	-0.3	-12.4	-20.0	32
7	3.7	-0.1	-52.9	-31.0	32
8	3.8	-0.4	14.1	-41.0	23
9	4.1	-0.7	3.6	-41.5	19
10	4.1	-0.7	38.3	-42.5	18
11	4.5	0.0	-59.9	-29.0	35
12	4.7	-0.4	-22.0	-30.5	32
13	5.0	0.3	-74.3	-43.5	19
14	5.4	0.0	0.9	-20.5	41
15	6.8	0.0	-36.9	-32.0	28
16	9.4	0.0	-25.9	-39.0	21
17	13.9	-63.8	7.9	-46.0	14
18	13.9	-63.8	53.1	-47.0	13
19	15.6	0.0	65.2	-44.5	14
20	19.6	-63.8	28.4	-44.0	15
21	27.7	-63.8	49.7	-46.5	13

1	1.4	-1.0	38.9	-29.5	38
2	1.7	-0.5	-37.7	-23.0	42
3	2.2	-0.8	-27.3	-33.0	18
4	2.3	0.0	0.3	-5.0	47
5	2.4	-0.3	-31.6	-24.0	28
6	3.7	-0.1	-53.5	-29.5	33
7	4.0	-0.7	27.9	-43.0	20
8	4.4	0.0	33.0	-29.5	31
9	4.7	-0.4	-2.5	-33.0	27
10	5.3	0.0	0.5	-22.5	37
11	5.8	-0.5	-23.6	-46.0	14
12	6.9	-0.1	-37.9	-30.0	31
13	7.0	-60.5	-25.3	-44.0	16
14	7.0	-60.5	0.6	-45.0	15
15	7.0	-60.5	11.1	-47.0	13
16	9.4	0.0	-25.6	-39.0	18
17	18.3	0.1	-17.1	-42.5	14
18	18.3	0.1	40.2	-43.5	13
19	18.3	0.1	57.9	-43.5	13

1	1.0	-0.5	13.9	-31.5	38
2	1.3	-0.9	30.6	-27.5	40
3	1.6	-0.8	-22.1	-31.5	33
4	1.7	-0.6	-38.5	-29.0	36
5	2.1	-1.8	38.5	-38.5	17
6	2.3	-0.9	-27.6	-32.0	19
7	2.3	0.0	0.2	-5.0	46
8	4.4	0.0	59.5	-24.5	38
9	4.5	-0.5	2.1	-32.0	31
10	5.3	0.0	0.8	-23.0	40
11	5.4	-0.9	37.1	-43.5	17
12	5.8	-0.6	-27.3	-45.5	13
13	5.8	-0.6	-14.6	-46.5	12
14	6.4	-1.1	26.5	-40.5	21
15	6.4	-1.1	-6.9	-40.5	21
16	6.5	-0.9	-49.2	-45.0	15
17	6.5	-0.9	47.1	-46.0	14
18	6.8	0.0	-37.2	-26.0	37
19	9.4	0.0	-25.9	-41.5	18
20	15.6	0.0	63.5	-45.5	14
21	19.1	0.0	66.3	-45.5	13

1	1.0	-0.4	9.0	-35.5	34
2	1.4	-0.9	45.7	-26.0	37
3	1.6	-0.6	-13.6	-18.0	42
4	1.8	-1.1	-35.0	-39.5	21
5	2.3	0.0	0.2	-5.0	46
6	3.1	-0.7	-24.9	-32.0	25
7	3.8	0.0	-51.6	-27.0	37
8	3.8	0.0	-20.3	-27.0	37
9	4.0	-0.2	-18.8	-43.0	21
10	4.3	0.0	61.8	-26.5	36
11	4.3	0.0	-1.4	-28.5	34
12	4.5	-0.5	36.6	-35.0	28
13	4.5	-0.5	-62.9	-35.0	28
14	5.1	0.3	-61.1	-42.0	20
15	5.3	-0.8	-72.0	-42.0	19
16	5.3	0.0	1.0	-23.5	40
17	5.4	-0.2	8.5	-42.0	19
18	5.4	0.6	-17.3	-46.0	17
19	6.3	-1.1	-50.4	-45.0	13
20	6.3	-1.1	25.7	-45.0	13
21	6.4	-1.0	-57.5	-43.0	15
22	6.4	-1.0	37.0	-44.0	14
23	6.8	0.0	-37.1	-25.5	35
24	8.2	0.0	0.1	-41.5	19
25	9.3	0.0	-25.1	-42.0	17
26	15.6	-0.1	65.3	-45.5	14
27	18.4	0.1	16.6	-46.0	13
28	18.4	0.1	-64.9	-48.0	11
29	19.0	0.0	-49.8	-44.5	14
30	19.0	0.0	-14.1	-46.5	12
31	19.4	-0.9	-15.0	-40.5	17

1	0.9	-0.3	6.7	-40.5	28
2	1.3	-0.8	24.8	-26.5	38
3	1.6	-0.6	-11.8	-19.0	44
4	2.0	-0.9	-47.7	-34.5	21
5	2.3	0.0	0.3	-5.0	47
6	2.5	-0.6	-31.3	-29.5	26
7	3.0	-0.7	-23.1	-29.0	32
8	4.3	0.0	62.0	-25.5	37
9	4.3	0.0	-1.4	-27.5	35
10	4.5	-0.5	-32.3	-37.5	24
11	4.5	-0.5	21.4	-37.5	24
12	4.5	-0.5	-8.3	-39.5	22
13	5.0	-0.8	24.6	-41.0	18
14	5.1	0.3	-35.0	-42.0	20
15	5.1	0.3	-15.6	-44.0	18
16	5.3	-0.1	1.1	-22.0	39
17	5.5	28.8	33.2	-47.5	13
18	6.4	-1.0	-57.3	-45.0	15
19	6.8	0.0	-37.1	-24.5	36
20	8.7	29.8	26.7	-45.5	13
21	8.7	29.8	71.0	-43.5	15
22	9.4	-0.1	-65.6	-42.5	17
23	9.4	-0.1	-2.2	-44.5	15
24	15.6	0.0	63.0	-44.0	14
25	18.4	0.1	35.2	-43.5	15
26	19.3	-29.9	63.9	-45.5	15
27	19.4	-0.8	42.8	-38.5	20
28	19.4	-0.9	-3.6	-37.5	20

1	1.0	-0.2	5.1	-40.0	29
2	1.2	-0.7	23.3	-30.0	35
3	1.4	-0.9	-20.2	-31.0	34
4	1.6	-0.5	-9.6	-24.0	39
5	1.7	-1.4	-11.7	-47.0	17
6	1.7	-1.4	-46.8	-49.0	15
7	1.7	-1.2	-32.7	-40.5	23
8	1.9	-0.9	-25.0	-32.5	21
9	2.3	-0.1	0.8	-2.5	47
10	2.4	-0.5	-15.1	-29.0	20
11	3.0	-0.7	-22.7	-27.0	34
12	4.3	0.0	33.7	-26.5	37
13	4.5	-0.5	4.1	-36.0	26
14	4.5	-0.5	-23.8	-37.0	25
15	5.2	0.3	64.8	-44.0	17
16	5.3	-0.1	0.4	-26.5	34
17	6.2	-1.0	-52.9	-36.0	24
18	6.8	0.0	-37.4	-25.5	36
19	8.6	0.0	-31.7	-43.0	19
20	8.6	0.0	68.3	-45.0	17
21	9.5	0.0	-62.7	-42.0	18
22	15.6	-0.1	65.2	-43.5	14
23	18.4	0.2	38.0	-44.0	15
24	19.1	-0.1	64.9	-45.5	13
25	19.3	-0.9	40.6	-41.0	17
26	19.3	-0.9	-11.4	-43.0	15
27	19.4	-0.7	44.4	-38.5	19
28	19.4	-0.7	29.1	-40.5	17
29	20.0	-1.8	-7.0	-42.5	15

1	0.9	-0.1	-0.1	-38.0	32
2	1.0	-1.0	43.8	-40.5	28
3	1.0	-1.0	28.6	-42.5	26
4	1.3	-0.7	19.9	-29.0	33
5	1.6	-0.4	-7.3	-19.0	43
6	1.8	-1.6	30.0	-35.5	24
7	2.3	-0.1	0.1	-6.5	45
8	3.7	0.0	51.3	-24.5	39
9	4.0	-0.6	7.0	-39.5	20
10	4.3	0.0	60.5	-26.0	36
11	4.5	-0.5	-33.6	-42.0	18
12	5.3	-0.1	-0.3	-30.5	30
13	5.4	0.3	-32.7	-43.5	17
14	5.4	-1.0	17.8	-43.5	17
15	5.4	-1.0	-60.9	-41.5	19
16	6.2	-1.0	-51.6	-40.0	18
17	6.5	0.1	5.9	-43.0	19
18	6.8	0.0	-37.1	-26.0	34
19	9.5	0.0	-56.0	-39.5	20
20	15.6	0.0	62.0	-44.5	14
21	18.4	0.1	37.3	-42.0	17
22	18.6	0.3	41.4	-44.0	14
23	19.1	0.0	64.2	-45.0	13
24	19.3	-0.9	35.2	-42.0	16
25	19.3	-0.7	30.3	-37.0	20
26	19.3	-0.7	45.8	-37.0	20
27	27.2	0.0	62.8	-46.5	13
28	46.3	0.2	-38.9	-44.0	15

1	1.1	-0.6	17.1	-29.5	38
2	1.5	-0.4	-5.2	-17.5	43
3	1.7	-1.5	30.1	-33.5	27
4	2.3	-0.1	0.2	-8.5	46
5	3.7	0.2	24.8	-45.5	17
6	3.7	-0.1	53.6	-26.5	35
7	3.7	-0.6	7.5	-37.0	23
8	4.3	0.0	61.1	-26.0	34
9	4.5	-0.4	19.8	-37.5	24
10	4.5	-0.4	-37.9	-39.5	22
11	5.3	-0.1	0.9	-28.0	30
12	5.7	0.8	-8.9	-44.0	15
13	6.1	-1.0	35.2	-37.0	22
14	6.8	0.0	-36.9	-26.0	34
15	8.5	-0.1	1.3	-42.0	15
16	9.5	0.0	-57.3	-40.5	18
17	19.3	-0.7	32.8	-40.5	14

1	0.8	-0.7	29.8	-39.0	24
2	1.0	-0.1	-3.4	-31.0	28
3	1.1	-0.3	4.6	-16.5	45
4	1.6	-1.3	-6.3	-41.5	21
5	1.6	-1.4	-8.3	-39.0	24
6	1.8	-0.6	-42.8	-28.5	34
7	3.6	0.0	51.5	-26.5	35
8	4.3	0.0	60.4	-27.0	36
9	4.7	-0.3	23.5	-45.0	18
10	5.5	-1.0	-66.5	-40.0	21
11	6.2	0.0	66.3	-34.0	27
12	6.8	0.0	-37.2	-26.0	34
13	9.5	0.0	-26.9	-41.0	20
14	9.5	0.0	18.5	-41.0	20
15	15.6	0.0	64.5	-44.0	15
16	18.5	0.2	14.6	-41.5	18
17	18.7	0.4	36.9	-43.0	18
18	19.1	0.0	68.2	-44.5	14
19	19.1	-0.8	2.5	-45.0	13
20	19.3	-0.6	32.6	-44.0	14

1	1.0	-0.1	-3.6	-19.0	43
2	1.6	-0.6	-39.4	-29.5	32
3	1.7	-1.1	-3.1	-43.5	21
4	2.0	-1.5	27.3	-44.0	21
5	2.0	-1.5	63.1	-46.0	19
6	2.3	-0.4	24.8	-35.0	30
7	2.7	0.0	-22.7	-29.5	35
8	3.6	-0.4	-2.2	-43.0	19
9	3.7	0.0	54.0	-26.5	37
10	4.3	0.0	60.5	-27.0	35
11	4.4	0.3	38.2	-37.0	24
12	5.1	0.4	-68.6	-45.5	17
13	5.3	-0.9	21.2	-38.0	19
14	6.0	0.2	65.4	-40.0	22
15	6.0	0.2	4.9	-41.0	21
16	6.1	0.4	37.1	-43.0	19
17	6.1	0.4	4.8	-45.0	17
18	6.8	0.0	-37.2	-25.5	34
19	9.5	0.0	-54.6	-40.5	19
20	15.6	0.0	64.2	-44.0	15
21	18.6	0.4	22.1	-44.5	14
22	18.6	0.4	36.9	-44.5	14
23	18.6	0.2	36.3	-41.5	17
24	19.1	0.0	68.0	-45.0	13

1	0.6	-0.1	-0.9	-28.0	34
2	0.7	-0.7	25.3	-39.0	23
3	1.4	-0.4	-7.1	-26.0	38
4	1.6	-0.8	21.4	-45.0	19
5	3.0	-1.1	-17.0	-44.0	20
6	3.0	-1.1	-30.6	-45.0	19
7	3.4	-0.5	-7.8	-45.5	18
8	3.7	0.0	54.0	-26.5	36
9	4.3	0.0	60.7	-27.0	35
10	4.3	0.3	34.4	-40.0	20
11	5.5	-0.9	-71.4	-41.5	20
12	6.0	-30.2	-9.8	-47.5	14
13	6.0	0.2	63.3	-47.0	14
14	6.0	0.2	-33.9	-49.0	12
15	6.0	-0.8	-57.8	-40.5	20
16	6.1	0.4	34.5	-43.5	17
17	6.2	0.0	66.8	-33.5	28
18	6.8	0.0	-37.3	-25.5	34
19	9.5	0.0	-54.5	-39.0	20
20	9.5	0.0	46.5	-41.0	18
21	15.6	-0.1	62.8	-44.5	13
22	19.1	0.0	67.3	-44.0	14

1	0.7	-0.6	23.6	-35.5	28
2	1.0	0.3	-20.0	-47.0	28
3	1.4	-0.1	3.2	-26.5	40
4	1.5	-0.4	7.4	-35.0	26
5	1.6	-0.6	18.6	-36.0	25
6	1.9	-1.1	15.8	-48.0	19
7	2.8	0.0	-20.0	-28.0	37
8	2.8	-0.4	2.2	-43.5	20
9	3.0	-1.1	-16.3	-50.0	17
10	3.0	-1.1	-30.0	-50.0	17
11	3.1	0.2	-20.6	-44.5	22
12	3.7	0.0	53.6	-26.0	38
13	4.3	0.0	60.6	-27.0	37
14	4.4	0.1	54.8	-46.0	17
15	4.4	0.4	30.5	-39.0	23
16	5.5	-0.8	17.1	-39.5	22
17	5.8	-0.1	-11.6	-33.5	28
18	6.1	-0.6	-30.2	-47.5	13
19	6.1	-0.6	32.1	-47.5	13
20	6.5	0.4	-53.2	-39.0	24
21	6.5	0.4	-35.9	-41.0	22
22	6.8	0.0	-37.6	-25.0	37
23	8.9	0.0	-46.3	-40.0	21
24	8.9	0.0	-68.7	-42.0	19
25	9.5	0.0	59.2	-39.5	22
26	13.1	26.8	63.3	-47.0	13
27	13.1	26.8	-66.6	-49.0	11
28	15.6	0.0	63.8	-44.5	14
29	18.5	0.3	17.3	-45.0	16
30	18.5	0.3	31.3	-45.0	16
31	19.1	0.0	65.6	-45.5	13
32	19.4	-0.3	24.6	-41.5	17

1	0.6	0.1	-7.4	-29.0	36
2	0.7	-0.3	11.7	-31.5	32
3	0.7	-0.6	22.2	-34.5	29
4	1.5	-0.1	7.0	-34.0	26
5	1.8	-1.0	37.2	-49.0	18
6	3.0	0.3	-15.0	-44.0	20
7	3.0	-0.3	-18.3	-40.5	20
8	3.7	0.0	53.8	-26.5	36
9	4.1	-0.7	-42.7	-48.0	18
10	4.1	-0.7	-65.7	-49.0	17
11	4.3	0.0	60.3	-27.0	35
12	4.5	0.5	26.5	-37.0	25
13	4.5	0.2	24.7	-39.5	22
14	4.5	0.2	8.7	-40.5	21
15	5.0	0.2	26.4	-39.5	23
16	5.0	-0.2	-65.6	-43.0	17
17	5.2	-0.8	-74.6	-40.5	23
18	5.4	0.5	19.5	-38.5	24
19	5.4	0.5	-13.5	-39.5	23
20	6.1	0.6	26.3	-42.5	20
21	6.1	0.3	1.6	-45.5	17
22	6.9	-0.1	-37.2	-24.0	37
23	9.5	0.0	-58.3	-38.5	21
24	9.8	-0.7	53.9	-47.5	14
25	9.9	0.6	26.9	-46.5	13
26	15.6	0.0	65.0	-45.0	15
27	18.6	0.3	31.3	-46.0	13
28	18.6	0.3	17.0	-47.0	12
29	19.1	0.0	68.1	-44.5	16
30	46.6	0.6	25.8	-42.5	16

1	0.6	0.2	-12.9	-34.5	30
2	1.3	-0.1	-2.7	-20.5	43
3	1.6	0.4	3.2	-43.0	22
4	1.8	-0.9	5.3	-39.5	26
5	2.0	-1.2	7.6	-51.0	17
6	2.4	0.0	0.7	-25.0	40
7	3.0	0.4	17.8	-47.5	18
8	3.7	0.0	53.7	-26.0	36
9	4.3	0.0	60.5	-27.0	34
10	4.5	0.3	4.2	-42.0	20
11	4.5	0.3	-37.3	-44.0	18
12	5.1	-0.7	21.6	-37.5	24
13	6.0	0.3	70.9	-43.5	17
14	6.1	0.0	67.0	-34.5	27
15	6.2	0.6	22.5	-41.0	20
16	6.9	0.0	-37.1	-27.0	34
17	8.8	0.0	-46.6	-42.0	18
18	8.8	0.0	25.4	-44.0	16
19	9.6	0.0	-59.6	-41.0	18
20	9.9	0.7	22.7	-48.0	13
21	15.6	0.0	62.5	-44.5	13
22	19.0	0.7	22.0	-38.0	19
23	46.3	0.3	-17.6	-42.5	16

1	0.6	0.3	-17.6	-27.0	40
2	0.7	-0.1	-1.1	-30.0	36
3	0.7	0.7	-40.0	-47.0	19
4	0.7	-0.4	13.1	-41.5	22
5	1.7	-0.3	-10.9	-35.0	30
6	1.7	-0.3	-72.4	-37.0	28
7	1.8	-0.7	6.8	-40.5	27
8	2.0	0.4	43.1	-48.0	21
9	2.0	0.4	-22.2	-50.0	19
10	2.5	-0.1	38.9	-27.0	36
11	2.9	-0.3	-30.4	-40.0	22
12	3.6	0.0	53.3	-26.0	38
13	3.6	0.0	32.1	-28.0	36
14	4.3	0.0	60.5	-27.0	35
15	4.4	0.3	19.1	-45.5	17
16	5.2	0.3	34.5	-45.0	19
17	5.7	-0.7	-33.1	-40.5	22
18	5.7	-0.7	-6.5	-40.5	22
19	5.7	-0.7	26.3	-40.5	22
20	5.8	0.0	27.2	-33.0	28
21	6.2	0.7	18.7	-48.0	13
22	6.9	-27.4	-8.4	-48.0	13
23	6.9	0.0	-37.3	-23.5	38
24	7.2	0.4	-1.8	-49.5	13
25	9.4	0.0	20.4	-40.0	22
26	9.4	0.0	-5.3	-41.0	21
27	9.8	0.4	64.5	-44.5	16
28	10.0	0.8	17.6	-41.5	19
29	13.1	26.8	15.1	-48.5	13
30	15.6	-0.1	62.2	-44.0	14
31	19.0	0.8	17.5	-40.0	20
32	19.1	0.0	67.3	-44.5	16
33	27.1	0.0	62.8	-46.5	13
34	31.0	0.8	17.7	-45.5	14

1	0.6	0.4	-23.4	-39.5	26
2	0.6	0.0	-7.4	-29.5	37
3	0.7	-0.2	5.8	-33.0	31
4	1.0	0.9	-53.7	-56.5	17
5	1.0	0.6	-65.3	-44.5	28
6	2.3	0.5	-26.3	-48.0	19
7	2.6	0.0	21.1	-27.5	36
8	2.7	-0.3	31.9	-42.5	23
9	3.8	0.0	51.6	-26.5	35
10	4.3	0.0	60.6	-27.0	34
11	4.4	0.3	28.3	-45.5	17
12	5.1	-0.6	26.4	-41.5	21
13	5.8	-0.1	70.0	-33.5	26
14	6.0	0.4	-21.7	-48.5	13
15	6.8	-0.5	-36.8	-42.5	16
16	7.0	-0.1	33.9	-33.0	27
17	9.6	0.0	21.0	-39.0	19
18	10.1	0.9	12.2	-38.0	20
19	13.7	0.9	12.2	-43.0	15
20	15.6	0.0	34.7	-43.0	15
21	18.7	0.4	-61.1	-43.0	15
22	18.7	0.4	50.6	-44.0	14
23	18.9	0.9	12.1	-37.5	19
24	19.2	-0.5	57.8	-42.0	14
25	47.0	0.0	14.7	-38.5	17

1	0.6	0.2	-12.4	-29.0	36
2	0.7	-0.2	4.6	-36.5	26
3	1.2	0.6	-37.9	-43.0	21
4	1.5	0.3	15.0	-23.5	42
5	1.9	-0.4	0.9	-47.0	19
6	2.0	1.2	32.3	-49.0	17
7	2.4	0.2	-8.3	-33.5	29
8	2.6	0.0	21.4	-27.5	35
9	3.7	0.3	16.6	-43.0	17
10	3.7	0.0	49.0	-28.0	33
11	4.3	0.0	60.3	-27.0	32
12	5.0	-0.5	21.4	-36.5	22
13	5.8	0.0	67.5	-33.5	24
14	7.0	0.0	34.6	-33.5	23
15	9.2	0.0	67.9	-40.0	17
16	10.1	1.0	7.8	-38.5	17
17	18.7	0.5	-65.0	-39.5	13
18	18.8	1.0	6.7	-38.0	13
19	19.1	0.0	22.2	-40.0	13
20	19.3	-30.3	61.1	-39.5	13
21	19.3	-30.3	6.9	-40.5	12

1	0.7	0.1	-7.2	-29.0	37
2	1.3	0.7	-41.6	-39.0	21
3	1.5	0.3	17.6	-15.5	44
4	3.6	0.4	18.1	-37.0	25
5	3.7	0.0	50.5	-28.0	37
6	4.4	1.1	1.2	-43.5	19
7	4.4	0.0	34.1	-26.5	36
8	5.1	-0.5	68.4	-36.5	25
9	5.1	-0.5	-56.8	-38.5	23
10	5.5	0.7	-62.6	-41.5	19
11	6.0	0.0	32.2	-34.0	28
12	6.5	-0.9	21.1	-42.0	19
13	6.6	0.3	38.7	-45.5	15
14	6.6	0.3	6.4	-45.5	15
15	7.1	0.0	34.0	-33.0	29
16	9.5	-0.1	47.6	-40.5	20
17	9.5	-0.1	31.8	-42.5	18
18	9.5	-0.1	19.8	-44.5	16
19	14.3	1.1	1.4	-47.5	13
20	15.6	0.0	63.4	-45.0	14
21	18.7	0.6	-1.7	-41.5	19
22	18.9	-0.5	18.5	-43.5	16
23	19.1	0.0	65.9	-44.0	14
24	19.3	0.2	4.0	-35.0	23
25	19.3	1.1	2.0	-40.5	17
26	19.3	0.5	61.4	-40.5	19
27	46.6	0.6	-2.5	-44.0	14
28	46.7	1.1	1.9	-40.0	18
29	46.9	0.1	21.1	-45.5	13

1	1.0	1.2	-62.8	-55.5	17
2	1.4	0.1	4.1	-24.5	38
3	1.6	0.4	19.3	-20.5	43
4	1.6	0.9	20.3	-37.0	27
5	2.3	-0.1	1.0	-13.0	45
6	2.4	0.2	-1.5	-31.0	28
7	3.0	0.9	-20.3	-46.0	17
8	3.5	0.5	35.7	-38.5	22
9	3.6	0.0	49.0	-28.0	35
10	4.2	1.2	-4.4	-36.0	27
11	4.3	0.0	60.9	-28.0	33
12	4.4	0.2	47.5	-37.0	20
13	4.4	0.2	-43.4	-38.0	19
14	4.4	0.2	-29.0	-40.0	17
15	4.7	-0.8	24.1	-44.0	18
16	5.0	-0.1	-65.7	-30.5	28
17	5.3	0.6	10.8	-40.0	21
18	6.5	-0.8	24.0	-49.0	13
19	6.5	1.2	-2.2	-43.5	18
20	6.9	-0.3	-37.1	-45.5	15
21	7.0	0.0	34.0	-30.0	31
22	8.8	-0.1	-47.9	-41.5	17
23	8.8	-0.1	-72.7	-42.5	16
24	9.7	0.0	-65.5	-41.5	18
