ID	Range	Rate	Angle	Rcs	Snr
5	5.3	0.0	32.2	-30.0	32
6	6.8	0.0	-37.5	-24.5	37
7	9.7	0.0	-57.8	-39.0	21
8	15.8	0.0	62.1	-46.0	13
9	19.7	-0.1	27.5	-41.5	18
10	27.1	0.0	62.6	-45.5	14

1	1.2	0.0	-0.4	-17.5	45
2	2.4	0.0	-0.4	-13.0	47
3	3.7	0.0	53.9	-26.0	38
4	4.3	0.0	33.1	-24.5	39
5	5.3	-0.1	19.3	-28.0	34
6	6.8	0.0	-37.4	-25.0	35
7	9.7	0.0	-57.0	-38.5	22
8	19.7	0.0	-23.5	-39.5	20
9	27.1	0.0	62.4	-45.5	14

1	1.2	0.0	-60.9	-19.5	43
2	1.2	0.0	-0.5	-17.5	45
3	2.4	0.0	-0.5	-13.0	46
4	3.8	0.0	55.1	-26.0	38
5	4.3	0.0	59.4	-24.5	38
6	5.4	0.0	35.2	-28.5	32
7	6.9	0.0	-37.5	-25.5	34
8	8.3	0.0	-67.6	-41.0	19
9	9.7	0.0	-58.5	-38.5	21
10	19.3	29.8	-39.8	-40.0	17

1	1.2	0.0	-20.5	-19.0	45
2	1.2	0.0	26.2	-21.0	43
3	1.2	0.0	-31.1	-18.0	46
4	2.4	0.0	-0.7	-13.0	47
5	3.7	0.0	-56.3	-26.5	41
6	4.4	0.0	59.4	-25.0	38
7	5.4	0.0	-0.5	-30.0	32
8	6.9	0.0	-37.3	-25.0	38
9	8.1	0.0	-69.3	-40.0	22
10	8.1	0.0	-32.3	-42.0	20
11	9.6	0.0	18.9	-38.5	23
12	9.6	0.0	6.4	-39.5	22
13	16.0	0.0	-31.5	-41.0	18
14	16.0	0.0	53.1	-42.0	17
15	19.2	0.0	32.5	-40.5	19

1	1.2	0.0	7.5	-19.0	46
2	2.4	0.0	-0.6	-13.0	46
3	3.7	0.0	-57.8	-25.5	37
4	4.3	0.0	60.0	-25.0	38
5	5.4	0.0	-1.0	-30.5	32
6	6.8	0.0	-37.3	-24.5	37
7	8.3	0.0	-32.0	-42.0	19
8	8.3	0.0	-66.4	-40.0	21
9	9.6	0.0	19.0	-38.0	22
10	9.6	0.0	-6.9	-39.0	21
11	15.9	0.0	-31.6	-41.0	18
12	15.9	0.0	58.6	-43.0	16
13	19.2	0.0	33.2	-39.5	19
14	27.1	0.0	63.7	-46.0	13

1	1.2	0.0	6.9	-18.0	46
2	2.4	0.0	-0.9	-13.5	46
3	3.7	0.0	-59.1	-25.0	37
4	3.7	0.0	0.6	-27.0	35
5	4.3	0.0	60.1	-25.5	36
6	5.4	0.0	-1.9	-32.0	29
7	6.8	0.0	-37.2	-24.0	34
8	8.5	0.0	29.6	-40.5	18
9	9.6	0.0	19.0	-38.0	20
10	9.6	0.0	-6.5	-38.0	20
11	16.0	0.0	-31.0	-42.5	14
12	16.0	0.0	53.7	-43.5	13
13	19.3	0.0	31.6	-39.0	15

