ID	Range	Rate	Angle	Rcs	Snr
12	9.2	0.0	26.1	-38.0	17
13	13.3	0.0	64.9	-43.0	13

1	2.3	0.0	1.0	-7.5	46
2	2.8	0.8	42.9	-37.5	19
3	2.8	0.8	-52.2	-39.5	17
4	2.8	0.7	17.9	-38.5	18
5	3.6	0.9	23.4	-42.5	20
6	3.7	1.6	23.8	-44.0	18
7	3.9	0.4	22.5	-32.0	31
8	5.1	0.0	0.3	-22.0	37
9	5.5	0.3	15.5	-41.5	19
10	6.8	0.0	-38.3	-27.0	27
11	7.8	0.6	17.5	-47.0	14
12	8.5	0.0	-35.6	-38.5	17
13	8.5	0.0	-4.9	-40.5	15
14	9.3	0.0	-43.4	-40.0	17

1	1.6	1.1	63.8	-36.5	34
2	2.3	0.0	1.0	-7.5	46
3	2.8	0.6	22.9	-31.5	25
4	2.9	1.0	21.2	-38.0	25
5	3.9	0.4	23.5	-34.0	27
6	5.1	0.0	0.3	-22.0	38
7	5.5	0.3	29.6	-41.0	19
8	5.5	0.3	15.9	-42.0	18
9	6.8	0.0	-38.5	-27.0	32
10	8.5	0.0	-35.3	-38.0	18
11	9.4	0.0	-22.8	-39.5	18

1	1.7	1.1	60.7	-39.5	28
2	2.3	0.0	1.0	-7.5	47
3	2.9	0.7	19.5	-31.0	31
4	3.9	0.4	23.9	-34.5	28
5	5.1	0.0	0.3	-21.0	39
6	5.5	0.3	-61.9	-38.5	21
7	5.8	0.6	46.7	-45.5	14
8	6.8	0.0	-38.3	-26.5	31
9	7.8	0.6	2.8	-44.0	14
10	8.5	0.0	-35.1	-38.5	19
11	9.4	0.0	-43.4	-39.0	19

1	1.8	1.0	61.3	-47.0	23
2	2.3	0.0	1.0	-7.5	46
3	2.9	0.8	0.9	-32.0	33
4	4.0	0.5	24.7	-31.0	31
5	5.1	0.0	0.1	-21.5	38
6	5.5	0.3	30.5	-41.5	18
7	5.5	0.3	16.7	-39.5	20
8	6.8	0.0	-38.4	-26.5	33
9	8.4	-63.0	-59.8	-45.0	14
10	8.5	0.0	-34.6	-38.5	19
11	9.4	0.0	-22.7	-39.5	18
12	13.3	-0.1	62.6	-44.0	13
13	13.3	-0.1	-8.7	-46.0	11

1	1.8	1.1	66.6	-50.5	19
2	1.8	0.9	65.5	-51.0	17
3	2.3	0.0	1.0	-7.5	46
4	3.0	0.8	0.7	-32.0	32
5	4.0	0.5	25.4	-37.5	23
6	5.0	0.0	0.3	-22.0	37
7	5.7	0.4	-0.4	-42.5	17
8	6.8	0.0	-38.5	-26.5	32
9	7.8	0.7	1.3	-42.5	16
10	8.6	0.0	-34.5	-39.5	19
11	9.4	0.0	-44.7	-38.5	18
12	9.4	0.0	-10.9	-40.5	16

1	1.9	1.3	61.6	-41.0	18
2	2.3	0.0	1.0	-7.5	46
3	3.0	0.9	29.8	-33.5	29
4	5.0	0.0	0.6	-22.5	38
5	5.5	0.4	-1.5	-42.0	17
6	5.5	0.4	55.1	-44.0	15
7	6.0	-26.1	26.0	-46.0	13
8	6.8	0.0	-38.4	-27.0	31
9	8.5	0.0	-4.2	-38.5	19
10	8.5	0.0	27.0	-40.5	17
11	9.4	0.0	-22.3	-38.5	18
12	13.3	-0.1	-7.1	-43.0	14
13	13.3	-0.1	63.3	-44.0	13

1	2.3	0.0	1.0	-7.5	46
2	3.0	1.0	22.0	-32.0	31
3	4.1	0.8	26.2	-40.0	21
4	5.1	-0.1	0.7	-20.5	37
5	5.7	0.4	59.7	-38.0	22
6	5.7	0.4	0.9	-38.0	22
7	6.8	0.0	-38.4	-27.0	31
8	7.9	0.8	0.1	-46.0	13
9	8.5	0.0	-4.9	-38.5	19
10	8.5	0.0	26.7	-40.5	17
11	9.4	0.0	-24.5	-38.5	20

