ID	Range	Rate	Angle	Rcs	Snr
4	6.8	0.0	-38.0	-26.5	35
5	8.3	0.0	-37.0	-37.0	25
6	9.4	0.0	43.9	-40.0	22
7	9.4	0.0	16.9	-42.0	20
8	9.4	0.0	28.6	-44.0	18
9	10.7	0.0	-3.8	-43.0	17
10	10.7	0.0	8.4	-45.0	15
11	13.3	0.0	-66.1	-44.0	15
12	15.7	0.0	59.8	-41.0	19
13	19.6	0.0	-9.2	-38.5	20
14	19.6	0.0	55.1	-39.5	19
15	20.8	0.0	-4.7	-41.5	18
16	47.4	-0.1	-1.6	-47.0	13

1	1.0	0.0	-13.0	-23.0	46
2	2.3	0.0	0.7	-7.0	46
3	5.2	0.0	1.7	-20.5	40
4	6.8	0.0	-38.0	-26.5	34
5	8.3	0.0	-36.3	-37.0	23
6	8.3	0.0	22.7	-39.0	21
7	9.4	0.0	17.1	-42.0	18
8	9.4	0.0	48.8	-40.0	20
9	10.7	-0.1	-5.9	-43.0	18
10	13.3	-0.1	-7.4	-44.5	14
11	13.3	-0.1	63.8	-44.5	14
12	15.7	0.0	59.7	-40.5	18
13	19.5	0.0	-6.8	-39.0	19
14	20.8	0.0	-3.8	-42.0	15

1	1.0	0.0	-12.7	-24.0	45
2	2.3	0.0	0.7	-7.0	46
3	5.2	0.0	1.6	-21.0	39
4	6.8	0.0	-38.2	-26.5	34
5	8.3	0.0	19.5	-37.0	24
6	8.3	0.0	-36.9	-39.0	22
7	9.4	-0.1	29.7	-40.5	19
8	9.4	-0.1	16.3	-39.5	20
9	10.8	0.0	-42.9	-43.5	16
10	13.3	-0.1	67.4	-44.0	15
11	13.3	-0.1	-6.2	-45.0	14
12	15.7	0.0	60.1	-40.0	19
13	19.5	0.0	-5.8	-37.0	21
14	20.8	0.0	-3.1	-41.5	16

1	1.0	0.0	-12.6	-24.5	45
2	2.3	0.0	0.7	-7.0	46
3	5.2	0.0	1.6	-21.0	40
4	6.8	0.0	-38.4	-26.5	34
5	8.3	0.0	21.0	-36.5	24
6	9.4	0.0	16.5	-40.0	20
7	10.8	0.0	-43.3	-44.0	16
8	13.3	0.0	-7.6	-45.0	16
9	13.3	0.0	63.5	-45.0	16
10	15.7	0.0	60.0	-40.0	20
11	19.4	0.0	-6.6	-36.0	23
12	20.8	0.0	-3.4	-40.5	17
13	29.0	29.8	12.3	-45.5	14

1	1.0	0.0	-12.5	-24.0	44
2	2.3	0.0	0.7	-7.0	46
3	5.3	0.0	1.6	-21.5	39
4	6.8	0.0	-38.4	-26.5	36
5	8.3	0.0	22.0	-37.0	24
6	8.3	0.0	-36.6	-39.0	22
7	9.4	0.0	16.3	-40.0	20
8	9.4	0.0	30.5	-41.0	19
9	10.7	0.0	-41.3	-45.0	15
10	13.3	-0.1	66.0	-44.5	16
11	15.7	0.0	59.7	-40.0	20
12	19.5	0.0	-6.9	-35.0	25
13	20.8	0.0	-2.9	-39.5	20

1	1.0	0.0	-12.4	-24.0	46
2	2.3	0.0	0.7	-7.0	47
3	5.3	0.0	1.7	-21.5	37
4	6.8	0.0	-38.4	-26.5	33
5	8.2	0.0	27.1	-37.0	21
6	8.2	0.0	-35.8	-39.0	19
7	9.4	-0.1	41.5	-41.0	15
8	9.4	-0.1	16.6	-43.0	13
9	16.0	-39.9	24.9	-39.5	15
10	19.5	0.0	-6.7	-34.0	21
11	21.3	-63.8	3.3	-38.5	17
12	21.3	-63.8	-9.5	-39.5	16

1	1.0	0.0	-12.4	-24.5	45
2	2.3	0.0	0.7	-7.0	46
3	5.2	0.0	1.7	-22.0	38
4	6.8	0.0	-38.3	-26.5	35
5	8.1	0.0	28.8	-37.5	23
6	9.3	0.0	30.2	-41.0	20
7	9.3	0.0	16.6	-41.0	20
8	10.8	0.0	-40.9	-44.0	17
9	13.3	0.0	66.3	-44.5	15
10	13.3	0.0	-6.1	-45.5	14
11	15.7	0.0	60.8	-39.5	22
12	19.5	0.0	-5.8	-34.0	26
13	20.8	0.0	-2.3	-39.5	20

1	1.0	0.0	-12.7	-24.0	46
2	2.3	0.0	0.7	-7.0	47
3	5.3	0.0	0.8	-21.5	39
4	6.8	0.0	-38.1	-27.0	34
5	8.2	0.0	29.7	-38.0	25
6	9.3	0.0	30.3	-45.5	15
7	9.3	0.0	49.8	-41.5	19
8	9.3	0.0	17.6	-43.5	17
9	10.8	0.0	-3.7	-45.5	16
10	13.3	0.0	66.3	-44.0	14
11	13.3	0.0	-6.5	-44.0	14
12	15.7	0.0	61.6	-39.0	20
13	19.5	0.0	-5.2	-33.5	25
14	20.8	0.0	-2.8	-41.5	18

1	1.0	0.0	-12.6	-24.5	46
2	2.3	0.0	0.8	-7.0	46
3	5.3	0.0	1.2	-21.0	39
4	6.8	0.0	-38.1	-27.0	33
5	8.3	0.0	32.1	-37.5	23
6	10.8	0.0	-19.3	-47.0	12
7	10.8	0.0	-3.7	-45.0	14
8	13.3	0.0	64.9	-45.0	13
9	13.3	0.0	-7.0	-46.0	12
10	15.7	0.0	62.5	-39.0	20
11	19.5	0.0	-4.9	-33.5	24
12	20.8	0.0	-1.6	-43.5	15

1	1.0	0.0	-12.6	-23.5	46
2	2.3	0.0	0.7	-7.0	46
3	5.3	0.0	1.4	-21.0	40
4	6.8	0.0	-38.3	-27.0	35
5	8.2	0.0	31.3	-37.5	25
6	10.8	0.0	-64.1	-47.5	14
7	10.8	0.0	-4.1	-45.5	16
8	10.8	0.0	-44.3	-49.5	12
9	13.3	0.0	63.2	-45.0	16
10	15.7	0.0	60.7	-40.0	21
11	19.5	0.0	-5.3	-33.0	27
12	20.8	0.0	-1.0	-44.0	16

1	1.0	0.0	-12.6	-23.5	46
2	2.3	0.0	0.7	-7.0	47
3	3.6	0.0	-51.6	-28.5	36
4	3.6	0.0	11.4	-28.5	36
5	3.6	0.0	24.7	-30.5	34
6	5.3	0.0	1.5	-21.0	39
7	6.8	0.0	-38.3	-27.5	34
8	8.2	0.0	31.3	-37.0	24
9	10.8	0.0	-4.3	-46.0	14
10	10.8	0.0	27.4	-48.0	12
11	13.3	0.0	64.6	-45.0	14
12	13.3	0.0	-6.6	-47.0	12
13	15.7	0.0	60.5	-40.5	19
14	19.6	0.0	-5.4	-32.0	27
15	20.8	0.0	-2.2	-43.0	17

1	1.0	0.0	-12.7	-23.0	46
2	2.3	0.0	0.7	-7.0	46
3	3.6	0.0	-52.1	-28.5	37
4	3.6	0.0	10.3	-30.5	35
5	5.3	0.0	1.6	-21.5	36
6	6.8	0.0	-38.2	-27.5	32
7	8.2	0.0	31.5	-36.5	22
8	15.7	0.0	60.2	-40.5	13
9	19.6	0.0	-5.6	-31.5	24
10	20.9	-16.0	-24.8	-42.0	15
11	20.9	-16.0	5.8	-44.0	13

1	1.0	0.0	-12.7	-22.5	46
2	2.3	0.0	0.7	-7.0	46
3	3.7	0.0	37.2	-28.5	36
4	3.7	0.0	-52.9	-30.5	34
5	5.3	0.0	1.7	-21.5	39
6	6.8	0.0	-38.1	-27.5	36
7	8.2	0.0	31.7	-36.5	27
8	9.4	0.0	31.4	-39.5	21
9	9.4	0.0	17.1	-41.5	19
10	10.7	0.0	-5.3	-46.0	15
11	13.4	0.0	-60.0	-45.5	15
12	15.7	0.0	60.2	-40.5	20
13	19.6	0.0	-5.8	-31.0	28
14	20.8	0.0	-3.1	-42.0	18

1	1.0	0.0	-12.8	-22.5	47
2	2.3	0.0	0.7	-7.0	47
3	3.8	0.0	34.5	-29.0	35
4	3.8	0.0	-27.7	-31.0	33
5	5.3	0.0	1.7	-21.0	39
6	6.8	0.0	-38.0	-27.5	34
7	8.2	0.0	-29.9	-39.0	22
8	8.2	0.0	32.6	-37.0	24
9	9.4	0.0	32.6	-39.5	21
10	10.7	0.0	-2.1	-43.5	16
11	13.3	0.0	66.3	-45.0	14
12	15.6	0.0	60.0	-41.0	20
13	19.6	0.0	-5.8	-32.0	26
14	20.8	0.0	-3.3	-42.0	18

1	1.0	0.0	-12.9	-22.0	47
2	2.3	0.0	0.7	-7.0	46
3	3.7	0.0	13.3	-29.0	35
4	3.7	0.0	25.8	-30.0	34
5	3.7	0.0	-54.6	-32.0	32
6	5.3	0.0	1.8	-21.5	39
7	6.8	0.0	-37.9	-27.5	34
8	8.1	0.0	-30.3	-39.5	22
9	8.1	0.0	32.1	-37.5	24
10	9.4	0.0	31.0	-39.5	21
11	9.4	0.0	16.8	-41.5	19
12	10.7	-0.1	-2.7	-43.0	16
13	13.3	0.0	-64.5	-44.5	14
14	15.6	0.0	59.4	-41.0	18
15	19.6	0.0	-6.2	-32.5	25
