ID	Range	Rate	Angle	Rcs	Snr
7	10.6	-0.1	-2.0	-43.0	13
8	19.4	-0.1	62.5	-40.5	13
9	19.4	-0.1	-8.2	-42.5	11

1	0.9	0.0	-7.3	-32.0	43
2	2.4	0.0	-0.1	-21.0	44
3	4.4	0.0	59.5	-25.0	36
4	5.6	0.0	-68.7	-25.5	34
5	6.8	0.0	-37.5	-26.0	34
6	8.6	0.0	-56.3	-38.0	19
7	8.6	0.0	8.0	-39.0	18
8	9.1	0.0	-43.7	-36.5	20

1	0.9	0.0	-7.4	-30.5	45
2	2.4	0.0	-0.3	-21.0	43
3	4.4	0.0	59.4	-25.0	35
4	5.5	0.0	-68.9	-25.0	35
5	6.8	0.0	-36.8	-25.5	33
6	9.2	0.0	-43.8	-35.5	22

1	1.0	-0.1	-7.0	-28.5	45
2	2.4	0.0	-0.5	-21.5	43
3	4.4	0.0	59.4	-25.0	36
4	5.5	0.0	21.9	-27.0	35
5	5.5	0.0	-68.7	-25.0	37
6	6.8	0.0	-37.0	-26.0	32
7	8.6	0.0	-51.4	-38.0	18
8	9.2	0.0	-43.7	-36.0	23

1	0.9	-0.1	-8.3	-31.5	44
2	2.4	0.0	-0.7	-21.5	43
3	4.4	0.0	59.6	-25.0	36
4	5.5	0.0	-67.6	-25.0	36
5	6.8	0.0	-37.5	-26.0	32
6	9.2	0.0	-42.8	-36.5	21

1	0.9	0.0	-4.0	-30.5	43
2	2.4	0.0	-0.7	-21.5	43
3	4.4	0.0	60.0	-25.0	35
4	5.5	0.0	-67.2	-25.0	35
5	5.5	0.0	1.2	-26.0	34
6	6.8	0.0	-37.2	-26.0	32
7	9.2	0.0	-44.7	-36.0	21

1	0.9	0.0	-3.4	-29.0	44
2	2.4	0.0	-0.6	-21.5	43
3	4.4	0.0	60.0	-25.0	35
4	5.5	0.0	-65.9	-26.0	34
5	5.5	0.0	60.0	-26.0	34
6	6.8	0.0	-36.7	-25.5	31
7	9.2	0.0	-43.0	-35.5	22
8	10.4	-0.1	3.4	-41.5	14
9	15.6	0.0	64.0	-42.0	14
10	19.5	0.0	31.7	-41.5	13

1	1.0	0.0	-3.7	-29.0	43
2	2.4	0.0	-0.7	-21.5	42
3	4.4	0.0	60.2	-25.5	35
4	5.5	0.0	60.4	-28.0	31
5	5.5	0.0	-66.1	-26.0	33
6	6.8	0.0	-36.7	-25.5	32
7	9.2	0.0	-43.7	-35.5	22
8	10.4	0.0	3.3	-42.0	14
9	19.4	0.0	-1.5	-40.5	13

1	0.9	0.0	-4.3	-29.5	43
2	2.4	0.0	-0.6	-21.5	43
3	4.4	0.0	60.2	-25.5	35
4	5.5	0.0	-66.2	-25.0	34
5	6.8	0.0	-36.7	-25.5	32
6	9.2	0.0	-44.1	-35.5	22
7	10.5	0.0	2.9	-40.5	16
8	19.4	0.0	-1.8	-40.5	13

1	0.9	0.0	-4.5	-31.0	43
2	2.4	0.0	-0.2	-21.5	42
3	4.4	0.0	59.8	-25.5	35
4	5.5	0.0	1.1	-28.0	31
5	5.5	0.0	-67.9	-26.0	33
6	6.8	0.0	-36.5	-26.0	33
7	9.2	0.0	-42.5	-35.5	23
8	10.5	-0.1	2.6	-40.5	16
9	19.8	-39.9	-7.6	-41.5	13

1	0.9	0.0	-5.6	-31.5	42
2	2.4	0.0	0.1	-21.0	42
3	4.4	0.0	59.9	-25.5	36
4	5.5	0.0	-68.6	-26.0	35
5	5.5	0.0	1.4	-28.0	33
6	6.8	0.0	-36.9	-25.5	33
7	9.2	0.0	26.2	-36.0	20
8	10.5	0.0	21.4	-41.0	14
9	15.4	29.8	35.5	-41.5	15
10	15.4	29.8	7.8	-42.5	14
11	15.4	29.8	64.6	-44.5	12

1	0.9	0.0	-4.6	-33.5	45
2	2.4	0.0	0.2	-21.0	41
3	4.4	0.0	60.9	-25.5	36
4	5.5	0.0	0.9	-28.0	31
5	5.5	0.0	-69.0	-26.0	33
6	6.8	0.0	-37.0	-25.5	33
7	9.2	0.0	25.0	-35.5	21
8	10.5	0.0	3.1	-40.5	16
9	15.7	0.0	64.5	-40.0	15

1	0.9	0.0	-4.5	-33.0	42
2	2.4	0.0	0.2	-21.0	41
3	4.4	0.0	60.0	-26.5	34
4	5.5	0.0	-68.5	-25.5	35
5	6.8	0.0	-37.3	-25.5	33
6	9.2	0.0	26.4	-34.0	24
7	10.4	0.0	1.9	-41.5	14
8	15.7	0.0	64.3	-40.5	16

1	0.9	0.0	-4.3	-31.0	41
2	2.4	0.0	0.2	-21.0	43
3	4.4	0.0	59.6	-26.5	34
4	5.5	0.0	-68.9	-25.0	34
5	6.8	0.0	-37.4	-25.5	32
6	9.2	0.0	-43.1	-35.0	21
7	10.4	0.0	0.7	-42.0	14
8	15.6	0.0	63.9	-40.5	13

1	0.9	0.0	-4.0	-29.5	44
2	2.4	0.0	0.1	-21.0	43
3	4.4	0.0	59.5	-25.5	37
4	5.5	0.0	-69.5	-26.0	34
5	5.5	0.0	1.5	-26.0	34
6	6.8	0.0	-37.8	-25.5	33
7	9.2	0.0	-43.7	-35.0	22
8	10.5	0.0	0.0	-42.0	15
9	15.7	0.0	65.0	-40.0	14

1	0.9	0.0	-4.5	-28.5	43
2	2.4	0.0	0.1	-21.0	42
3	4.4	0.0	59.8	-25.5	36
4	5.5	0.0	-66.7	-26.0	31
5	5.5	0.0	1.6	-27.0	30
6	6.8	0.0	-37.9	-25.5	33
7	9.2	0.0	-44.1	-35.5	21
8	10.4	0.0	-35.4	-43.0	13
9	13.9	-63.8	10.1	-43.0	13
10	13.9	-63.8	73.8	-44.0	12
11	15.7	0.0	66.7	-39.5	15

1	0.9	0.0	-3.9	-27.0	45
2	2.4	0.0	0.1	-21.0	42
3	4.4	0.0	60.1	-25.5	34
4	5.4	0.0	-68.0	-26.5	33
5	6.8	0.0	-37.4	-26.0	32
6	9.2	0.0	-44.5	-35.0	22
7	15.6	0.0	38.6	-41.0	14
8	15.6	0.0	24.0	-43.0	12

1	1.0	0.0	-3.9	-28.0	43
2	2.4	0.0	0.1	-21.0	43
3	4.4	0.0	59.3	-25.5	36
4	5.5	0.0	54.0	-28.0	31
5	5.5	0.0	-68.0	-26.0	33
6	6.8	0.0	-37.2	-25.5	32
7	9.2	0.0	-45.3	-35.0	23
8	19.4	0.0	64.9	-41.5	14

1	0.9	0.0	-7.6	-30.0	43
2	2.4	0.0	0.1	-20.5	44
3	4.4	0.0	59.0	-25.0	37
4	5.4	0.0	-68.3	-24.5	33
5	5.4	0.0	1.3	-25.5	32
6	6.8	0.0	-37.6	-25.5	35
7	9.2	0.0	-45.2	-35.5	21
8	13.3	0.0	-67.0	-43.5	14
9	13.3	0.0	-48.3	-45.5	12
10	15.7	0.0	63.8	-42.0	16

1	1.0	0.0	-4.4	-25.0	46
2	2.4	0.0	0.2	-20.5	43
3	4.4	0.0	60.1	-26.0	36
4	5.6	0.0	-68.1	-26.5	33
5	6.8	0.0	-38.3	-25.5	33
6	9.2	0.0	-43.4	-35.0	23
7	15.7	0.0	63.3	-40.5	13

1	1.0	0.0	-4.3	-24.0	45
2	2.4	0.0	0.3	-20.5	43
3	4.5	0.0	60.1	-26.5	37
4	5.4	0.0	-67.8	-25.5	34
5	5.4	0.0	1.1	-26.5	33
6	6.8	0.0	-37.1	-26.0	32
7	9.2	0.0	-43.6	-35.5	21
8	13.3	0.0	67.0	-44.0	13
9	15.7	0.0	63.1	-41.0	14
10	19.7	0.0	-2.1	-39.0	16

1	0.9	0.0	-9.5	-30.5	42
2	2.4	0.0	0.3	-20.5	43
3	4.4	0.0	59.4	-25.5	35
4	5.5	0.0	-68.1	-26.5	32
5	6.8	0.0	-37.1	-25.5	33
6	9.2	0.0	-44.1	-35.5	19
7	13.6	-39.9	-3.6	-43.5	13

1	0.9	0.0	-8.6	-27.0	44
2	2.4	0.0	0.2	-21.0	42
3	4.4	0.0	58.9	-25.5	35
4	5.5	0.0	-69.3	-27.0	32
5	5.5	0.0	0.9	-26.0	33
6	6.8	0.0	-37.7	-25.5	34
7	9.2	0.0	-43.7	-35.0	23
8	19.5	0.0	55.6	-42.0	13

1	0.9	0.0	-4.5	-28.0	44
2	2.4	0.0	0.0	-21.0	42
3	4.4	0.0	60.6	-25.5	35
4	5.6	0.0	-67.0	-26.5	33
5	6.9	0.0	-35.9	-26.5	32
6	9.2	0.0	-43.5	-34.5	23
7	15.8	-26.9	63.9	-42.5	14

1	0.8	0.0	-8.3	-31.0	41
2	2.4	0.0	0.0	-21.0	42
3	4.4	0.0	58.9	-27.0	33
