ID	Range	Rate	Angle	Rcs	Snr
6	6.8	0.0	-38.8	-28.5	30
7	8.6	0.0	-17.4	-40.0	17
8	8.9	0.6	26.3	-42.5	13
9	9.3	0.0	26.2	-37.5	19

1	2.3	0.0	1.0	-7.5	47
2	3.5	0.7	-17.7	-43.5	20
3	3.5	0.7	14.1	-45.5	18
4	5.4	0.0	1.5	-20.5	37
5	6.8	0.0	-38.5	-27.5	32
6	8.6	0.0	-15.6	-38.5	18
7	8.6	0.0	-1.5	-40.5	16
8	9.3	0.0	24.8	-37.5	19
9	15.7	0.0	62.9	-42.0	13

1	2.3	0.0	1.1	-7.5	47
2	3.6	0.7	-74.3	-45.5	17
3	4.5	0.0	59.7	-24.5	37
4	5.4	0.0	1.4	-21.5	37
5	6.8	0.0	-38.3	-27.0	31
6	8.6	0.0	-15.0	-39.0	17
7	8.6	0.0	-1.5	-40.0	16
8	9.1	0.7	28.2	-43.5	13
9	9.3	0.0	25.2	-37.0	18

1	2.3	0.0	1.1	-7.5	47
2	3.6	0.6	24.8	-42.0	19
3	4.5	0.0	59.7	-24.0	36
4	5.3	-63.3	2.1	-40.0	20
5	5.3	-63.3	34.7	-41.0	19
6	5.4	0.0	1.4	-21.0	39
7	5.8	0.3	23.2	-45.5	14
8	6.8	0.0	-38.5	-27.5	31
9	8.6	0.0	-37.0	-38.5	18
10	8.6	0.0	-13.1	-40.5	16
11	8.6	0.0	-1.2	-42.5	14
12	9.1	0.6	28.8	-42.5	13
13	9.3	0.0	24.4	-37.5	19

1	2.3	0.0	1.0	-7.5	47
2	3.7	0.5	11.9	-42.5	20
3	4.4	0.0	59.6	-24.0	35
4	4.7	0.3	29.0	-38.5	21
5	5.4	0.0	1.5	-21.5	38
6	6.8	0.0	-38.7	-27.5	29
7	8.5	0.0	-37.7	-39.0	18
8	9.3	0.0	24.7	-37.0	20

1	2.3	0.0	1.0	-7.5	47
2	3.7	0.5	-14.3	-40.0	23
3	3.7	0.5	37.4	-42.0	21
4	4.4	0.0	59.3	-24.0	35
5	4.7	0.3	30.5	-36.0	24
6	5.4	0.0	1.5	-21.0	38
7	6.8	0.0	-38.2	-28.0	30
8	7.0	-26.3	27.7	-45.0	13
9	8.5	0.0	-36.8	-38.0	18
10	9.1	0.5	30.0	-39.5	17
11	9.4	0.0	-29.8	-39.0	18

1	2.3	0.0	1.0	-7.5	47
2	3.7	0.5	5.1	-36.5	26
3	4.5	0.0	59.4	-24.0	36
4	4.7	0.3	32.1	-36.0	23
5	5.4	0.0	1.3	-20.5	38
6	6.8	0.0	-37.7	-27.5	30
7	8.5	0.0	-36.5	-37.5	19
8	8.5	0.0	-12.3	-39.5	17
9	9.4	0.0	-60.2	-39.5	16
10	9.4	0.0	-42.4	-39.5	16
11	9.4	0.0	-27.2	-41.5	14

1	2.3	0.0	1.0	-7.5	46
2	3.7	0.6	23.8	-40.0	22
3	3.7	0.6	37.9	-40.0	22
4	3.7	0.6	-70.2	-42.0	20
5	4.5	0.0	59.8	-24.5	35
6	4.8	0.3	30.9	-37.0	23
7	5.4	0.0	1.1	-21.0	38
8	5.9	0.3	26.3	-44.0	15
9	6.8	0.0	-38.1	-27.5	31
10	8.6	0.0	-37.1	-39.0	18
11	9.2	0.6	-18.6	-42.5	14
12	9.2	0.6	13.7	-44.5	12
13	9.4	0.0	-40.5	-39.0	19
14	9.4	0.0	-59.7	-41.0	17

1	2.3	0.0	1.0	-7.5	47
2	3.7	0.6	6.4	-42.5	20
3	4.4	0.0	59.6	-25.0	36
4	4.8	0.3	31.2	-36.5	24
5	5.4	0.0	1.3	-21.5	37
6	6.8	0.0	-38.0	-28.0	30
7	8.5	0.0	-36.8	-38.0	19
8	8.5	0.0	-13.7	-40.0	17
9	9.5	-0.1	-28.5	-38.5	18
10	9.5	-0.1	31.7	-40.5	16

1	2.3	0.0	1.0	-7.5	46
2	4.5	0.0	59.9	-25.0	35
3	4.8	0.3	34.1	-33.0	26
4	5.4	0.0	1.6	-20.5	37
5	6.8	0.0	-37.8	-27.5	31
6	8.6	0.0	-35.7	-38.5	18
7	9.2	0.6	27.9	-40.5	17
8	9.4	0.0	-30.0	-37.5	17
9	9.4	0.0	-41.8	-39.5	15
10	9.4	0.0	-61.1	-40.5	14

1	2.3	0.0	1.0	-7.5	47
2	3.8	0.8	37.1	-38.5	24
3	4.5	0.0	59.7	-24.0	36
4	4.7	0.4	39.2	-41.0	19
5	5.4	0.0	1.3	-21.0	37
6	6.8	0.0	-37.7	-27.0	33
7	8.5	0.0	-3.7	-38.0	18
8	8.5	0.0	73.2	-39.0	17
9	8.5	0.0	-32.5	-41.0	15
10	9.2	0.7	28.2	-43.0	13
11	9.5	0.0	-61.0	-38.0	17
12	9.5	0.0	-41.3	-40.0	15

1	2.3	0.0	1.0	-7.5	47
2	3.8	0.8	39.5	-45.5	18
3	3.8	0.8	25.8	-45.5	18
4	3.9	0.7	31.9	-45.5	17
5	4.5	0.0	59.5	-23.5	36
6	4.9	0.4	35.0	-36.5	23
7	5.4	0.0	1.5	-21.0	38
8	6.8	0.0	-37.7	-27.5	31
9	8.6	0.0	-37.0	-37.5	20
10	9.4	0.0	-62.3	-37.0	21
11	9.4	0.0	-27.3	-39.0	19

1	2.3	0.0	1.0	-7.5	47
2	4.4	0.0	58.9	-23.5	35
3	5.4	0.0	1.8	-21.0	38
4	5.7	0.1	-32.0	-37.5	23
5	6.8	0.0	-37.8	-27.0	31
6	8.5	-0.1	-1.6	-38.0	17
7	9.5	0.0	-28.8	-38.5	19
8	9.5	0.0	31.6	-39.5	18

1	2.3	0.0	1.0	-7.5	47
2	4.0	0.6	37.1	-39.5	23
3	4.4	0.0	59.5	-24.5	37
4	5.1	0.8	35.4	-42.5	17
5	5.4	0.0	1.4	-21.0	37
6	6.0	0.5	39.8	-45.0	13
7	6.0	0.5	25.3	-43.0	15
8	6.8	0.0	-37.9	-27.5	31
9	7.1	0.6	26.1	-45.5	13
10	8.6	0.0	-1.5	-37.5	19
11	8.6	0.0	38.3	-39.5	17
12	9.5	0.0	-60.8	-38.0	18
13	9.5	0.0	24.7	-40.0	16

1	2.3	0.0	1.0	-7.5	47
2	4.0	0.6	67.7	-43.5	18
3	4.4	0.0	59.7	-25.5	35
4	4.9	0.3	36.8	-43.0	17
5	5.4	0.0	1.5	-21.0	39
6	5.8	0.1	-32.7	-38.0	21
7	6.1	0.5	4.5	-43.5	16
8	6.1	0.7	-1.3	-44.5	14
9	6.8	0.0	-37.7	-26.5	32
10	8.5	0.0	-35.8	-37.5	20
11	9.5	0.0	-27.1	-38.0	18

1	2.3	0.0	1.0	-7.5	47
2	3.3	0.1	-31.2	-35.0	26
3	4.4	0.0	59.4	-23.0	36
4	5.4	0.0	1.4	-21.0	39
5	6.8	0.0	-37.7	-26.5	32
6	8.6	0.0	-37.3	-39.5	18
7	9.5	0.0	-28.7	-38.0	17

1	2.3	0.0	1.0	-7.5	47
2	4.4	0.0	59.8	-25.0	35
3	5.4	0.0	1.3	-21.0	38
4	6.1	0.4	8.6	-45.0	13
5	6.8	0.0	-37.9	-26.5	32
6	8.5	0.0	-37.4	-38.5	18
7	9.4	0.0	-26.0	-38.0	17
8	9.4	0.0	-59.6	-40.0	15
9	9.4	0.0	-41.1	-42.0	13

1	2.3	0.0	1.1	-7.5	47
2	4.5	0.0	59.8	-24.0	36
3	5.0	0.4	37.1	-41.5	18
4	5.4	0.0	1.6	-21.0	38
5	5.8	0.1	-33.4	-34.5	24
6	6.8	0.0	-37.8	-27.0	31
7	8.5	0.0	-35.6	-38.5	19
8	9.5	0.0	-29.6	-39.0	17

1	2.3	0.0	1.0	-7.5	47
2	4.0	-0.3	-32.3	-42.5	17
3	4.1	0.6	37.3	-44.5	17
4	4.4	0.0	59.4	-25.0	35
5	5.4	0.0	1.2	-20.5	37
6	6.8	0.0	-38.0	-28.5	29
7	8.5	0.0	-37.7	-38.5	19
8	9.4	0.0	-31.2	-38.0	19
9	9.4	0.0	27.9	-40.0	17

1	2.3	0.0	1.0	-7.5	47
2	4.4	0.0	59.8	-24.5	36
3	5.4	0.0	1.4	-21.5	37
4	6.2	0.4	48.1	-43.0	16
5	6.8	0.0	-38.0	-26.0	32
6	8.5	0.0	-37.8	-39.0	18
7	9.4	0.0	-29.6	-37.5	20
8	9.4	0.0	30.4	-39.5	18

1	2.3	0.0	1.0	-7.5	47
2	2.4	0.2	-59.5	-38.5	17
3	4.4	0.0	59.6	-25.5	36
4	5.4	0.0	1.2	-21.0	38
5	6.2	0.5	31.2	-45.5	13
6	6.2	0.5	21.1	-47.5	11
7	6.8	0.0	-38.0	-26.0	32
8	8.5	0.0	-36.6	-38.5	20
9	9.3	0.0	25.8	-37.5	21

1	2.3	0.0	1.0	-7.5	47
2	4.4	0.0	59.5	-25.0	35
3	5.4	0.0	1.4	-21.0	38
4	6.2	0.5	-74.6	-46.5	12
5	6.2	0.5	0.4	-44.5	14
6	6.8	0.0	-37.9	-25.5	32
7	8.5	0.0	-36.6	-37.5	19
8	9.3	0.0	25.1	-37.5	18
9	15.7	0.0	60.9	-41.5	14

1	2.3	0.0	1.1	-7.5	47
2	4.4	0.0	60.0	-24.0	36
3	5.0	0.2	15.4	-42.0	17
4	5.4	0.0	1.2	-20.5	37
5	6.3	0.5	12.5	-45.5	13
6	6.3	0.5	-1.6	-47.5	11
7	6.8	0.0	-38.3	-26.5	31
8	8.4	0.0	-35.4	-37.0	20
9	9.3	0.0	25.8	-37.5	19

1	2.3	0.0	1.0	-7.5	46
2	4.4	0.0	58.9	-23.0	38
3	5.4	0.0	1.2	-21.5	37
4	6.8	0.0	-38.8	-28.0	29
5	8.5	0.0	-34.3	-38.0	18
6	9.3	0.0	-31.5	-38.0	18
7	9.3	0.0	28.4	-40.0	16
8	9.5	27.7	-44.0	-42.5	13

1	2.3	0.0	1.0	-7.5	46
2	4.4	0.0	58.3	-24.0	36
3	5.4	0.0	0.9	-21.0	36
4	6.9	0.0	-41.0	-31.0	27
5	8.5	0.0	-34.8	-37.0	21
6	9.3	0.0	25.8	-37.0	20

1	2.3	0.0	1.0	-7.5	47
2	4.4	0.0	58.9	-25.0	36
