ID	Range	Rate	Angle	Rcs	Snr
11	59.6	-26.7	-27.3	-45.0	14

1	3.3	0.0	-36.9	-35.5	36
2	7.0	-0.4	-2.9	-40.5	22
3	8.6	0.0	22.6	-6.5	43
4	14.3	0.0	-74.7	-43.5	17
5	16.7	0.0	-4.9	-40.5	20
6	19.4	0.0	-17.0	-30.5	28
7	22.7	0.0	-59.8	-40.5	19
8	31.4	0.0	-17.9	-33.0	26
9	36.2	0.0	-15.8	-42.0	15
10	59.0	-0.1	-19.2	-46.0	13

1	3.3	0.0	-36.9	-35.0	34
2	7.0	-0.3	7.5	-29.0	32
3	8.5	0.0	-14.6	-7.0	42
4	14.3	0.0	21.9	-44.0	18
5	14.3	0.0	-17.5	-45.0	17
6	16.8	0.0	-29.1	-44.5	16
7	16.8	0.0	-39.1	-40.5	20
8	16.8	0.0	-4.7	-42.5	18
9	19.4	0.0	-17.0	-31.0	29
10	22.7	0.0	-60.0	-41.0	19
11	31.4	0.0	-17.7	-32.0	28
12	36.2	0.0	-15.6	-42.0	17
13	51.2	-39.7	-32.8	-46.0	13
14	59.0	0.0	-13.3	-46.0	13
15	59.0	0.0	-18.7	-47.0	12

1	3.3	0.0	-36.9	-35.0	33
2	8.6	0.0	22.4	-6.5	43
3	14.3	-0.1	1.1	-44.5	17
4	16.7	0.0	38.9	-40.5	20
5	16.7	0.0	-9.5	-42.5	18
6	19.4	0.0	-17.1	-31.0	28
7	22.7	0.0	-59.9	-41.0	18
8	31.4	0.0	-17.7	-32.5	27
9	36.2	0.0	-15.7	-42.5	17
10	59.1	0.0	35.8	-46.5	13

1	3.3	0.0	-36.9	-35.5	34
2	8.6	0.0	22.6	-7.0	43
3	16.8	0.0	8.0	-40.5	20
4	19.4	0.0	-17.2	-31.0	29
5	22.7	0.0	-59.8	-41.0	19
6	31.4	0.0	-17.7	-32.0	26
7	36.2	0.0	-15.8	-42.0	17

1	3.3	0.0	-36.8	-35.0	36
2	8.6	0.0	22.6	-7.5	43
3	16.9	0.0	-10.9	-41.0	20
4	19.4	0.0	-17.2	-31.0	28
5	22.7	0.0	-59.7	-40.5	20
6	31.4	0.0	-17.8	-32.0	28
7	36.2	0.0	-15.7	-43.5	18
8	59.3	0.0	-17.9	-42.0	17
9	59.3	0.0	-24.1	-44.0	15

1	3.3	0.0	-36.9	-35.0	34
2	7.1	-0.5	-7.5	-35.5	27
3	8.6	0.0	22.7	-7.0	43
4	16.9	0.0	41.1	-41.0	19
5	16.9	0.0	7.9	-42.0	18
6	19.4	0.0	-17.1	-30.5	30
