ID	Range	Rate	Angle	Rcs	Snr
6	8.3	0.0	-14.0	-9.5	42
7	17.1	0.0	-64.3	-45.0	15
8	19.6	0.0	-18.0	-42.5	16
9	22.6	0.0	32.8	-43.0	15
10	24.5	24.6	-9.9	-45.0	13
11	31.1	0.0	-13.0	-35.0	25
12	58.6	0.0	-6.4	-38.5	19

1	2.1	0.8	1.8	-19.5	38
2	2.9	-0.1	-24.7	-36.0	20
3	2.9	-0.1	-42.0	-37.0	19
4	8.3	0.0	-13.9	-10.0	42
5	16.5	0.8	6.8	-45.0	14
6	16.5	0.8	-9.2	-46.0	13
7	16.5	0.8	-4.4	-48.0	11
8	16.9	0.0	-64.9	-45.0	14
9	19.4	-0.1	-17.8	-41.0	20
10	22.6	0.0	32.3	-42.0	18
11	24.7	0.8	-2.4	-42.0	19
12	24.7	0.8	-14.7	-44.0	17
13	31.1	0.0	-18.5	-36.0	24
14	31.1	0.0	-13.1	-38.0	22
15	52.8	0.8	-12.9	-45.5	13
16	58.6	0.0	-6.0	-38.0	21

1	2.1	0.8	-7.4	-22.0	40
2	2.7	0.0	-4.1	-33.5	29
3	3.1	0.2	27.1	-37.5	26
4	8.3	0.0	-14.1	-9.0	42
5	16.9	-0.1	-65.2	-44.5	15
6	16.9	-0.1	-54.4	-46.5	13
7	19.4	0.0	-17.8	-41.0	16
8	22.6	0.0	-61.6	-42.0	17
9	22.6	0.0	5.2	-44.0	15
10	24.6	0.8	4.2	-40.5	19
11	31.1	0.0	-30.2	-37.5	22
12	58.8	0.0	-14.8	-38.5	20

1	2.0	0.8	1.3	-21.5	39
2	3.2	0.0	-36.8	-34.0	32
3	3.2	0.6	-48.6	-31.5	29
4	3.2	0.3	27.5	-41.0	19
5	3.2	0.3	-47.0	-43.0	17
6	8.3	0.0	-13.8	-9.0	42
7	14.2	0.0	22.9	-48.0	13
8	17.0	0.0	-63.6	-43.5	17
9	19.3	0.0	-17.6	-40.0	21
10	22.6	0.0	32.4	-43.0	16
11	24.7	0.8	-16.0	-42.5	17
12	24.7	0.8	-11.4	-44.5	15
13	30.9	0.0	-62.2	-36.5	23
14	58.8	0.0	-14.7	-38.5	20

1	2.3	0.8	-5.5	-23.5	37
2	2.3	0.8	1.4	-22.5	38
3	3.3	0.0	-36.7	-34.0	29
4	3.5	0.2	-36.9	-40.5	23
5	3.5	0.2	26.6	-40.5	23
6	8.3	0.0	-13.8	-9.5	42
7	13.1	-68.7	-64.8	-49.0	13
8	16.9	0.0	-18.9	-42.5	19
9	19.3	0.0	-17.6	-39.0	22
10	22.6	0.0	-61.0	-43.0	17
11	24.7	0.8	2.4	-37.0	23
12	30.9	0.0	-61.5	-36.0	23
13	52.9	0.8	-15.9	-42.5	18
14	58.9	0.0	-14.7	-38.5	22

1	2.5	0.8	-3.1	-19.0	40
2	2.5	0.8	-8.0	-20.0	39
3	2.8	0.4	22.0	-38.0	21
4	2.8	0.1	26.6	-35.5	21
5	3.2	0.0	-36.9	-35.0	27
6	8.3	0.0	-13.9	-10.0	41
7	14.8	-26.7	27.8	-48.0	14
8	16.7	0.0	36.8	-42.5	18
9	19.5	0.0	-17.7	-39.5	21
10	22.6	0.0	-62.2	-43.5	18
11	22.6	0.0	4.7	-45.5	16
12	24.8	0.8	-6.0	-40.0	19
13	30.9	0.0	-61.3	-35.5	24
14	53.2	0.8	-15.3	-44.0	16
15	58.9	0.0	-14.5	-38.5	21

1	2.6	0.8	-3.5	-17.0	40
2	3.2	0.6	33.5	-31.0	29
3	3.3	0.0	-36.8	-35.0	27
4	8.3	0.0	-14.0	-10.0	42
5	16.6	0.0	36.5	-42.0	17
6	19.4	0.0	-17.6	-39.5	21
7	22.6	0.0	-62.0	-43.5	17
8	25.4	-23.0	-13.2	-40.5	19
9	31.0	0.0	-18.0	-35.0	25
10	59.0	0.0	-14.7	-38.5	20

1	2.6	0.9	-2.9	-18.5	40
2	2.8	0.4	22.1	-27.5	31
3	3.3	0.0	-37.2	-34.5	27
4	3.3	0.0	-49.5	-36.5	25
5	8.3	0.0	-13.8	-9.0	41
6	12.3	0.8	-23.1	-49.0	13
7	16.5	0.0	-17.9	-41.5	19
8	19.4	-0.1	-17.5	-39.5	19
9	22.6	0.0	32.1	-43.5	16
10	25.2	0.9	-60.6	-40.5	18
11	25.2	0.9	-43.6	-42.5	16
12	31.0	0.0	-18.4	-34.5	25
13	58.9	0.0	-15.1	-38.5	20

1	2.6	0.9	-3.1	-20.5	36
2	2.7	0.2	16.6	-35.0	19
3	2.8	0.6	17.0	-33.5	24
4	3.3	0.0	-36.9	-35.0	26
5	8.3	0.0	-14.7	-9.0	42
6	16.6	0.0	-17.8	-43.0	17
7	19.4	0.0	-17.5	-38.0	21
8	22.6	0.0	12.1	-43.5	17
9	25.1	0.9	-5.1	-38.0	22
10	31.1	0.0	-18.1	-34.5	25
11	36.5	-26.7	-12.7	-45.5	13
12	58.8	0.0	-14.7	-38.0	20
13	61.7	-0.1	-16.3	-47.5	13

1	2.6	0.9	1.4	-20.5	36
2	2.6	0.9	7.1	-18.5	38
3	3.4	0.0	-37.0	-35.5	25
4	8.3	0.0	-14.4	-9.0	42
5	14.7	0.0	25.9	-46.0	15
6	16.7	0.0	49.6	-44.0	15
7	19.4	0.0	-17.1	-37.0	22
8	22.6	0.0	32.5	-44.0	15
9	22.6	0.0	54.8	-45.0	14
10	25.1	0.9	-7.8	-42.0	17
11	31.2	0.0	-18.1	-34.0	23
12	36.2	0.0	-15.8	-42.5	15
13	58.8	0.0	-14.5	-37.5	20

1	2.7	0.9	-3.9	-22.5	36
2	3.3	0.0	-37.1	-35.0	27
3	3.9	0.3	-29.5	-44.5	20
4	5.9	0.9	12.7	-41.5	23
5	8.3	0.0	-14.5	-9.5	42
6	14.8	0.0	-17.3	-42.5	19
7	16.9	0.0	-65.8	-41.0	19
8	19.4	0.0	-17.7	-37.0	23
9	22.6	0.0	32.5	-43.0	16
10	25.0	1.0	-17.1	-43.5	15
11	31.1	0.0	-12.4	-36.5	23
12	36.2	0.0	-15.5	-42.0	17
13	58.9	0.0	-14.5	-39.5	18

1	2.8	0.8	13.4	-21.5	38
2	3.3	0.0	-36.9	-35.0	26
3	8.3	0.0	-14.8	-9.5	41
4	14.8	0.0	-17.4	-42.0	18
5	17.2	-26.7	-17.5	-42.0	18
6	19.4	0.0	-17.0	-35.5	24
7	22.6	0.0	4.4	-42.5	17
8	25.1	1.0	-7.3	-44.0	15
9	31.0	0.0	-12.5	-35.0	24
10	36.2	-0.1	-15.7	-44.0	15
11	58.8	0.0	-14.7	-39.5	20

1	2.6	1.0	11.6	-23.5	36
2	3.4	0.0	-36.8	-35.0	27
3	3.9	0.6	-17.4	-29.5	34
4	3.9	0.6	-62.2	-29.5	34
5	4.1	0.3	-41.9	-47.0	18
6	8.4	0.0	-14.6	-9.0	42
7	13.7	-1.1	-17.7	-46.5	13
8	14.6	0.0	-17.1	-40.5	18
9	16.6	0.0	-18.8	-43.0	16
10	19.4	0.0	-17.2	-35.0	24
11	22.6	0.0	32.6	-43.5	16
12	22.6	0.0	55.4	-45.5	14
13	25.4	1.0	-42.9	-45.5	14
14	25.4	1.0	40.7	-47.5	12
15	30.9	0.0	-62.0	-36.5	23
16	30.9	0.0	61.6	-38.5	21
17	36.2	0.0	-15.5	-43.0	15
18	58.7	0.0	-15.1	-39.0	20

1	2.5	0.9	3.9	-26.0	38
2	2.8	1.3	14.0	-38.0	24
3	3.3	0.0	-37.1	-35.0	30
4	4.0	0.6	64.7	-41.5	26
5	4.0	0.4	-58.7	-43.5	24
6	8.5	0.0	-14.6	-8.0	42
7	14.8	0.0	-17.1	-40.5	20
8	19.4	0.0	-17.0	-35.5	25
9	22.6	0.0	54.0	-44.5	16
10	22.6	0.0	31.6	-46.5	14
11	25.8	1.0	6.4	-46.5	13
12	31.0	0.0	-12.9	-36.0	23
13	36.2	0.0	-15.7	-43.5	17
14	58.6	0.0	-15.4	-38.0	21

1	2.8	0.9	-6.7	-21.5	39
2	3.4	0.0	-37.0	-35.0	28
3	4.0	0.5	-36.4	-45.5	18
4	4.0	0.5	-6.5	-47.5	16
5	4.0	0.5	-53.8	-49.5	14
6	8.4	0.0	-14.5	-8.5	42
7	16.3	-0.1	-18.3	-40.5	21
8	19.3	0.0	-17.1	-36.0	24
9	22.6	0.0	33.1	-45.0	16
10	25.2	1.0	2.4	-40.0	20
11	31.0	0.0	-12.6	-35.5	23
12	36.2	0.0	-15.7	-43.0	17
13	58.7	0.0	-14.7	-38.0	21

1	2.8	1.0	1.1	-21.5	40
2	3.1	1.6	15.2	-35.0	23
3	3.2	1.3	21.3	-27.0	32
4	3.4	0.0	-36.8	-35.0	26
5	3.9	0.8	-18.1	-34.0	28
6	4.0	0.4	-71.5	-45.5	19
7	4.0	0.4	-32.9	-47.5	17
8	8.4	0.0	-14.2	-8.5	41
9	14.5	0.0	-16.5	-43.5	17
10	14.5	0.0	-11.8	-41.5	19
11	16.4	0.0	-18.5	-40.0	18
12	19.3	0.0	-16.9	-35.0	23
13	22.7	0.0	32.4	-44.0	16
14	25.8	1.0	-18.2	-44.5	14
15	25.8	1.0	-3.9	-46.5	12
16	31.0	0.0	-62.2	-36.5	21
17	36.2	0.0	-15.9	-43.0	14
18	58.8	0.0	-14.9	-37.5	20

1	2.8	1.0	-6.8	-22.0	39
2	3.2	1.5	21.9	-36.5	23
3	3.3	0.0	-36.9	-34.5	27
4	3.9	0.8	-47.0	-32.0	33
5	3.9	0.8	-53.8	-32.0	33
6	8.6	0.0	22.9	-8.0	43
7	14.5	0.0	-16.9	-41.0	17
8	14.5	0.0	-12.3	-43.0	15
9	16.3	0.0	-18.3	-39.5	21
10	19.3	0.0	-17.1	-35.0	24
11	22.7	0.0	-61.8	-44.5	15
12	25.5	1.0	40.4	-46.0	14
13	25.5	1.0	9.4	-47.0	13
14	31.0	0.0	-62.3	-35.5	24
15	31.0	0.0	-12.8	-36.5	23
16	36.2	0.0	-15.7	-43.5	16
17	58.8	0.0	-14.7	-38.0	20

1	2.8	1.1	-32.3	-24.0	38
2	2.8	1.1	25.8	-24.0	38
3	3.3	0.0	-37.0	-35.0	27
4	3.3	1.7	22.9	-38.0	22
5	8.5	0.0	-14.7	-8.0	42
6	14.9	-26.7	-13.4	-41.5	19
7	16.3	0.0	-18.1	-39.5	19
8	19.3	0.0	-17.2	-35.0	25
9	22.7	0.0	-62.2	-44.5	15
10	22.7	0.0	10.1	-46.5	13
11	25.4	1.1	1.4	-43.5	16
12	31.1	0.0	-62.1	-35.5	25
13	31.1	0.0	-12.7	-37.5	23
14	36.2	0.0	-15.7	-43.5	16
15	58.8	0.0	-14.8	-37.5	21

1	2.8	1.1	-59.0	-26.5	27
2	2.8	1.1	-0.3	-26.5	27
3	3.4	2.1	13.6	-38.0	27
4	3.4	0.0	-37.0	-35.5	29
5	3.4	1.9	23.1	-44.0	20
6	3.4	1.5	21.3	-31.5	31
7	8.6	0.0	23.0	-7.5	43
8	14.5	0.0	-16.7	-41.5	18
9	16.3	-0.1	-18.0	-39.5	21
10	19.4	0.0	-17.1	-36.5	23
11	22.6	0.0	33.2	-44.0	16
12	25.3	1.1	3.2	-44.5	15
13	25.3	1.1	-7.1	-46.5	13
14	31.1	0.0	-12.7	-36.5	23
15	36.2	0.0	-15.7	-42.0	16
16	58.9	0.0	-14.6	-37.0	21

1	2.7	1.2	4.7	-23.0	36
2	3.4	0.0	-36.8	-35.0	28
3	3.4	2.4	14.8	-44.5	19
4	3.4	2.1	12.5	-38.5	25
5	3.5	1.8	19.9	-43.0	20
6	8.5	0.0	-14.4	-8.5	41
7	14.7	0.0	-16.6	-42.0	18
8	16.3	0.0	-18.2	-39.0	22
9	16.3	0.0	-28.2	-41.0	20
10	19.3	0.0	-17.2	-35.0	27
11	22.6	0.0	32.8	-43.5	16
12	25.3	1.2	3.9	-46.0	13
13	31.1	0.0	-12.7	-36.5	24
14	36.2	0.0	-15.6	-43.0	16
15	58.9	0.0	-14.5	-37.0	23

1	2.8	1.1	1.6	-25.0	32
2	2.8	1.1	6.2	-25.0	32
3	3.3	1.3	-7.2	-30.5	26
4	3.4	0.0	-36.8	-35.0	28
5	3.5	2.1	12.1	-41.5	21
6	3.8	1.9	10.7	-43.5	22
7	3.9	1.7	9.8	-42.0	22
8	8.4	0.0	-14.5	-8.5	41
9	16.3	0.0	-18.3	-40.0	19
10	19.4	0.0	-17.0	-34.5	23
11	22.7	0.0	-61.8	-43.0	18
12	31.1	0.0	25.9	-36.5	22
13	31.1	0.0	-61.8	-38.5	20
14	31.1	0.0	-12.6	-39.5	19
15	36.2	0.0	-15.8	-44.0	14
16	58.8	0.0	-14.6	-37.5	20

1	3.3	1.2	-5.9	-22.0	28
2	3.4	0.0	-36.9	-35.0	26
3	3.8	2.0	5.9	-39.0	24
4	3.9	0.8	-60.4	-32.5	28
5	4.6	1.8	-59.2	-44.5	22
6	4.7	1.6	-51.8	-45.0	21
7	4.7	1.6	-60.1	-45.0	21
8	5.0	0.5	-45.6	-46.5	19
9	8.6	0.0	22.9	-8.0	43
10	14.7	0.0	-16.7	-41.0	18
11	16.3	0.0	-18.5	-40.5	20
12	16.3	0.0	-28.6	-42.5	18
13	19.4	0.0	-17.2	-35.5	24
14	22.6	0.0	-60.9	-44.0	17
15	31.1	0.0	-12.8	-36.0	23
16	36.2	0.0	-15.7	-42.5	16
17	58.8	0.0	-14.3	-37.5	22

1	3.2	1.1	-5.2	-22.5	38
2	3.2	1.1	50.0	-24.5	36
3	3.3	0.0	-36.8	-35.0	26
4	3.9	1.9	11.2	-38.0	24
5	8.5	0.0	22.8	-8.0	43
6	14.4	0.0	-16.8	-42.0	19
7	16.3	0.0	-18.3	-42.0	17
8	16.3	0.0	49.3	-40.0	19
9	19.3	0.0	-17.3	-35.0	26
10	22.6	0.0	32.3	-44.0	16
11	25.8	1.1	2.4	-44.0	16
12	31.0	0.0	-12.7	-35.5	24
13	36.2	0.0	-15.9	-42.5	16
14	58.7	0.0	-14.5	-37.0	21

1	3.3	0.0	-36.8	-35.0	27
2	3.4	1.0	-8.1	-23.0	39
3	3.6	1.5	26.5	-38.0	22
4	3.9	1.7	11.8	-40.5	22
5	4.0	1.9	12.6	-42.5	21
6	4.4	0.7	-28.1	-37.0	24
7	8.5	0.0	-14.4	-8.5	41
8	14.6	-0.1	-16.6	-43.0	16
9	16.4	0.0	49.4	-39.5	20
10	16.4	0.0	-18.3	-40.5	19
11	19.4	0.0	-17.1	-34.5	25
12	22.6	0.0	31.8	-43.5	16
13	22.6	0.0	55.1	-44.5	15
14	26.1	1.1	-21.6	-46.5	15
15	31.0	0.0	-62.2	-35.5	22
16	36.2	0.0	-15.7	-42.0	16
17	58.7	0.0	-14.7	-38.0	21

1	3.3	0.0	-37.0	-35.0	25
2	3.4	1.1	1.7	-22.5	37
3	3.4	1.1	-5.6	-23.5	36
4	4.1	0.7	13.2	-42.0	19
5	8.6	0.0	22.5	-8.0	42
6	16.3	0.0	-18.5	-39.0	20
7	19.4	0.0	-17.1	-34.0	24
8	22.6	0.0	32.8	-44.5	13
9	22.6	0.0	55.2	-45.5	12
10	25.7	24.9	-9.5	-44.5	13
11	31.1	0.0	-62.1	-35.5	23
12	36.2	0.0	-15.8	-42.5	16
13	58.7	0.0	-14.8	-38.0	21

1	3.2	1.1	1.6	-21.5	38
2	3.3	0.0	-37.0	-35.0	26
3	4.1	0.9	-45.8	-30.0	34
4	4.1	0.7	-22.9	-37.0	27
5	4.1	0.7	51.4	-39.0	25
6	4.1	0.7	-54.3	-41.0	23
7	4.1	0.3	-33.1	-43.5	18
8	8.5	0.0	-14.3	-8.0	42
9	16.3	0.0	-18.4	-40.5	20
10	19.3	0.0	-17.0	-34.0	27
11	22.7	0.0	32.0	-45.5	15
12	26.1	1.1	-6.6	-42.5	16
13	31.2	0.0	-18.1	-35.5	24
14	36.2	0.0	-15.9	-42.5	17
15	58.6	0.0	-14.6	-38.5	20

1	3.2	1.1	2.4	-24.0	39
2	3.3	0.0	-36.8	-35.0	28
3	4.1	0.4	11.0	-38.5	22
4	4.2	0.7	8.2	-37.5	25
5	4.2	0.9	-46.6	-27.5	36
6	8.5	0.0	-14.6	-8.0	42
7	16.2	0.0	-18.3	-40.0	20
8	19.4	0.0	-17.0	-34.5	26
9	22.7	0.0	-62.9	-45.0	15
10	31.2	0.0	-18.1	-35.5	22
11	36.2	-0.1	-15.7	-42.5	17
12	58.8	0.0	-14.4	-38.0	20

1	1.7	0.4	25.4	-55.0	20
2	1.7	0.4	19.8	-53.0	22
3	3.3	0.0	-36.7	-35.0	28
4	3.6	1.1	-3.8	-27.0	36
5	3.6	1.1	-8.5	-28.0	35
6	3.7	1.3	7.3	-42.5	18
7	4.1	0.7	-57.2	-35.0	25
8	4.1	0.1	-24.1	-38.5	24
9	4.1	0.1	3.9	-40.5	22
10	4.1	0.8	37.1	-32.0	29
11	5.1	0.3	-53.1	-39.0	26
12	8.5	0.0	-14.5	-8.0	42
13	16.0	0.0	-17.5	-39.5	21
14	19.4	0.0	-17.3	-34.5	26
15	22.7	0.0	-62.0	-44.0	15
16	31.2	0.0	-18.1	-35.5	23
17	36.2	0.0	-15.7	-42.0	16
18	58.7	0.0	-14.1	-37.0	22

1	3.5	0.0	-37.1	-35.5	26
2	3.6	1.4	6.1	-38.5	20
3	3.7	1.1	-7.5	-22.0	37
4	4.1	0.1	5.4	-36.5	23
5	4.1	0.1	-22.9	-36.5	23
6	8.5	0.0	-14.3	-8.5	42
7	16.2	0.0	-18.3	-39.5	22
8	19.4	0.0	-17.2	-34.5	24
9	22.7	0.0	-61.2	-44.0	16
10	27.3	-68.4	-40.7	-47.0	14
11	31.2	0.0	-18.1	-35.0	24
12	36.2	0.0	-15.5	-43.5	16
13	50.4	0.0	7.0	-46.5	14
14	50.4	0.0	-4.2	-48.5	12
15	58.6	0.0	-15.1	-37.5	21

1	1.8	0.6	22.5	-47.5	25
2	3.3	0.0	-36.9	-35.0	28
3	3.5	1.1	-8.4	-27.5	37
4	3.9	1.3	16.1	-39.0	23
5	4.2	0.3	15.8	-37.5	23
6	4.5	0.9	34.1	-30.5	34
7	8.5	0.0	-14.5	-8.0	42
8	16.1	0.0	-8.6	-39.5	21
9	19.4	0.0	-17.1	-34.5	26
10	22.7	0.0	-63.0	-44.0	17
