ID	Range	Rate	Angle	Rcs	Snr

1	1.5	0.0	-16.3	-26.5	35
2	1.5	0.0	-12.0	-24.5	37
3	8.8	0.0	22.6	-12.0	42
4	15.9	0.0	4.7	-46.0	14
5	17.8	0.0	-4.1	-39.0	21
6	22.3	0.0	-62.2	-46.0	15
7	24.2	0.0	5.1	-47.0	13
8	31.5	0.0	-16.1	-42.5	18
9	45.4	0.0	-1.5	-45.5	14
10	52.1	0.0	-17.0	-45.5	14
11	52.1	0.0	-3.8	-47.5	12

1	1.6	0.0	-6.7	-24.5	37
2	1.6	0.0	-22.8	-26.5	35
3	1.6	0.0	-12.8	-22.5	39
4	8.8	0.0	22.6	-12.0	43
5	15.6	0.0	-55.3	-46.0	17
6	15.6	0.0	-47.0	-48.0	15
7	17.8	0.0	-4.1	-39.0	22
8	22.4	0.0	-61.4	-45.0	15
9	24.9	-69.5	-70.5	-47.0	14
10	26.9	-39.7	-43.4	-48.0	13
11	26.9	-39.7	-34.1	-50.0	11
12	31.5	0.0	-16.6	-42.5	19
13	45.9	-39.7	-13.0	-46.5	13
14	45.9	-39.7	-18.6	-47.5	12

1	1.6	0.0	-52.2	-22.0	39
2	1.6	0.0	-60.9	-22.0	39
3	8.8	0.0	22.6	-12.0	43
4	14.9	0.0	-3.4	-44.5	17
5	14.9	0.0	-17.6	-46.5	15
6	17.8	0.0	-4.2	-39.5	19
7	22.2	0.0	-13.8	-46.0	13
8	24.1	0.0	4.6	-44.0	15
9	31.4	0.0	37.1	-42.5	16
10	31.4	0.0	31.6	-44.5	14
11	45.3	0.0	-0.5	-46.0	13

1	1.6	0.0	-51.8	-21.5	38
2	1.6	0.0	-61.6	-21.5	38
3	8.8	0.0	22.6	-12.0	42
4	14.5	0.0	-29.7	-45.0	16
5	17.7	0.0	-4.7	-39.5	21
6	22.5	0.0	-62.7	-44.5	15
7	22.5	0.0	-52.7	-44.5	15
8	24.1	0.0	4.3	-43.0	16
9	31.5	0.0	-16.4	-42.0	16

1	1.6	0.0	-12.8	-22.5	38
2	8.8	0.0	22.6	-12.0	42
3	14.4	0.0	-56.2	-44.5	17
4	14.4	0.0	-37.9	-46.5	15
5	17.7	0.0	-3.7	-38.5	23
6	22.2	0.0	-13.3	-45.5	15
7	24.1	0.0	4.1	-43.5	18
8	31.5	0.0	-16.5	-42.0	18

1	1.8	0.0	2.0	-25.0	38
2	1.8	0.0	-52.1	-23.0	40
3	8.8	0.0	22.6	-12.0	43
4	15.4	0.0	-26.6	-47.5	13
5	15.4	0.0	-10.7	-45.5	15
6	17.7	0.0	-3.0	-39.5	21
7	22.2	0.0	-3.6	-45.0	14
8	23.7	26.6	0.9	-45.0	14
9	31.6	-0.1	-17.2	-42.0	18

1	1.8	0.0	-21.5	-23.5	40
2	8.8	0.0	22.6	-12.0	42
3	17.7	0.0	-29.6	-40.0	19
4	22.4	0.0	-59.3	-46.0	13
5	24.1	0.0	2.8	-44.0	16
6	31.6	0.0	-15.8	-42.5	18

1	1.7	0.0	-32.9	-25.0	38
2	1.7	0.0	-20.7	-23.0	40
3	8.8	0.0	22.6	-12.0	42
4	15.2	0.0	-18.3	-42.5	18
5	17.5	0.0	-3.7	-39.5	21
6	22.2	0.0	-13.4	-46.0	15
7	24.3	0.0	2.0	-45.0	14
8	31.5	0.0	-16.2	-42.0	19
9	52.2	0.0	-13.3	-47.0	13

1	1.8	0.0	74.5	-23.5	39
2	1.8	0.0	-69.0	-21.5	41
3	8.8	0.0	22.6	-12.0	43
4	15.5	0.0	-15.9	-43.0	17
5	17.7	0.0	-3.7	-42.5	19
6	22.2	0.0	-13.5	-45.0	16
7	24.4	0.0	1.4	-44.0	16
8	31.5	0.0	-16.4	-42.5	16

1	1.8	0.0	-2.2	-22.5	41
2	8.8	0.0	22.6	-12.0	42
3	15.4	0.0	-49.1	-43.5	19
4	17.7	0.0	-2.9	-39.5	23
5	22.2	0.0	-13.2	-46.0	15
6	22.2	0.0	-2.9	-48.0	13
7	24.3	0.0	2.0	-43.0	16
8	31.5	0.0	-16.6	-42.0	18

1	1.8	0.0	-55.6	-24.5	41
2	8.8	0.0	22.6	-12.0	42
3	15.1	-0.1	38.6	-42.5	18
4	17.6	0.0	-3.4	-41.0	19
5	22.2	-0.1	-3.0	-44.5	17
6	22.2	-0.1	2.0	-45.5	16
7	24.2	0.0	1.9	-43.5	17
8	31.5	0.0	-16.7	-42.5	18

1	1.7	0.0	-23.5	-23.5	42
2	8.8	0.0	22.6	-12.0	42
3	15.7	-0.1	-15.4	-42.5	19
4	17.5	0.0	-46.0	-45.0	15
5	22.6	0.0	-61.5	-45.0	16
6	22.6	0.0	5.8	-45.0	16
7	24.2	0.0	-15.8	-43.5	17
8	31.6	-0.1	-16.0	-42.5	17

1	1.7	0.0	-22.0	-21.5	42
2	8.8	0.0	22.6	-12.0	43
3	15.9	0.0	-6.5	-45.0	16
4	15.9	0.0	-0.6	-47.0	14
5	17.6	0.0	-8.6	-42.0	18
6	22.2	0.0	-13.4	-44.0	17
7	24.2	0.0	1.6	-45.5	15
8	31.5	0.0	-16.5	-41.5	17
9	52.2	23.8	-22.0	-46.0	14

1	1.6	0.0	-2.8	-23.0	38
2	1.6	0.0	-8.0	-21.0	40
3	8.8	0.0	22.6	-12.5	42
4	14.6	0.0	1.1	-47.5	14
5	15.6	-0.1	7.0	-47.0	15
6	17.9	0.0	-74.5	-44.0	18
7	17.9	0.0	-30.3	-46.0	16
8	17.9	0.0	-6.1	-48.0	14
9	22.6	0.0	-62.2	-44.5	16
10	24.1	0.0	2.2	-42.5	17
11	31.5	0.0	-16.5	-42.0	17

1	1.7	0.0	-13.5	-22.0	42
2	1.7	0.0	-8.5	-20.0	44
3	8.8	0.0	22.6	-12.0	42
4	15.1	0.0	-15.4	-45.5	14
5	17.7	0.0	-18.0	-43.0	17
6	22.2	0.0	-12.8	-45.0	15
7	24.7	-26.7	4.2	-45.0	16
8	31.5	0.0	-16.2	-41.5	18

1	1.8	0.0	-22.3	-21.5	39
2	8.8	0.0	22.5	-12.0	42
3	15.6	0.0	-34.7	-44.5	16
4	17.8	0.0	-3.0	-46.0	13
5	17.8	0.0	-17.2	-44.0	15
6	22.4	0.0	-60.2	-45.5	13
7	24.2	0.0	-45.4	-45.0	14
8	24.2	0.0	7.0	-47.0	12
9	31.5	0.0	-17.3	-42.5	17

1	1.6	0.0	-19.4	-21.5	37
2	8.8	0.0	22.6	-12.0	43
3	15.1	0.0	44.5	-42.5	19
4	17.5	0.0	1.8	-44.0	16
5	22.0	0.0	-14.3	-45.5	13
6	22.0	0.0	-2.7	-47.5	11
7	31.5	0.0	-17.0	-41.5	18
8	52.3	-0.1	-72.5	-47.0	13
9	52.3	-0.1	-22.9	-49.0	11

1	1.7	0.0	-63.2	-23.5	40
2	8.8	0.0	22.6	-12.5	42
3	15.0	-0.1	5.2	-42.0	19
4	15.0	-0.1	33.9	-43.0	18
5	17.7	0.0	-4.1	-45.5	14
6	17.7	0.0	37.2	-43.5	16
7	17.7	0.0	-13.4	-43.5	16
8	22.3	0.0	-60.3	-44.5	15
9	23.9	0.0	5.0	-44.5	16
10	23.9	0.0	0.8	-46.5	14
11	31.4	0.0	-16.7	-42.5	18
12	45.4	0.0	-48.9	-47.0	13
13	45.4	0.0	31.4	-49.0	11

