ID	Range	Rate	Angle	Rcs	Snr
6	18.3	0.0	-22.5	-37.0	23
7	22.6	0.0	3.4	-42.0	17
8	24.2	0.0	1.8	-41.0	19
9	31.2	0.0	-22.5	-43.0	15
10	31.2	0.0	-61.2	-44.0	14
11	36.2	0.0	-14.9	-38.5	19

1	1.7	0.0	59.0	-35.0	36
2	5.4	0.0	-24.3	-41.0	24
3	8.6	0.0	55.7	-17.0	40
4	15.5	0.0	-4.2	-40.5	19
5	17.8	0.0	-29.0	-38.5	21
6	22.8	0.0	2.8	-42.5	17
7	24.2	0.0	1.9	-43.0	15
8	31.3	-0.1	-62.2	-43.5	16
9	36.2	0.0	-15.0	-39.0	21

1	1.5	0.0	-5.9	-31.0	35
2	8.6	0.0	57.2	-17.0	40
3	15.2	-0.1	30.9	-41.5	18
4	18.2	0.0	-54.7	-38.0	21
5	22.7	0.0	2.7	-43.0	17
6	31.3	0.0	-61.9	-42.5	16
7	36.1	0.0	-14.9	-39.0	18

1	1.5	0.0	-2.9	-30.0	34
2	8.6	0.0	31.0	-17.0	40
3	14.4	0.0	-22.2	-43.5	19
4	18.5	0.0	-54.2	-37.5	24
5	22.7	0.0	3.2	-43.0	18
6	24.3	0.0	21.7	-43.5	17
7	31.2	0.0	-12.7	-42.5	18
8	36.2	0.0	-15.0	-39.0	21

1	1.3	0.2	10.3	-37.5	29
2	1.4	0.0	10.6	-29.0	36
3	8.7	0.0	30.8	-16.0	41
4	14.7	0.0	-21.9	-42.0	18
5	18.4	0.0	-54.7	-36.0	25
6	22.8	0.0	3.2	-43.5	17
7	23.7	0.0	1.0	-44.0	16
8	23.7	0.0	5.3	-46.0	14
9	31.2	0.0	-12.5	-42.0	18
10	36.2	0.0	-14.9	-39.0	21
11	62.5	-26.7	-21.7	-47.5	13

1	1.5	0.0	51.5	-32.0	32
2	1.5	0.0	-33.3	-30.0	34
3	8.7	0.0	31.0	-16.0	41
4	15.0	-0.1	-22.6	-39.5	21
5	18.4	0.0	-17.1	-36.0	25
6	22.7	0.0	11.8	-43.0	18
7	31.3	0.0	-17.0	-40.5	20
8	31.3	0.0	-12.3	-40.5	20
9	36.1	0.0	-14.9	-39.5	21

1	1.5	0.0	-3.9	-31.5	35
2	8.7	0.0	31.1	-16.0	42
3	8.7	0.0	3.1	-18.0	40
4	16.0	-0.1	-18.6	-40.0	21
5	16.0	-0.1	-13.7	-41.0	20
6	17.9	0.0	-58.4	-37.0	25
7	22.8	0.0	3.2	-43.5	17
8	31.3	0.0	-45.8	-40.5	19
9	31.3	0.0	-61.3	-41.5	18
10	36.2	0.0	-15.0	-40.0	21

1	1.5	0.0	6.0	-30.0	34
2	3.2	0.0	-38.7	-35.0	35
3	3.2	0.0	33.7	-37.0	33
4	8.5	0.0	31.2	-16.5	41
5	8.5	0.0	3.2	-16.5	41
6	15.1	-0.1	35.1	-40.5	19
7	18.4	-0.1	-54.0	-37.5	23
8	21.4	0.0	-9.1	-46.0	14
9	22.4	26.6	9.4	-43.0	16
10	24.4	0.0	-14.9	-43.5	17
11	31.3	0.0	-61.3	-42.0	18
12	31.3	0.0	-46.9	-44.0	16
13	36.2	0.0	-15.0	-40.0	20

1	1.6	0.0	6.1	-32.5	32
2	1.6	0.0	-62.2	-30.5	34
3	8.5	0.0	-14.6	-16.5	40
4	15.2	-0.1	-22.8	-38.5	23
5	18.1	0.0	-56.3	-38.0	22
6	22.7	0.0	11.7	-43.0	18
7	22.7	0.0	23.2	-45.0	16
8	24.1	0.0	-25.5	-43.5	18
9	31.3	0.0	-46.2	-42.0	18
10	31.3	0.0	-60.5	-44.0	16
11	36.2	0.0	-15.0	-40.0	20

1	1.8	0.0	-37.5	-29.0	39
2	8.5	0.0	-14.6	-16.5	40
3	15.1	0.0	1.9	-40.0	21
4	18.2	0.0	-3.0	-38.0	23
5	22.7	0.0	11.8	-43.5	18
6	24.2	0.0	-22.4	-43.0	18
7	31.3	0.0	-13.0	-43.5	16
8	36.1	0.0	-14.9	-40.0	20
9	62.2	0.0	-15.4	-48.0	13

1	1.8	0.0	10.3	-28.0	40
2	8.5	0.0	-14.7	-16.5	41
3	15.1	0.0	63.5	-39.5	22
4	15.1	0.0	10.7	-41.5	20
5	15.1	0.0	-4.9	-43.5	18
6	18.2	0.0	-28.7	-37.5	23
7	22.8	0.0	11.8	-43.0	17
8	24.0	0.0	-23.7	-44.0	17
9	24.0	0.0	-17.8	-46.0	15
10	31.3	0.0	-62.1	-43.0	17
11	31.3	0.0	-47.0	-44.0	16
12	36.2	0.0	-15.0	-39.5	21

1	1.6	0.0	10.3	-30.0	35
