ID	Range	Rate	Angle	Rcs	Snr
5	16.9	0.0	-3.4	-32.5	28
6	22.9	0.0	3.4	-41.0	20
7	31.4	0.0	-18.2	-37.0	23
8	31.4	0.0	-12.9	-38.0	22
9	36.2	-0.1	-15.4	-42.0	18
10	60.6	-26.7	-12.8	-46.5	13
11	61.4	-0.1	-16.4	-46.5	14

1	1.8	0.0	-62.4	-31.0	41
2	5.1	0.0	-30.5	-41.0	26
3	8.3	0.0	-13.6	-9.5	42
4	10.8	0.0	-44.9	-30.0	32
5	16.9	0.0	-3.3	-32.5	28
6	22.9	0.0	3.6	-41.0	19
7	31.4	0.0	-18.2	-37.0	25
8	31.4	0.0	-12.9	-38.0	24
9	36.2	-0.1	-15.2	-42.0	17
10	61.8	0.0	-16.2	-47.0	13

1	1.8	0.0	-62.4	-31.5	42
2	8.3	0.0	-13.6	-9.5	42
3	10.9	0.0	-32.4	-30.0	33
4	16.8	0.0	-3.4	-32.0	28
5	22.9	-0.1	3.3	-41.0	19
6	31.4	0.0	-18.3	-37.0	24
7	31.4	0.0	-12.9	-38.0	23
8	36.2	0.0	-15.3	-42.0	18
9	61.0	-39.7	-15.7	-47.0	13
10	62.7	-69.5	-12.8	-46.5	14

1	1.7	0.0	10.0	-31.5	44
2	8.3	0.0	-13.6	-9.5	42
3	10.8	0.0	-32.3	-30.0	32
4	16.7	0.0	-3.9	-32.0	29
5	22.5	26.6	9.8	-41.0	20
6	31.4	0.0	-18.2	-37.0	24
7	31.4	0.0	-12.9	-38.0	23
8	36.2	0.0	-15.2	-41.5	17
9	61.6	0.0	-16.5	-46.0	14

1	1.8	0.0	8.6	-31.5	42
2	8.3	0.0	-13.6	-9.5	42
3	10.8	0.0	-32.6	-29.5	31
4	16.8	0.0	-3.3	-32.5	28
5	23.1	0.0	3.2	-40.5	20
6	31.4	0.0	-62.1	-36.5	24
7	31.4	0.0	-18.1	-37.5	23
8	36.2	0.0	-15.3	-41.0	18

1	2.0	0.0	29.4	-32.0	43
2	5.1	0.0	23.5	-40.5	25
3	5.1	0.0	29.1	-41.5	24
4	8.3	0.0	-13.6	-9.5	42
5	10.8	0.0	-32.4	-29.5	33
6	16.8	0.0	-3.3	-32.5	27
7	22.9	0.0	2.9	-40.5	19
8	31.4	0.0	-18.2	-37.0	22
9	31.4	0.0	-12.8	-38.0	21
10	36.2	0.0	-15.4	-42.0	18

1	2.0	0.0	54.1	-33.5	39
2	2.0	0.0	-11.5	-35.5	37
3	2.0	0.0	28.5	-32.5	40
4	8.3	0.0	-13.6	-9.5	42
5	10.9	0.0	-44.7	-30.0	31
6	16.9	0.0	-3.6	-32.5	28
7	22.9	0.0	3.5	-41.0	18
8	31.4	0.0	-18.3	-37.0	23
9	31.4	0.0	-12.9	-37.0	23
10	36.2	0.0	-15.3	-42.0	16

1	1.9	0.0	-38.7	-34.5	38
2	1.9	0.0	-61.6	-32.5	40
3	8.3	0.0	-13.6	-9.5	42
4	10.8	0.0	-32.4	-30.0	34
5	16.9	0.0	-3.5	-32.5	28
6	22.9	0.0	3.0	-41.0	20
7	31.4	0.0	-18.2	-37.0	23
8	31.4	0.0	-12.8	-38.0	22
9	36.2	0.0	-15.3	-42.5	20
10	61.6	0.0	-16.5	-48.0	13

1	1.8	0.0	-63.4	-32.0	43
2	8.3	0.0	-13.6	-9.5	42
3	10.9	0.0	-32.8	-30.0	31
4	16.9	0.0	-3.5	-32.5	28
5	22.9	0.0	3.2	-40.5	19
6	24.3	0.0	-14.3	-43.5	17
7	31.4	0.0	-18.1	-37.0	22
8	31.4	0.0	-13.0	-38.0	21
9	36.2	0.0	-15.3	-42.0	19
10	61.6	-0.1	-16.4	-46.5	15

1	1.8	0.0	9.4	-32.0	43
2	8.3	0.0	-13.6	-9.5	42
3	10.8	0.0	-45.5	-29.5	32
4	16.9	0.0	-3.4	-32.0	28
5	22.9	0.0	12.8	-40.5	19
6	31.4	0.0	-18.0	-37.0	23
7	31.4	0.0	-12.8	-39.0	21
8	36.2	0.0	-15.4	-42.5	18
9	60.3	-0.1	-16.0	-47.5	13

1	1.8	-0.1	-6.8	-33.0	42
2	1.8	-0.1	8.6	-32.0	43
3	8.3	0.0	-13.6	-9.5	42
4	10.8	0.0	-32.5	-29.5	33
5	16.8	0.0	-3.5	-32.5	28
6	22.9	23.8	9.5	-40.5	19
7	31.4	0.0	-18.1	-37.0	23
8	36.2	0.0	-15.4	-41.5	19

1	1.9	-0.1	28.7	-31.5	43
2	8.3	0.0	-13.6	-9.5	42
3	10.8	0.0	-44.9	-29.5	32
4	16.7	0.0	-3.8	-32.5	30
5	23.0	0.0	12.5	-41.0	19
6	31.4	0.0	-18.1	-37.0	24
7	31.4	0.0	-12.8	-38.0	23
8	36.2	0.0	-15.3	-42.0	18
