ID	Range	Rate	Angle	Rcs	Snr
2	2.5	-0.1	-3.4	-20.5	40
3	2.6	-0.4	28.1	-45.5	19
4	4.1	-0.2	20.9	-34.5	33
5	4.1	-0.2	-18.6	-36.5	31
6	5.1	-0.1	11.8	-35.5	31

1	2.5	0.0	-2.6	-19.5	41
2	2.6	0.3	36.3	-46.0	18
3	2.7	-0.3	52.2	-40.5	23
4	4.6	-0.1	29.6	-34.0	32
5	4.6	-0.1	-52.5	-36.0	30
6	8.3	0.0	-13.1	-46.0	18

1	1.0	-0.2	-7.5	-21.5	40
2	2.7	-0.1	-39.0	-26.5	42
3	2.8	0.3	-58.4	-45.0	24
4	2.8	0.3	8.7	-47.0	22
5	5.2	-0.1	12.8	-34.0	32
6	5.2	-0.1	-67.1	-36.0	30
7	8.6	-0.1	-13.0	-35.5	28

1	2.7	0.0	23.4	-21.0	43
2	5.7	-0.1	-17.5	-31.0	33
3	5.7	-0.1	24.6	-32.0	32
4	8.6	0.0	-13.2	-34.0	29

1	1.4	-0.3	-59.0	-41.0	26
2	2.7	0.0	24.1	-16.0	43
3	6.0	0.0	-29.6	-27.0	35
4	8.6	0.0	43.1	-32.5	29

1	1.4	-0.3	4.5	-37.0	30
2	2.7	0.0	23.7	-17.5	42
3	6.0	0.0	-28.7	-27.0	36
4	8.5	0.0	42.8	-34.0	29

1	2.7	-0.1	24.1	-14.0	43
2	6.0	0.0	-29.1	-29.0	35
3	8.6	0.0	42.8	-33.5	29
4	8.6	0.0	36.3	-34.5	28
5	13.3	-53.4	8.5	-50.0	13

1	2.7	0.0	23.9	-19.0	42
2	5.5	-0.1	70.7	-31.0	34
3	5.8	0.2	4.1	-48.0	14
4	5.8	0.2	8.6	-48.0	14
5	8.4	0.0	-55.7	-33.0	31
6	14.2	-23.9	27.0	-48.0	13

1	2.7	0.0	-53.5	-27.0	41
2	4.8	0.2	10.1	-43.0	23
3	5.8	-0.1	47.5	-30.5	34
4	8.4	0.0	42.9	-34.5	27
5	8.4	0.0	24.6	-35.5	26

1	2.6	-0.1	-55.5	-22.0	40
2	2.6	-0.1	25.0	-20.0	42
3	4.8	0.2	10.8	-41.5	23
4	5.9	0.0	-55.1	-31.5	32
5	5.9	0.0	69.1	-29.5	34
6	5.9	0.0	-48.3	-33.5	30
7	8.4	-0.1	-13.5	-34.5	29
8	13.4	26.6	-65.4	-48.5	14
9	13.4	26.6	10.3	-50.5	12

1	1.3	-0.2	0.4	-28.5	37
2	2.6	-0.1	-30.2	-16.5	43
3	4.8	0.2	11.1	-37.5	27
