ID	Range	Rate	Angle	Rcs	Snr
6	13.1	-0.1	33.6	-49.5	12

1	2.4	0.0	-3.9	-9.5	42
2	5.5	0.0	-3.6	-22.5	40
3	8.4	0.0	43.0	-31.0	31
4	8.4	0.0	-55.9	-33.0	29
5	8.4	0.0	36.5	-35.0	27
6	12.9	0.0	-58.6	-48.0	14
7	12.9	0.0	28.0	-50.0	12

1	2.5	0.0	-3.8	-10.0	43
2	5.5	0.0	-3.6	-22.5	39
3	8.4	0.0	43.2	-30.5	32
4	13.0	0.0	4.7	-45.5	14

1	2.5	0.0	-3.7	-10.5	42
2	5.5	0.0	-3.5	-22.0	38
3	8.4	0.0	-13.0	-31.5	30
4	8.4	0.0	58.0	-33.5	28
5	12.9	0.0	2.7	-47.0	13

1	2.5	0.0	-3.6	-11.0	42
2	5.5	0.0	-3.7	-22.5	39
3	8.4	0.0	43.3	-31.0	32
4	13.1	-26.7	32.1	-47.5	13

1	2.5	0.0	-3.6	-11.0	42
2	5.5	0.0	-3.6	-23.0	39
3	5.5	0.0	-9.2	-25.0	37
4	8.4	0.0	-4.5	-31.0	31
5	13.0	23.8	24.4	-47.5	14
6	13.0	23.8	30.2	-48.5	13

1	2.5	0.0	-3.6	-11.0	42
2	5.6	0.0	48.4	-23.5	40
3	8.4	0.0	-4.4	-30.5	32
4	10.9	0.0	29.6	-47.0	15
5	13.5	0.0	26.7	-47.5	13
6	13.5	0.0	32.8	-49.5	11

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	48.3	-24.5	40
3	8.4	0.0	-4.3	-31.0	31
4	13.0	0.0	26.1	-47.0	14
5	13.0	0.0	33.4	-49.0	12

1	2.5	0.0	-3.6	-10.5	42
2	5.6	0.0	48.3	-24.0	39
3	8.4	0.0	43.6	-31.0	31
4	13.5	-23.9	26.4	-47.0	13
5	13.5	-23.9	32.5	-49.0	11

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	48.2	-24.5	39
3	8.4	0.0	-4.2	-31.5	30
4	13.0	-0.1	-58.9	-47.5	14
5	13.0	-0.1	28.3	-49.5	12

1	2.5	0.0	-3.6	-11.0	42
2	5.6	0.0	48.5	-25.0	38
3	8.4	0.0	-4.3	-31.0	32
4	10.8	0.0	-3.6	-47.5	14
5	13.0	0.0	-59.0	-47.5	14
6	13.0	0.0	-17.4	-49.5	12

1	2.5	0.0	-3.6	-11.0	42
2	4.8	0.2	-30.1	-46.0	20
3	5.6	0.0	47.6	-25.0	39
4	8.4	0.0	-4.5	-31.0	32
5	12.6	0.0	5.1	-47.5	13
6	12.6	0.0	-44.7	-47.5	13
