ID	Range	Rate	Angle	Rcs	Snr
2	5.7	0.0	48.1	-25.0	38
3	8.4	0.0	-4.2	-31.0	32
4	12.9	0.0	5.4	-46.5	15

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	48.4	-25.5	39
3	8.5	0.0	-4.2	-31.0	30
4	12.9	0.0	27.1	-47.5	13

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	48.4	-25.0	39
3	8.4	0.0	-4.1	-31.0	31
4	12.7	0.0	27.9	-46.5	16

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	48.1	-25.0	38
3	8.4	0.0	-4.1	-31.5	31
4	13.2	-23.9	7.0	-45.5	16

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	48.3	-25.5	38
3	8.4	0.0	-4.3	-31.5	30
4	13.0	0.0	27.5	-46.0	16

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	48.3	-25.5	38
3	8.5	0.0	-4.4	-31.5	32
4	12.9	0.0	5.2	-46.5	17

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	48.0	-25.5	39
3	8.5	0.0	-4.1	-32.0	32
4	12.6	23.8	11.5	-47.0	14
5	12.6	23.8	22.9	-49.0	12

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	48.2	-25.0	38
3	8.4	0.0	-4.1	-31.5	31
4	12.7	0.0	27.7	-47.0	13

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	48.2	-25.5	39
3	8.5	0.0	-4.2	-31.5	29
4	12.4	26.6	36.0	-47.0	14

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	48.4	-25.5	37
3	8.4	0.0	-4.3	-31.5	30
4	13.3	-23.9	7.2	-46.5	13

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	48.0	-25.5	39
3	8.4	0.0	-4.2	-31.5	29
4	12.6	0.0	4.8	-47.0	14
5	12.6	0.0	-44.9	-48.0	13

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	48.2	-25.5	39
3	8.5	0.0	-4.1	-31.5	32
4	12.6	0.0	58.4	-47.5	14
5	12.6	0.0	8.6	-49.5	12

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	47.8	-25.5	38
3	8.4	0.0	-4.2	-31.5	32
4	12.7	0.0	5.8	-48.0	14

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	48.0	-25.5	39
3	8.5	0.0	-4.3	-31.5	32
4	13.9	-69.5	7.1	-47.0	15

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	48.0	-25.0	39
3	8.5	0.0	-4.2	-31.5	33
4	12.6	-0.1	3.9	-47.5	15
5	12.6	-0.1	10.0	-48.5	14

1	2.5	0.0	-3.6	-11.0	42
