ID	Range	Rate	Angle	Rcs	Snr
9	20.0	-26.1	9.8	-48.5	13

1	1.2	0.1	-0.6	-27.0	38
2	2.7	-0.1	-38.9	-29.0	38
3	4.5	0.2	-33.2	-32.5	31
4	4.8	-0.4	9.5	-46.5	18
5	5.4	0.0	37.5	-35.5	28
6	8.7	0.0	-12.7	-48.5	14
7	12.9	-23.9	29.7	-45.5	17
8	19.9	0.6	33.0	-47.0	14
9	19.9	0.6	7.4	-49.0	12
10	20.1	-22.7	-7.8	-47.0	13
11	47.6	1.2	-8.3	-45.5	15

1	1.2	0.2	1.6	-34.0	33
2	1.2	0.2	6.0	-32.0	35
3	2.5	-0.1	-3.8	-22.0	41
4	4.5	0.2	-56.2	-35.0	30
5	5.5	0.0	15.5	-35.0	30
6	5.5	0.0	-20.4	-33.0	32
7	5.5	0.0	8.4	-37.0	28
8	8.5	0.0	-13.3	-30.5	32
9	13.3	-39.7	6.3	-47.0	16
10	19.2	0.6	-60.8	-47.0	14
11	47.5	1.3	-8.5	-44.5	16

1	1.2	0.3	-0.3	-34.5	29
2	2.5	0.0	-3.6	-9.0	42
3	4.5	0.2	71.1	-38.0	27
4	5.7	0.0	-3.4	-31.5	34
5	5.7	0.0	65.5	-30.5	35
6	8.5	0.0	43.0	-35.0	26
7	12.5	0.0	5.4	-46.5	16
8	19.7	0.6	6.9	-46.0	14

1	2.5	0.0	-3.7	-11.0	41
2	4.3	0.3	-60.6	-42.5	25
3	4.3	0.3	-51.7	-44.5	23
4	5.5	0.0	-54.2	-24.0	39
5	8.6	0.0	42.9	-32.0	30
6	12.5	0.0	5.6	-47.0	14
7	12.5	0.0	-45.0	-49.0	12
8	19.8	-23.2	31.4	-49.0	14

1	1.5	0.2	1.5	-32.0	32
2	2.5	0.0	-3.7	-11.5	42
3	5.7	0.0	-53.6	-26.5	37
4	8.6	0.0	-13.6	-32.5	30
5	12.5	0.0	6.0	-46.5	16

1	2.5	0.0	-3.7	-11.0	42
2	5.9	0.0	-29.1	-27.5	35
3	8.5	0.0	43.5	-32.5	31
4	13.0	-26.7	8.3	-46.5	14

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	-54.5	-27.5	34
3	5.7	0.0	-8.5	-29.5	32
4	8.4	0.0	43.5	-32.5	30
5	12.4	23.8	2.0	-46.5	15

1	2.5	0.0	-3.6	-11.0	42
2	3.4	0.3	11.7	-41.0	21
3	5.8	0.0	-28.9	-27.5	36
4	8.5	0.0	43.3	-32.5	31
5	13.4	0.0	27.7	-47.0	15
6	13.4	0.0	-31.1	-47.0	15

1	2.5	0.0	-3.6	-11.0	42
2	5.8	0.0	-29.1	-27.5	36
3	8.4	0.0	43.2	-33.5	29
4	12.7	0.0	4.5	-47.0	15

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	-8.6	-26.5	37
3	5.7	0.0	-3.1	-26.5	37
4	8.4	0.0	43.3	-33.5	31
5	12.9	0.0	5.7	-46.5	16

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	-54.2	-26.0	37
3	5.7	0.0	-8.6	-27.0	36
4	8.5	0.0	43.0	-33.0	31
5	13.0	-0.1	4.2	-46.5	15

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	-3.4	-26.0	38
3	5.7	0.0	-8.3	-28.0	36
4	8.5	0.0	43.2	-33.5	30
5	13.1	0.0	27.9	-47.0	14

1	2.5	0.0	-3.6	-11.0	42
2	5.6	0.0	-3.4	-26.0	36
3	8.5	0.0	43.2	-33.0	30
4	12.9	0.0	4.2	-46.5	14

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	-3.4	-26.0	38
3	8.4	0.0	43.4	-33.0	31
4	12.6	0.0	4.8	-46.5	14

1	2.5	0.0	-3.6	-11.0	42
2	4.3	0.3	-2.8	-45.5	21
3	5.7	0.0	-3.5	-26.0	38
4	8.5	0.0	43.4	-33.0	30
5	13.3	0.0	3.8	-47.5	13

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	-3.4	-26.5	38
3	8.5	0.0	43.3	-32.5	29
4	12.9	0.0	27.8	-46.5	15

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	-3.4	-26.5	37
3	8.5	0.0	43.2	-32.5	32
4	14.2	-39.7	3.9	-47.0	14

1	2.5	0.0	-3.6	-11.0	42
2	4.6	0.2	-11.7	-43.5	23
3	5.7	0.0	-3.4	-26.5	37
4	8.5	0.0	43.3	-32.5	32
5	13.8	-26.7	7.8	-47.0	15

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	-3.4	-26.5	37
3	8.5	0.0	43.3	-32.5	31
4	13.4	0.0	4.1	-46.5	15

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	-3.5	-26.5	37
3	5.7	0.0	-8.6	-28.5	35
4	8.5	0.0	35.7	-33.0	30
5	8.5	0.0	42.6	-34.0	29
6	13.0	-39.7	4.7	-47.0	15

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	-3.3	-26.5	38
3	8.6	0.0	35.7	-32.5	29
4	8.6	0.0	-3.9	-33.5	28
5	12.4	26.6	9.4	-47.0	15
6	12.4	26.6	23.8	-49.0	13

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	-3.3	-26.5	37
3	8.6	0.0	-4.0	-32.5	29
4	8.6	0.0	36.0	-34.5	27
5	11.7	-0.1	-13.9	-47.0	13

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	-3.4	-26.5	37
3	8.5	0.0	43.0	-32.5	29
4	12.7	0.0	27.3	-47.5	15
5	12.7	0.0	33.6	-49.5	13

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	-3.3	-26.5	38
3	8.5	0.0	35.5	-32.5	29
4	8.5	0.0	42.8	-33.5	28
5	12.3	-0.1	4.0	-48.0	16
6	13.5	0.0	3.9	-48.0	13

1	2.5	0.0	-3.6	-11.0	42
2	4.8	0.5	-26.9	-49.5	19
3	5.7	0.0	-3.4	-26.5	36
4	8.5	0.0	-4.9	-32.5	31
5	12.6	-0.1	5.2	-47.5	14
6	12.6	-0.1	-44.6	-49.5	12
7	13.5	0.0	27.8	-47.5	13
8	13.5	0.0	-30.6	-48.5	12

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	-3.5	-26.5	38
3	8.5	0.0	43.2	-32.5	32
4	12.4	0.0	3.3	-47.5	14

1	2.5	0.0	-3.6	-11.0	42
2	4.8	0.3	-22.1	-46.0	20
3	5.7	0.0	-3.4	-26.5	38
4	8.5	0.0	-4.9	-33.0	30
5	12.7	0.0	-59.2	-47.0	15

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	-3.4	-26.5	38
3	8.4	0.0	43.2	-32.5	31
4	12.1	23.8	10.5	-47.0	15

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	-3.5	-26.5	37
3	8.5	0.0	43.3	-33.0	30
4	12.4	0.0	3.6	-47.0	16

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	-3.3	-26.5	37
3	8.4	0.0	43.3	-32.5	32
4	13.5	-26.7	7.3	-48.0	15

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	-3.3	-27.0	37
3	8.5	0.0	43.3	-32.5	31
4	12.3	-0.1	13.2	-48.5	13

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	-3.4	-27.0	38
3	8.5	0.0	43.2	-32.5	31
4	12.4	-0.1	3.1	-48.0	15

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	-3.4	-26.5	38
3	8.5	0.0	43.0	-32.0	32
4	13.2	0.0	28.0	-47.5	14

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	-3.4	-26.5	37
3	8.5	0.0	43.0	-32.5	31
4	11.9	0.0	-13.5	-47.0	15
5	13.0	23.8	24.7	-46.5	13
6	13.0	23.8	29.7	-47.5	12

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	-3.5	-26.5	37
3	8.5	0.0	43.2	-32.5	31
4	12.8	-0.1	4.5	-46.5	14

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	-3.4	-27.0	38
3	8.4	0.0	43.2	-32.5	31
4	12.5	0.0	2.9	-48.0	13

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	-3.4	-26.5	38
3	8.5	0.0	43.0	-32.5	30
4	12.3	0.0	3.9	-47.5	14

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	-3.4	-26.5	39
3	8.5	0.0	43.2	-33.0	32
4	12.6	-0.1	4.4	-47.5	14

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	-3.4	-26.5	38
3	8.6	0.0	35.5	-32.5	32
4	8.6	0.0	-4.0	-33.5	31
5	11.9	0.0	-13.8	-47.5	15
6	12.6	0.0	27.5	-47.5	13

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	-3.4	-26.5	39
3	8.5	0.0	43.3	-32.5	30
4	13.4	0.0	4.4	-47.0	15

1	2.5	0.0	-3.6	-11.0	42
2	4.7	-0.4	7.9	-47.0	20
3	5.7	0.0	-3.4	-26.5	38
4	8.6	0.0	35.5	-32.5	32
5	8.6	0.0	42.6	-34.5	30
6	12.7	0.0	4.0	-47.5	14

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	-3.5	-26.0	37
3	8.5	0.0	43.1	-32.5	30
4	12.9	0.0	27.7	-46.5	16

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	-3.4	-26.0	38
3	8.5	0.0	43.1	-32.5	31
4	13.0	0.0	27.9	-47.5	15

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	-3.1	-26.5	37
3	8.5	0.0	43.1	-33.0	30
4	13.6	-0.1	3.9	-46.5	13

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	-3.4	-26.5	36
3	8.5	0.0	35.5	-32.5	30
4	8.5	0.0	42.7	-34.5	28
5	12.2	0.0	4.5	-47.5	14

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	-3.4	-26.5	36
3	5.7	0.0	-8.3	-28.5	34
4	8.5	0.0	35.8	-32.5	29
5	8.5	0.0	42.9	-33.5	28
6	11.9	-0.1	-13.7	-47.0	13

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	-3.3	-26.5	37
3	8.5	0.0	42.8	-33.0	29
4	8.5	0.0	35.9	-35.0	27
5	12.3	0.0	4.9	-47.5	15
6	12.3	0.0	-44.8	-49.5	13

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	-3.4	-26.5	37
3	8.5	0.0	43.2	-32.5	29
4	12.9	26.6	35.5	-47.0	15

1	2.5	0.0	-3.6	-11.0	42
2	5.7	0.0	-3.4	-26.5	37
3	8.5	0.0	43.2	-32.5	32
4	12.4	0.0	5.0	-47.5	14
5	12.4	0.0	-45.1	-47.5	14

1	2.5	0.0	-3.6	-11.0	42
2	4.7	-0.4	5.9	-47.0	21
3	5.7	0.0	-3.3	-26.5	37
4	8.5	0.0	42.8	-32.5	30
5	8.5	0.0	36.0	-33.5	29
6	12.6	0.0	4.4	-47.5	15

1	2.5	0.0	-3.6	-11.0	42
2	5.8	0.0	-29.2	-26.5	37
3	8.5	0.0	43.3	-32.5	31
4	12.3	0.0	4.1	-46.5	14

1	2.5	0.0	-3.6	-11.0	42
2	4.7	-0.4	31.5	-48.0	20
3	4.7	-0.4	5.2	-49.0	19
4	4.7	-0.4	36.9	-50.0	18
