ID	Range	Rate	Angle	Rcs	Snr

1	2.6	0.0	-11.7	-24.0	42
2	2.6	0.0	-56.5	-26.0	40
3	4.9	-0.5	3.2	-46.0	20
4	5.6	0.0	-19.1	-25.5	37
5	5.9	-0.4	-38.1	-48.5	15
6	8.5	0.0	-12.1	-28.0	35

1	1.8	0.0	-59.3	-29.5	40
2	3.5	0.2	10.7	-41.5	26
3	4.8	-0.5	3.8	-43.5	24
4	5.7	0.0	-18.5	-28.5	33
5	8.5	0.0	-12.6	-31.5	29

1	2.7	0.0	-24.0	-33.0	37
2	2.7	0.0	-30.2	-31.0	39
3	3.5	0.3	9.7	-47.5	21
4	4.6	0.1	11.2	-43.5	22
5	5.4	0.0	-18.5	-34.0	30
6	5.4	-0.4	-49.1	-43.5	20
7	7.9	-0.1	30.3	-43.5	18
8	7.9	-0.1	37.8	-44.5	17

1	2.7	0.0	-53.1	-26.5	40
2	5.4	-0.1	-17.3	-37.0	27
3	5.5	-0.4	-40.3	-44.0	21

1	0.8	0.1	47.3	-27.0	31
2	2.8	0.0	-39.2	-32.0	38
3	5.4	-0.3	1.5	-45.5	19
4	5.4	-0.3	6.6	-45.5	19
5	5.6	-0.4	-19.2	-46.0	20
6	6.1	0.0	-37.8	-41.5	23

1	0.8	0.1	-7.7	-22.0	34
2	2.9	0.0	-38.4	-32.5	37
3	4.2	0.3	-24.0	-40.0	27
4	4.7	-0.5	2.6	-47.5	19
5	5.4	0.0	32.2	-39.0	27
6	5.4	0.0	-30.6	-41.0	25
7	19.1	0.6	-6.2	-45.5	13

1	0.8	0.3	-4.7	-30.5	28
2	0.8	0.3	0.2	-32.5	26
3	0.8	0.3	-66.0	-28.5	30
4	2.5	0.4	-45.2	-42.0	23
5	2.5	0.4	34.5	-43.0	22
6	2.7	-0.1	-17.7	-24.5	40
7	4.3	0.3	-23.3	-39.0	28
8	5.3	0.0	60.4	-34.0	30
9	5.3	0.0	36.4	-36.0	28
10	5.3	0.0	-48.8	-38.0	26
11	6.9	0.2	-19.7	-47.0	17
12	19.1	0.6	-39.8	-42.0	17
13	19.4	1.3	-13.9	-40.0	20

1	0.8	0.2	-12.8	-29.5	29
2	2.6	0.0	25.9	-13.5	42
3	6.1	0.0	-27.8	-33.0	28
4	8.6	0.0	-12.1	-32.0	29
5	47.3	1.2	-5.4	-42.5	15
6	47.3	1.2	-0.6	-43.5	14

1	2.4	0.0	-2.4	-15.5	39
2	5.6	0.0	67.9	-25.5	36
3	5.6	0.0	-2.9	-27.5	34
4	8.5	0.0	-12.3	-27.0	34

1	2.4	0.0	-2.0	-12.5	42
2	5.4	0.0	-1.5	-22.5	39
3	8.6	0.0	-12.1	-28.0	34

1	2.4	0.0	-2.0	-13.5	43
2	5.3	0.1	-28.8	-32.5	30
3	5.3	0.1	-23.1	-33.5	29
4	5.4	0.0	-1.8	-23.5	38
5	8.6	0.0	-12.1	-28.0	33

1	2.5	0.0	-2.0	-13.0	42
2	5.4	0.0	-1.9	-24.0	39
3	8.6	0.0	-12.1	-27.5	35

1	2.5	0.0	-2.2	-12.0	42
2	2.5	0.0	-18.0	-14.0	40
3	5.5	0.0	-1.6	-22.5	38
4	8.7	0.0	-12.1	-27.0	36

1	2.5	0.0	-2.4	-12.5	42
2	5.4	0.0	-1.5	-23.5	40
3	8.7	0.0	-12.0	-27.0	35

1	2.5	0.0	-2.4	-12.5	42
2	5.4	0.0	-1.5	-22.5	39
3	8.6	0.0	-73.4	-27.0	33

1	2.5	0.0	-2.4	-12.5	42
2	4.3	0.3	69.3	-44.5	22
3	5.4	0.0	-1.5	-23.0	39
4	8.7	0.0	-12.1	-27.0	36

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.4	-23.5	39
3	8.7	0.0	-12.0	-26.5	36

1	2.5	0.0	-2.3	-12.5	42
2	4.1	0.5	8.2	-46.0	19
3	5.4	0.0	-1.4	-23.0	38
4	8.7	0.0	-73.8	-26.5	34

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.4	-23.0	39
3	8.7	0.0	-74.0	-27.0	35

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.5	-23.0	38
3	8.7	0.0	-12.1	-27.0	34

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.3	-23.5	39
3	8.7	0.0	-12.1	-27.0	35

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.4	-23.5	39
3	8.7	0.0	-73.7	-27.0	35

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.3	-23.5	39
3	8.7	0.0	-73.3	-26.5	33

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.3	-23.5	37
3	8.7	0.0	-73.7	-27.0	34

1	2.5	0.0	-2.3	-12.5	42
2	4.1	0.5	7.0	-46.0	21
3	4.1	0.5	17.9	-48.0	19
4	5.5	0.0	-1.4	-23.5	39
5	8.7	0.0	-73.5	-27.0	36

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.3	-23.0	38
3	8.7	0.0	-12.1	-27.0	35

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.4	-23.0	38
3	8.7	0.0	-12.1	-27.0	34

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.3	-23.0	39
3	8.7	0.0	-73.8	-26.5	34

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.4	-23.0	38
3	8.7	0.0	-12.1	-26.5	37

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.3	-23.0	39
3	8.7	0.0	-12.1	-26.5	35

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.3	-23.5	39
3	8.7	0.0	-12.1	-26.5	36

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.4	-23.5	39
3	8.7	0.0	-74.0	-27.0	34

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.4	-23.0	39
3	8.7	0.0	-12.2	-26.5	35

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.6	-23.5	38
3	8.7	0.0	-12.1	-26.5	36

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.4	-23.0	39
3	8.7	0.0	-74.0	-27.0	34

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.5	-23.0	39
3	8.7	0.0	-74.0	-26.5	35

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.4	-23.0	40
3	8.7	0.0	-12.1	-26.5	35

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.4	-23.5	39
3	8.7	0.0	-74.2	-26.5	35

1	2.5	0.0	-2.4	-12.5	42
2	5.4	0.0	-1.5	-23.0	39
3	8.7	0.0	-12.1	-26.5	36

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.4	-23.0	39
3	8.7	0.0	-12.1	-27.0	34

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.3	-23.0	38
3	8.7	0.0	-12.1	-26.5	35

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.5	-23.0	39
3	8.7	0.0	-12.1	-27.0	36

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.4	-23.0	38
3	8.7	0.0	-12.1	-26.5	34

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.4	-23.0	39
3	8.7	0.0	-12.0	-27.0	36

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.5	-23.0	39
3	8.7	0.0	-12.0	-26.5	34
4	13.9	0.0	-8.0	-48.5	13

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.5	-23.5	38
3	8.7	0.0	-12.0	-27.0	36

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.4	-23.0	38
3	8.7	0.0	-12.1	-26.5	35

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.5	-23.0	39
3	8.7	0.0	-12.1	-26.5	36

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.4	-23.0	39
3	8.7	0.0	-12.1	-27.0	35

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.4	-23.0	38
3	8.7	0.0	-12.1	-27.0	34

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.5	-23.0	39
3	8.7	0.0	-12.1	-27.0	36

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.5	-23.0	39
3	8.7	0.0	-74.0	-26.5	34

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.4	-23.0	38
3	8.7	0.0	-73.9	-26.5	34

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.4	-23.0	39
3	8.7	0.0	-12.1	-26.5	36

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.6	-23.0	39
3	8.7	0.0	-12.1	-26.5	37

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.5	-23.0	39
3	8.7	0.0	-12.1	-27.0	35

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.4	-23.0	39
3	8.7	0.0	-12.1	-27.0	33

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.4	-23.0	39
3	8.7	0.0	-12.1	-27.0	35

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.3	-23.0	38
3	8.7	0.0	-12.1	-27.0	34

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.4	-23.0	39
3	8.7	0.0	-12.1	-26.5	34
4	13.9	0.0	56.8	-49.0	13

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.4	-23.5	38
3	8.7	0.0	-12.1	-26.5	35

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.4	-23.0	38
3	8.7	0.0	-12.1	-27.0	35

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.3	-23.0	39
3	8.7	0.0	-12.1	-27.0	34

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.3	-23.0	38
3	8.7	0.0	-12.1	-27.0	35

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.3	-23.5	38
3	8.7	0.0	-12.1	-27.0	35

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.4	-23.0	39
3	8.7	0.0	-12.1	-26.5	36

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.3	-23.0	39
3	8.7	0.0	-12.1	-27.0	33

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.4	-23.5	38
3	8.7	0.0	-12.1	-27.0	34

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.3	-23.0	39
3	8.7	0.0	-12.1	-27.0	36

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.3	-22.5	39
3	8.7	0.0	-12.1	-27.0	36

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.3	-22.5	39
3	8.7	0.0	-74.0	-27.0	37

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.4	-23.0	39
3	8.7	0.0	-12.1	-26.5	34

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.4	-23.5	39
3	8.7	0.0	-74.2	-27.0	34

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.3	-23.0	40
3	8.7	0.0	-12.1	-27.0	35

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.4	-23.0	39
3	8.7	0.0	-12.0	-27.0	36

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.4	-23.0	38
3	8.7	0.0	-12.0	-27.0	35

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.3	-23.0	39
3	8.7	0.0	-12.0	-26.5	35

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.4	-23.0	39
3	8.7	0.0	-73.9	-26.5	34

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.4	-23.0	40
3	8.7	0.0	-12.0	-27.0	35

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.4	-23.0	38
3	8.7	0.0	-12.0	-27.0	36

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.4	-23.0	39
3	8.7	0.0	-12.1	-26.5	34

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.4	-23.0	37
3	8.7	0.0	-12.1	-27.0	36

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.5	-23.0	39
3	8.7	0.0	-12.0	-26.5	35

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.6	-23.0	38
3	8.7	0.0	-12.0	-27.0	36

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.3	-23.5	39
3	8.7	0.0	-12.1	-26.5	36

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.5	-23.0	38
3	8.7	0.0	-12.1	-27.0	34

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.5	-23.0	39
3	8.7	0.0	-12.1	-27.0	34

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.4	-23.0	39
3	8.7	0.0	-12.1	-27.0	35

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.4	-23.0	39
3	8.7	0.0	-12.1	-27.0	35

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.5	-23.0	38
3	8.7	0.0	-12.1	-27.0	36

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.4	-23.0	39
3	8.7	0.0	-12.1	-27.0	35

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.4	-23.0	38
3	8.7	0.0	-12.0	-26.5	36

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.3	-23.0	39
3	8.7	0.0	-12.0	-27.0	36

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.4	-23.0	40
3	8.7	0.0	-12.0	-27.0	36

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.4	-23.0	40
3	8.7	0.0	-12.1	-26.5	34

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.4	-23.0	39
3	8.7	0.0	-12.0	-26.5	35

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.5	-23.0	39
3	8.7	0.0	-12.0	-27.0	34
4	13.9	0.0	-9.4	-48.5	14
5	13.9	0.0	4.6	-50.5	12

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.3	-23.0	39
3	8.7	0.0	-12.1	-27.0	36

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.4	-23.0	38
3	8.7	0.0	-12.1	-26.5	36

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.4	-23.0	39
3	8.7	0.0	-12.0	-27.0	35

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.4	-23.0	39
3	8.7	0.0	-12.1	-26.5	35

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.4	-23.0	40
3	8.7	0.0	-73.7	-26.5	34

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.4	-23.0	38
3	8.7	0.0	-12.1	-26.5	35

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.4	-23.0	39
3	8.7	0.0	-12.0	-26.5	35

1	2.5	0.0	-2.3	-12.5	42
2	5.0	-0.3	-24.4	-45.5	19
3	5.5	0.0	-1.3	-23.0	39
4	8.7	0.0	-12.1	-26.5	35

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.5	-23.0	38
3	8.7	0.0	-12.1	-26.5	35

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.4	-23.0	38
3	8.7	0.0	-12.0	-27.0	35

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.3	-23.0	38
3	8.7	0.0	-12.0	-26.5	34

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.4	-23.0	38
3	8.7	0.0	-12.0	-27.0	36

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.4	-23.0	39
3	8.7	0.0	-12.0	-27.0	35

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.3	-23.0	39
3	8.7	0.0	-12.0	-27.0	33

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.2	-23.5	39
3	8.7	0.0	-12.1	-27.0	36

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.4	-23.0	39
3	8.7	0.0	-12.0	-27.0	35

1	2.5	0.0	-2.3	-12.5	42
2	4.8	-0.6	-32.4	-44.0	19
3	5.5	0.0	-1.4	-23.0	39
4	8.7	0.0	-73.6	-26.5	37

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.5	-23.0	38
3	8.7	0.0	-73.6	-27.0	35

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.4	-22.5	39
3	8.7	0.0	-12.1	-26.5	34

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.6	-22.5	39
3	8.7	0.0	-73.5	-27.0	34

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.6	-23.0	39
3	8.7	0.0	-12.1	-27.5	34

1	2.5	0.0	-2.4	-12.5	42
2	5.4	0.0	-1.7	-23.5	39
3	8.7	0.0	-73.6	-27.0	35

1	1.4	-0.4	15.4	-43.5	22
2	2.5	0.0	-2.2	-12.0	42
3	2.5	0.0	-17.9	-14.0	40
4	5.4	0.0	-1.8	-23.5	39
5	8.7	0.0	-12.1	-27.0	35

1	2.5	0.0	-2.4	-12.5	42
2	4.8	-0.3	-58.5	-48.0	18
3	4.8	-0.3	-1.5	-50.0	16
4	5.4	0.0	-1.9	-24.0	38
5	8.6	0.0	-12.1	-27.5	34

1	1.4	-0.3	16.0	-38.5	29
2	2.4	0.0	-2.0	-14.0	43
3	5.4	0.0	-1.8	-23.0	40
4	8.6	0.0	-12.2	-28.5	34

1	1.5	-0.3	16.1	-34.0	33
2	2.4	0.0	-2.0	-13.5	43
3	4.6	-0.3	24.9	-44.5	20
4	5.1	-0.4	-34.6	-45.5	18
5	5.4	0.0	-1.9	-23.5	38
6	8.7	0.0	-12.1	-27.5	33

1	2.4	0.0	-2.0	-14.5	42
2	5.4	0.0	-1.5	-23.0	39
3	8.6	0.0	-12.4	-27.5	35

1	2.4	0.0	-1.8	-14.0	43
2	5.4	0.0	-1.9	-22.0	40
3	8.6	0.0	-12.2	-28.0	32

1	2.4	0.0	-2.0	-14.0	42
