ID	Range	Rate	Angle	Rcs	Snr
7	11.1	-0.1	-37.0	-49.0	14
8	11.1	-0.1	50.2	-51.0	12
9	14.1	0.0	0.3	-49.0	13
10	19.8	0.0	-5.2	-43.0	17

1	0.9	0.0	3.3	-25.5	30
2	2.7	0.0	-39.3	-30.5	41
3	4.6	0.0	-24.2	-34.5	33
4	8.5	0.0	-12.3	-36.5	28
5	11.4	0.0	-7.6	-49.0	13
6	14.2	0.0	-32.4	-48.0	15
7	19.8	0.0	-5.7	-43.0	17

1	0.9	0.0	3.2	-25.5	30
2	2.7	0.0	-39.3	-30.5	40
3	4.6	0.0	-24.4	-34.5	32
4	8.4	0.0	-12.3	-36.5	27
5	14.1	0.0	0.2	-48.5	15
6	14.1	0.0	-7.8	-50.5	13
7	19.8	0.0	-6.4	-43.0	18

1	0.9	0.0	3.2	-25.5	30
2	2.7	0.0	-39.3	-30.5	40
3	4.6	0.0	-14.2	-34.5	33
4	8.4	0.0	-12.3	-36.5	28
5	13.9	0.0	-19.8	-47.5	16
6	13.9	0.0	29.2	-49.5	14
7	19.8	0.0	-6.7	-42.0	19

1	0.9	0.0	3.3	-25.5	30
2	2.7	0.0	-39.2	-30.5	40
3	4.6	0.0	-24.7	-35.0	33
4	8.5	0.0	-12.3	-36.5	26
5	10.9	0.0	-7.9	-48.0	15
6	13.7	26.6	52.6	-48.5	13
7	13.7	26.6	8.1	-48.5	13
8	19.8	0.0	-6.4	-42.5	19

1	0.8	0.0	3.4	-25.5	31
2	2.7	0.0	-39.3	-30.5	42
3	4.5	0.0	-24.9	-35.5	32
4	8.4	0.0	-12.2	-36.0	28
5	11.0	0.0	-35.5	-47.5	14
6	14.0	0.0	49.1	-49.5	13
7	19.8	0.0	-7.2	-43.0	18
8	19.8	0.0	6.3	-44.0	17
9	19.8	0.0	10.8	-46.0	15

1	0.8	0.0	3.3	-25.0	31
2	2.7	0.0	-39.1	-30.5	42
3	8.5	0.0	-12.2	-36.5	28
4	11.2	0.0	-8.1	-49.0	14
5	19.8	0.0	5.7	-42.5	17
6	19.8	0.0	10.7	-42.5	17

1	0.8	0.0	3.2	-24.5	30
2	2.7	0.0	-39.0	-30.0	40
3	8.5	0.0	-12.2	-36.0	29
4	14.2	0.0	58.4	-49.0	13
5	14.2	0.0	49.7	-50.0	12
6	19.7	0.0	6.0	-43.5	18

1	0.8	0.0	3.0	-24.5	31
2	2.6	0.0	-39.1	-30.0	40
3	8.5	0.0	-12.1	-36.5	28
4	11.6	0.0	-7.5	-49.5	14
5	14.2	0.0	48.7	-48.0	13
6	14.2	0.0	57.3	-50.0	11
7	19.6	0.0	-12.4	-44.0	15

1	0.8	0.0	2.8	-24.0	31
2	2.6	0.0	-39.1	-30.5	42
3	4.8	0.0	29.1	-37.0	30
4	8.6	0.0	-12.2	-36.0	27
5	11.4	-0.1	-7.2	-48.0	13
6	19.5	0.0	-34.3	-43.0	18
7	19.5	0.0	16.4	-45.0	16

1	0.8	0.0	2.4	-24.0	32
2	2.6	0.0	-39.1	-30.5	41
3	5.1	0.0	49.5	-37.5	30
4	8.5	0.0	-12.3	-36.5	27
5	11.5	0.0	-7.6	-47.0	16
6	13.8	-0.1	-20.4	-47.0	15
7	19.6	0.0	-0.2	-43.0	19

1	0.9	0.0	2.3	-24.0	32
2	2.6	0.0	-39.2	-30.5	43
3	4.8	0.0	49.4	-36.5	32
4	8.6	0.0	-12.3	-36.5	27
5	10.9	0.0	-7.9	-47.5	14
6	10.9	0.0	37.4	-48.5	13
7	10.9	0.0	31.3	-49.5	12
8	19.7	0.0	-0.5	-42.0	19
9	23.2	0.0	4.2	-47.5	13

1	0.9	0.0	2.5	-24.5	32
2	2.7	0.0	-39.1	-29.5	41
3	4.9	0.0	-31.0	-38.5	30
4	8.6	0.0	-12.3	-36.5	26
5	13.7	0.0	-20.3	-47.0	13
6	19.8	0.0	-21.8	-41.5	17

1	0.8	0.0	2.6	-24.5	32
2	2.7	0.0	-39.2	-29.5	41
3	5.4	0.0	-30.5	-39.0	28
4	8.6	0.0	-12.4	-36.5	26
5	11.0	26.6	37.8	-49.0	14
6	13.8	0.0	-20.0	-47.5	15
7	19.8	0.0	-21.6	-40.5	20
8	23.2	0.0	4.1	-47.5	14
9	47.4	0.0	-0.4	-47.0	14

1	0.8	0.0	2.7	-24.5	31
2	2.7	0.0	-38.8	-30.5	40
3	5.6	0.0	1.1	-39.0	28
4	8.4	0.0	-12.2	-36.5	27
5	11.2	0.0	-17.3	-47.5	15
6	11.2	0.0	42.2	-49.5	13
7	13.7	0.0	-20.1	-47.5	15
8	19.8	0.0	4.0	-39.5	22
9	47.4	0.0	-0.2	-47.0	14

1	0.9	0.0	2.6	-24.5	30
2	2.7	0.0	-38.6	-31.0	41
3	5.3	0.0	0.7	-39.0	27
4	8.4	0.0	-12.2	-37.0	27
5	12.2	-39.7	-34.2	-48.0	14
6	12.2	-39.7	27.6	-50.0	12
7	19.8	0.0	4.2	-39.5	20
8	47.4	0.0	9.5	-46.5	14

1	0.9	0.0	2.7	-24.5	30
2	2.7	0.0	-39.1	-30.0	41
3	6.6	0.0	-36.9	-39.5	24
4	8.4	0.0	-12.2	-36.5	27
5	13.6	0.0	28.9	-47.5	15
6	19.7	0.0	4.2	-40.5	22
7	47.4	0.0	-24.2	-46.0	13

1	0.8	0.0	3.0	-24.0	31
2	2.7	0.0	-39.1	-30.0	40
3	6.7	0.0	-36.3	-40.5	23
4	8.4	0.0	-12.3	-37.0	28
5	13.8	0.0	29.5	-47.0	14
6	13.8	0.0	-20.8	-48.0	13
7	19.8	0.0	12.0	-42.0	20
8	47.6	0.0	-24.1	-48.0	13

1	0.8	0.0	2.9	-24.5	32
2	2.7	0.0	-38.6	-30.0	40
3	4.5	0.0	-14.8	-37.0	28
4	8.4	0.0	-12.2	-36.0	28
5	12.6	-69.5	-54.3	-48.0	13
6	19.7	0.0	12.6	-43.0	17

1	0.8	0.0	2.7	-24.5	32
2	2.7	0.0	-38.8	-29.5	42
3	4.8	0.0	-14.3	-37.5	30
4	4.8	0.0	-7.4	-39.5	28
5	8.4	0.0	-12.3	-36.5	28
6	11.9	-26.7	-54.5	-49.0	13
7	13.8	0.0	-0.5	-47.5	14
8	13.8	0.0	-24.7	-48.5	13
9	13.8	0.0	9.0	-49.5	12
10	19.7	0.0	-45.2	-42.5	19
11	19.7	0.0	-13.8	-44.5	17

1	0.8	0.0	2.6	-24.5	33
2	2.7	0.0	-39.0	-30.0	41
3	4.9	0.0	-21.9	-37.5	31
4	4.9	0.0	-7.0	-39.5	29
5	6.5	0.0	-38.1	-40.0	25
6	8.5	0.0	-12.4	-37.0	27
7	11.6	0.0	-59.3	-48.5	14
8	13.7	0.0	22.5	-47.5	15
9	19.7	0.0	-45.5	-41.5	19
10	19.7	0.0	-13.9	-43.5	17
11	47.5	0.0	-36.1	-48.0	13

1	0.8	0.0	2.7	-24.5	32
2	2.7	0.0	-39.0	-30.5	42
3	5.0	0.0	-32.3	-41.0	26
4	5.0	0.0	-21.3	-37.0	30
5	5.0	0.0	-38.5	-39.0	28
6	8.4	0.0	-12.5	-36.5	29
7	11.6	0.0	-60.5	-48.5	15
8	13.8	0.0	22.6	-47.5	13
9	19.7	0.0	5.6	-40.5	21

1	0.8	0.0	2.7	-24.0	32
2	2.7	0.0	-39.0	-30.5	40
3	4.9	0.0	-19.8	-37.0	31
4	8.4	0.0	-12.3	-36.5	27
5	11.5	0.0	-60.9	-49.0	13
6	13.8	0.0	-20.5	-47.0	15
7	19.7	0.0	5.1	-40.0	21
8	47.4	-0.1	-0.7	-47.5	13

1	0.8	0.0	2.7	-24.0	32
2	2.7	0.0	-38.9	-31.0	41
3	5.0	0.0	66.3	-36.5	31
4	5.0	0.0	-33.2	-38.5	29
5	5.0	0.0	-39.1	-39.5	28
6	8.3	0.0	-12.3	-35.5	28
7	11.6	0.0	-7.7	-48.0	14
8	13.8	0.0	-20.6	-47.5	15
9	19.7	0.0	4.8	-39.0	23
10	47.4	0.0	-3.6	-47.0	14
11	47.4	0.0	10.7	-49.0	12

1	0.8	0.0	2.7	-24.0	32
2	2.7	0.0	-38.8	-31.0	40
3	4.9	0.0	-19.7	-36.0	31
4	4.9	0.0	-12.0	-38.0	29
5	8.3	0.0	-12.3	-35.5	29
6	11.4	0.0	74.5	-49.0	14
7	13.8	0.0	-20.6	-48.0	14
8	19.7	0.0	4.6	-39.0	21
9	47.3	0.0	-1.5	-46.0	13

1	0.8	0.0	2.6	-24.0	32
2	2.7	0.0	-38.7	-31.0	39
3	4.8	0.0	66.8	-36.5	31
4	8.3	0.0	-12.4	-35.5	29
5	11.5	0.0	-8.5	-48.0	13
6	11.5	0.0	33.3	-50.0	11
7	19.6	-0.1	4.5	-39.0	22

1	0.8	0.0	2.3	-23.5	32
2	2.6	0.0	-38.9	-31.0	41
3	4.8	0.0	-50.9	-36.0	32
4	8.4	0.0	-12.4	-36.0	27
5	11.1	23.8	-65.1	-50.0	13
6	11.1	23.8	29.0	-52.0	11
7	19.7	0.0	4.6	-40.0	22

1	0.8	0.0	2.8	-24.0	32
2	2.7	0.0	-39.0	-30.0	40
3	4.7	0.0	-50.8	-36.0	33
4	8.4	0.0	-12.5	-35.5	27
5	19.6	0.0	4.7	-40.5	20
6	47.2	-0.1	26.3	-47.0	14
7	47.2	-0.1	-68.2	-49.0	12
