ID	Range	Rate	Angle	Rcs	Snr

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.5	-23.5	38
3	8.7	0.0	-12.1	-27.0	35

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.6	-23.0	38
3	8.7	0.0	-12.1	-27.0	35

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.7	-23.5	39
3	8.7	0.0	-12.1	-27.0	34

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.7	-23.5	38
3	8.7	0.0	-12.1	-27.0	35

1	2.5	0.0	-2.4	-12.5	42
2	5.5	0.0	-1.5	-23.5	39
3	8.7	0.0	-73.8	-27.0	35

1	2.5	0.0	-2.2	-13.0	42
2	2.5	0.0	-7.3	-15.0	40
3	5.4	0.0	-1.7	-24.0	38
4	8.6	0.0	-12.2	-27.5	34

1	2.4	0.0	-2.0	-15.0	42
2	5.4	0.0	-2.0	-24.5	38
3	8.5	0.0	-12.3	-27.0	35

1	2.5	0.0	-1.6	-21.5	42
2	3.2	0.4	17.2	-46.5	20
3	5.3	0.0	-2.1	-29.0	34
4	8.5	0.0	-12.7	-32.0	30

1	1.3	0.3	-20.3	-34.0	34
2	1.3	0.1	-0.5	-33.0	34
3	2.7	-0.1	-10.5	-29.0	39
4	4.5	0.2	61.1	-44.0	21
5	4.5	0.2	-27.7	-42.0	23
6	4.8	-0.5	-0.7	-44.5	21
7	5.4	0.0	-2.4	-32.0	32
8	8.7	-0.1	-13.7	-46.0	17

1	1.2	0.2	0.4	-31.0	36
2	1.3	0.1	2.6	-31.5	35
3	1.9	-0.3	41.4	-50.5	18
4	2.8	0.0	-37.9	-31.5	36
5	4.6	0.2	-27.2	-32.5	31
6	4.8	-0.5	11.3	-38.5	26
7	5.1	-0.4	30.5	-41.5	21
8	5.5	0.0	-64.5	-34.0	29

1	1.2	0.1	0.9	-22.5	41
2	1.3	0.4	-21.5	-38.0	28
3	2.7	-0.1	-17.4	-29.0	40
4	4.6	0.1	-27.3	-32.0	31
5	4.8	-0.4	59.8	-43.5	21
6	4.8	-0.7	25.5	-41.5	23

1	2.7	0.0	25.9	-13.0	43
2	6.0	0.0	26.3	-29.5	33

1	2.5	0.0	-2.4	-14.0	42
2	6.0	0.0	26.5	-25.5	36
3	8.6	0.0	-12.1	-32.0	30

1	2.5	0.0	-2.1	-12.5	43
2	2.5	0.0	-17.9	-14.5	41
3	5.6	0.0	-1.2	-27.0	38
4	8.6	0.0	-12.2	-26.0	36

1	2.5	0.0	-2.2	-13.0	42
2	5.4	0.0	-1.7	-22.0	40
3	8.6	0.0	-73.6	-27.5	33

1	2.5	0.0	-2.1	-13.0	42
2	5.4	0.0	-1.6	-23.5	39
3	8.6	0.0	-74.1	-27.0	35

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.7	-23.0	39
3	8.7	0.0	-74.0	-27.0	34

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.7	-23.0	39
3	8.7	0.0	-73.8	-27.0	34

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.8	-23.0	38
3	8.7	0.0	-73.9	-27.0	36

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.4	-22.5	40
3	8.6	0.0	-12.1	-27.5	34

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.5	-23.5	39
3	8.7	0.0	-12.1	-27.0	35

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.4	-23.5	38
3	8.6	0.0	-12.1	-27.0	34

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.7	-23.0	39
3	8.6	0.0	-74.0	-27.0	35

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.8	-23.0	40
3	8.7	0.0	-12.1	-27.0	34

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.4	-23.0	38
3	8.7	0.0	-12.1	-27.0	35

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.6	-23.0	39
3	8.7	0.0	-12.1	-27.0	36

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.5	-23.0	40
3	8.7	0.0	-73.8	-27.0	35

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.8	-23.0	39
3	8.7	0.0	-12.2	-26.5	33

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.5	-23.0	38
3	8.7	0.0	-73.9	-27.0	35

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.6	-23.0	39
3	8.7	0.0	-74.0	-27.0	34

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.5	-23.0	39
3	8.7	0.0	-12.1	-27.0	34

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.8	-23.0	39
3	8.7	0.0	-12.1	-27.0	35

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.5	-23.0	38
3	8.7	0.0	-74.0	-27.0	33

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.5	-23.0	38
3	8.7	0.0	-74.0	-27.0	35

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.4	-23.0	39
3	8.7	0.0	-74.0	-26.5	36

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.8	-23.0	38
3	8.7	0.0	-12.2	-27.0	34

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.6	-23.5	39
3	8.7	0.0	-12.2	-27.0	36

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.5	-23.5	39
3	8.7	0.0	-12.2	-27.0	35

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.5	-23.0	38
3	8.7	0.0	-12.2	-27.0	34

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.5	-23.0	39
3	8.7	0.0	-73.9	-26.5	35

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.5	-23.5	39
3	8.7	0.0	-12.1	-27.0	36

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.4	-23.0	39
3	8.7	0.0	-12.1	-26.5	35

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.7	-23.0	39
3	8.7	0.0	-74.0	-27.0	35

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.7	-23.0	39
3	8.7	0.0	-73.9	-27.0	35

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.6	-23.0	38
3	8.7	0.0	-12.1	-27.0	35

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.6	-23.0	39
3	8.7	0.0	-74.0	-27.0	35

1	2.5	0.0	-2.3	-12.5	42
2	5.0	-0.4	61.7	-44.5	20
3	5.0	-0.4	52.9	-44.5	20
4	5.4	0.0	-1.5	-23.0	38
5	8.7	0.0	-12.2	-27.0	34

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.7	-23.0	39
3	8.7	0.0	-12.1	-27.0	35

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.5	-23.0	39
3	8.7	0.0	-12.1	-27.0	37

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.5	-23.0	39
3	8.7	0.0	-74.0	-27.0	36

1	2.5	0.0	-2.3	-12.5	42
2	4.3	-0.9	-3.2	-49.0	18
3	4.7	-0.5	31.5	-45.0	20
4	4.7	-0.5	-8.7	-45.0	20
5	4.7	-0.5	-42.0	-47.0	18
6	5.5	0.0	-1.5	-23.0	40
7	8.7	0.0	-12.1	-27.0	34

1	2.5	0.0	-2.3	-12.5	42
2	4.3	-0.7	-1.4	-44.0	22
3	4.3	-0.9	-3.2	-50.0	18
4	5.4	0.0	-1.6	-23.0	38
5	8.7	0.0	-12.1	-27.0	35

1	2.5	0.0	-2.3	-12.5	42
2	4.2	-0.8	-1.7	-42.0	25
3	5.4	0.0	-1.5	-23.0	40
4	8.7	0.0	-73.9	-27.0	36

1	2.5	0.0	-2.3	-12.5	42
2	4.2	-0.9	-2.7	-44.5	21
3	5.4	0.0	-1.8	-23.0	39
4	8.6	0.0	-12.1	-27.0	34

1	2.5	0.0	-2.3	-12.5	42
2	4.1	-0.9	-3.1	-49.5	19
3	5.4	0.0	-1.6	-23.5	38
4	8.7	0.0	-12.1	-27.0	34

1	2.5	0.0	-2.3	-12.5	42
2	5.4	0.0	-1.8	-23.0	38
3	8.7	0.0	-73.8	-27.0	36

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.6	-23.5	38
3	8.6	0.0	-73.8	-27.0	33

1	2.5	0.0	-2.3	-12.5	42
2	5.5	0.0	-1.6	-23.0	39
3	8.7	0.0	-73.9	-27.0	35

1	2.5	0.0	-2.4	-12.5	42
2	5.5	0.0	-1.5	-23.0	39
3	8.6	0.0	-74.1	-27.5	35

1	2.5	0.0	-2.3	-13.0	42
2	5.4	0.0	-1.6	-23.5	39
3	8.6	0.0	-73.7	-27.0	35

1	2.5	0.0	-2.2	-12.5	42
2	5.5	0.0	-1.6	-24.0	39
3	8.7	0.0	-74.1	-27.0	35

1	2.5	0.0	-2.4	-13.0	42
2	5.4	-0.1	-1.6	-23.0	39
3	8.7	0.0	-12.2	-27.5	35

1	2.5	0.0	-2.6	-12.5	42
